LME,LME_NUM,N,M_MIN,M_MAX,MIN,MAX,MEAN
BALTIC_SEA,23,10,FEB,JUL,2.07,5.76,3.78
KARA_SEA,58,8,APR,OCT,0.304,15.1,2.67
YELLOW_SEA,48,12,JUL,MAR,1.31,2.47,1.91
NORTHERN_BERING_CHUKCHI_SEAS,54,9,AUG,FEB,0.666,2.63,1.26
NORTH_SEA,22,11,JUL,JAN,0.813,3.06,1.25
LAPTEV_SEA,57,7,APR,SEP,0.414,2.97,1.22
EAST_SIBERIAN_SEA,56,7,MAR,JUL,0.315,2.28,1.03
NORTHEAST_US_CONTINENTAL_SHELF,7,12,AUG,APR,0.862,1.51,1.03
HUDSON_BAY_COMPLEX,63,10,APR,NOV,0.394,3.44,0.944
BLACK_SEA,62,12,JUL,NOV,0.762,1.11,0.938
PATAGONIAN_SHELF,14,12,AUG,NOV,0.529,1.22,0.874
SCOTIAN_SHELF,8,12,DEC,APR,0.65,1.49,0.85
BARENTS_SEA,20,8,MAR,OCT,0.274,1.93,0.702
SEA_OF_OKHOTSK,52,12,FEB,JUN,0.302,1.43,0.696
EAST_BERING_SEA,1,11,NOV,MAY,0.357,1.14,0.646
WEST_BERING_SEA,53,11,FEB,MAY,0.265,1.33,0.627
CELTIC_BISCAY_SHELF,24,12,JAN,MAY,0.447,0.977,0.623
GULF_OF_CALIFORNIA,4,12,AUG,MAR,0.308,0.997,0.614
LABRADOR_NEWFOUNDLAND,9,12,FEB,APR,0.398,0.889,0.575
BENGUELA_CURRENT,29,12,JAN,SEP,0.426,0.75,0.571
ICELAND_SHELF_AND_SEA,59,8,MAR,JUN,0.235,0.784,0.552
ALEUTIAN_ISLANDS,65,11,MAR,AUG,0.3,0.814,0.535
OYASHIO_CURRENT,51,12,JAN,MAY,0.278,0.916,0.534
GULF_OF_ALASKA,2,12,DEC,MAY,0.26,0.699,0.491
EAST_CHINA_SEA,47,12,AUG,APR,0.348,0.72,0.48
NORWEGIAN_SEA,21,9,MAR,JUN,0.205,0.696,0.477
FAROE_PLATEAU,60,9,FEB,JUL,0.159,0.814,0.47
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,9,MAR,MAY,0.271,0.71,0.465
BEAUFORT_SEA,55,7,MAR,JUL,0.164,0.679,0.449
SEA_OF_JAPAN,50,12,AUG,APR,0.241,0.918,0.444
NORTH_AUSTRALIAN_SHELF,39,12,DEC,JUN,0.308,0.633,0.43
HUMBOLDT_CURRENT,13,12,MAR,OCT,0.364,0.491,0.42
ARABIAN_SEA,32,12,MAY,AUG,0.174,0.633,0.401
GREENLAND_SEA,19,9,MAR,JUN,0.179,0.671,0.388
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,6,APR,AUG,0.224,0.58,0.38
CANARY_CURRENT,27,12,SEP,FEB,0.235,0.575,0.373
NORTH_BRAZIL_SHELF,17,12,NOV,JUN,0.23,0.574,0.363
IBERIAN_COASTAL,25,12,SEP,APR,0.229,0.59,0.335
ANTARCTICA,61,9,AUG,JAN,0.144,0.629,0.332
GUINEA_CURRENT,28,12,MAY,JAN,0.237,0.45,0.327
GULF_OF_THAILAND,35,12,APR,DEC,0.228,0.436,0.312
NEW_ZEALAND_SHELF,46,12,FEB,OCT,0.234,0.394,0.292
CENTRAL_ARCTIC,64,6,APR,JUL,0.175,0.411,0.28
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,12,AUG,MAR,0.223,0.34,0.274
SOUTHEAST_AUSTRALIAN_SHELF,42,12,JUL,OCT,0.221,0.326,0.271
INDONESIAN_SEA,38,12,NOV,AUG,0.201,0.366,0.254
SOUTH_BRAZIL_SHELF,15,12,JAN,AUG,0.151,0.405,0.247
RED_SEA,33,12,AUG,JAN,0.122,0.381,0.23
SOUTHEAST_US_CONTINENTAL_SHELF,6,12,JUL,JAN,0.153,0.314,0.221
GULF_OF_MEXICO,5,12,JUN,JAN,0.16,0.297,0.213
CALIFORNIA_CURRENT,3,12,SEP,FEB,0.176,0.243,0.213
BAY_OF_BENGAL,34,12,MAY,SEP,0.155,0.247,0.208
SOMALI_COASTAL_CURRENT,31,12,APR,AUG,0.108,0.31,0.202
SOUTH_WEST_AUSTRALIAN_SHELF,43,12,JAN,JUN,0.135,0.248,0.194
SOUTH_CHINA_SEA,36,12,MAY,JAN,0.137,0.257,0.185
KUROSHIO_CURRENT,49,12,AUG,APR,0.0986,0.259,0.166
SULU_CELEBES_SEA,37,12,OCT,JAN,0.143,0.201,0.161
NORTHWEST_AUSTRALIAN_SHELF,45,12,DEC,JUL,0.11,0.247,0.158
MEDITERRANEAN_SEA,26,12,AUG,FEB,0.0866,0.252,0.155
AGULHAS_CURRENT,30,12,DEC,JUL,0.109,0.207,0.153
WEST_CENTRAL_AUSTRALIAN_SHELF,44,12,DEC,JUL,0.104,0.226,0.15
CARIBBEAN_SEA,12,12,MAY,JAN,0.12,0.156,0.139
EAST_CENTRAL_AUSTRALIAN_SHELF,41,12,FEB,AUG,0.0804,0.214,0.138
NORTHEAST_AUSTRALIAN_SHELF,40,12,FEB,JUL,0.0822,0.13,0.0995
EAST_BRAZIL_SHELF,16,12,DEC,JUN,0.0713,0.108,0.0875
PACIFIC_WARM_POOL,67,12,NOV,MAR,0.0595,0.0792,0.0682
INSULAR_PACIFIC_HAWAIIAN,10,12,JUN,JAN,0.0523,0.0739,0.0595
