LME,LME_NUM,YEAR,MONTH,MEAN
AGULHAS_CURRENT,30,1996,11,0.08659
AGULHAS_CURRENT,30,1996,12,0.08157
AGULHAS_CURRENT,30,1997,01,0.09300
AGULHAS_CURRENT,30,1997,02,0.1206
AGULHAS_CURRENT,30,1997,03,0.1330
AGULHAS_CURRENT,30,1997,04,0.1383
AGULHAS_CURRENT,30,1997,05,0.1489
AGULHAS_CURRENT,30,1997,06,0.1699
AGULHAS_CURRENT,30,1997,09,0.1717
AGULHAS_CURRENT,30,1997,10,0.1694
AGULHAS_CURRENT,30,1997,11,0.1346
AGULHAS_CURRENT,30,1997,12,0.1096
AGULHAS_CURRENT,30,1998,01,0.1054
AGULHAS_CURRENT,30,1998,02,0.1328
AGULHAS_CURRENT,30,1998,03,0.1322
AGULHAS_CURRENT,30,1998,04,0.1375
AGULHAS_CURRENT,30,1998,05,0.1486
AGULHAS_CURRENT,30,1998,06,0.1802
AGULHAS_CURRENT,30,1998,07,0.2136
AGULHAS_CURRENT,30,1998,08,0.2212
AGULHAS_CURRENT,30,1998,09,0.1928
AGULHAS_CURRENT,30,1998,10,0.1684
AGULHAS_CURRENT,30,1998,11,0.1380
AGULHAS_CURRENT,30,1998,12,0.1194
AGULHAS_CURRENT,30,1999,01,0.1134
AGULHAS_CURRENT,30,1999,02,0.1392
AGULHAS_CURRENT,30,1999,03,0.1356
AGULHAS_CURRENT,30,1999,04,0.1402
AGULHAS_CURRENT,30,1999,05,0.1546
AGULHAS_CURRENT,30,1999,06,0.1732
AGULHAS_CURRENT,30,1999,07,0.1995
AGULHAS_CURRENT,30,1999,08,0.1837
AGULHAS_CURRENT,30,1999,09,0.1900
AGULHAS_CURRENT,30,1999,10,0.1756
AGULHAS_CURRENT,30,1999,11,0.1220
AGULHAS_CURRENT,30,1999,12,0.1124
AGULHAS_CURRENT,30,2000,01,0.1292
AGULHAS_CURRENT,30,2000,02,0.1527
AGULHAS_CURRENT,30,2000,03,0.1514
AGULHAS_CURRENT,30,2000,04,0.1592
AGULHAS_CURRENT,30,2000,05,0.1741
AGULHAS_CURRENT,30,2000,06,0.1804
AGULHAS_CURRENT,30,2000,07,0.2086
AGULHAS_CURRENT,30,2000,08,0.1970
AGULHAS_CURRENT,30,2000,09,0.1821
AGULHAS_CURRENT,30,2000,10,0.1519
AGULHAS_CURRENT,30,2000,11,0.1256
AGULHAS_CURRENT,30,2000,12,0.1217
AGULHAS_CURRENT,30,2001,01,0.1362
AGULHAS_CURRENT,30,2001,02,0.1372
AGULHAS_CURRENT,30,2001,03,0.1380
AGULHAS_CURRENT,30,2001,04,0.1431
AGULHAS_CURRENT,30,2001,05,0.1602
AGULHAS_CURRENT,30,2001,06,0.1882
AGULHAS_CURRENT,30,2001,07,0.1943
AGULHAS_CURRENT,30,2001,08,0.2065
AGULHAS_CURRENT,30,2001,09,0.1873
AGULHAS_CURRENT,30,2001,10,0.1526
AGULHAS_CURRENT,30,2001,11,0.1237
AGULHAS_CURRENT,30,2001,12,0.1073
AGULHAS_CURRENT,30,2002,01,0.1192
AGULHAS_CURRENT,30,2002,02,0.1357
AGULHAS_CURRENT,30,2002,03,0.1509
AGULHAS_CURRENT,30,2002,04,0.1578
AGULHAS_CURRENT,30,2002,05,0.1679
AGULHAS_CURRENT,30,2002,06,0.1884
AGULHAS_CURRENT,30,2002,07,0.2187
AGULHAS_CURRENT,30,2002,08,0.2212
AGULHAS_CURRENT,30,2002,09,0.2044
AGULHAS_CURRENT,30,2002,10,0.1816
AGULHAS_CURRENT,30,2002,11,0.1507
AGULHAS_CURRENT,30,2002,12,0.1208
AGULHAS_CURRENT,30,2003,01,0.1210
AGULHAS_CURRENT,30,2003,02,0.1185
AGULHAS_CURRENT,30,2003,03,0.1293
AGULHAS_CURRENT,30,2003,04,0.1462
AGULHAS_CURRENT,30,2003,05,0.1564
AGULHAS_CURRENT,30,2003,06,0.1879
AGULHAS_CURRENT,30,2003,07,0.2496
AGULHAS_CURRENT,30,2003,08,0.2568
AGULHAS_CURRENT,30,2003,09,0.2225
AGULHAS_CURRENT,30,2003,10,0.1845
AGULHAS_CURRENT,30,2003,11,0.1289
AGULHAS_CURRENT,30,2003,12,0.1119
AGULHAS_CURRENT,30,2004,01,0.1126
AGULHAS_CURRENT,30,2004,02,0.1304
AGULHAS_CURRENT,30,2004,03,0.1231
AGULHAS_CURRENT,30,2004,04,0.1222
AGULHAS_CURRENT,30,2004,05,0.1369
AGULHAS_CURRENT,30,2004,06,0.1835
AGULHAS_CURRENT,30,2004,07,0.1991
AGULHAS_CURRENT,30,2004,08,0.1822
AGULHAS_CURRENT,30,2004,09,0.1801
AGULHAS_CURRENT,30,2004,10,0.1659
AGULHAS_CURRENT,30,2004,11,0.1269
AGULHAS_CURRENT,30,2004,12,0.1120
