LME,LME_NUM,YEAR,MONTH,MEAN
ARABIAN_SEA,32,1996,11,0.3591
ARABIAN_SEA,32,1996,12,0.3395
ARABIAN_SEA,32,1997,01,0.3260
ARABIAN_SEA,32,1997,02,0.3975
ARABIAN_SEA,32,1997,03,0.2841
ARABIAN_SEA,32,1997,04,0.2209
ARABIAN_SEA,32,1997,05,0.1402
ARABIAN_SEA,32,1997,06,0.1667
ARABIAN_SEA,32,1997,09,0.4191
ARABIAN_SEA,32,1997,10,0.3219
ARABIAN_SEA,32,1997,11,0.2746
ARABIAN_SEA,32,1997,12,0.3507
ARABIAN_SEA,32,1998,01,0.3881
ARABIAN_SEA,32,1998,02,0.3654
ARABIAN_SEA,32,1998,03,0.2752
ARABIAN_SEA,32,1998,04,0.2017
ARABIAN_SEA,32,1998,05,0.1735
ARABIAN_SEA,32,1998,06,0.2835
ARABIAN_SEA,32,1998,07,0.7832
ARABIAN_SEA,32,1998,08,0.9766
ARABIAN_SEA,32,1998,09,0.6620
ARABIAN_SEA,32,1998,10,0.4837
ARABIAN_SEA,32,1998,11,0.4483
ARABIAN_SEA,32,1998,12,0.6117
ARABIAN_SEA,32,1999,01,0.5565
ARABIAN_SEA,32,1999,02,0.6163
ARABIAN_SEA,32,1999,03,0.3830
ARABIAN_SEA,32,1999,04,0.2678
ARABIAN_SEA,32,1999,05,0.2647
ARABIAN_SEA,32,1999,06,0.2933
ARABIAN_SEA,32,1999,07,0.5412
ARABIAN_SEA,32,1999,08,1.119
ARABIAN_SEA,32,1999,09,0.7052
ARABIAN_SEA,32,1999,10,0.5581
ARABIAN_SEA,32,1999,11,0.4993
ARABIAN_SEA,32,1999,12,0.5317
ARABIAN_SEA,32,2000,01,0.5243
ARABIAN_SEA,32,2000,02,0.5659
ARABIAN_SEA,32,2000,03,0.4363
ARABIAN_SEA,32,2000,04,0.2474
ARABIAN_SEA,32,2000,05,0.2011
ARABIAN_SEA,32,2000,06,0.3593
ARABIAN_SEA,32,2000,07,0.7355
ARABIAN_SEA,32,2000,08,0.8004
ARABIAN_SEA,32,2000,09,0.7504
ARABIAN_SEA,32,2000,10,0.4470
ARABIAN_SEA,32,2000,11,0.4219
ARABIAN_SEA,32,2000,12,0.4492
ARABIAN_SEA,32,2001,01,0.4485
ARABIAN_SEA,32,2001,02,0.4865
ARABIAN_SEA,32,2001,03,0.4108
ARABIAN_SEA,32,2001,04,0.2208
ARABIAN_SEA,32,2001,05,0.1723
ARABIAN_SEA,32,2001,06,0.3887
ARABIAN_SEA,32,2001,07,0.5359
ARABIAN_SEA,32,2001,08,0.6864
ARABIAN_SEA,32,2001,09,0.5730
ARABIAN_SEA,32,2001,10,0.4580
ARABIAN_SEA,32,2001,11,0.4374
ARABIAN_SEA,32,2001,12,0.4607
ARABIAN_SEA,32,2002,01,0.4993
ARABIAN_SEA,32,2002,02,0.6053
ARABIAN_SEA,32,2002,03,0.3959
ARABIAN_SEA,32,2002,04,0.2123
ARABIAN_SEA,32,2002,05,0.1830
ARABIAN_SEA,32,2002,06,0.2158
ARABIAN_SEA,32,2002,07,0.4001
ARABIAN_SEA,32,2002,08,0.5860
ARABIAN_SEA,32,2002,09,0.6814
ARABIAN_SEA,32,2002,10,0.4567
ARABIAN_SEA,32,2002,11,0.3554
ARABIAN_SEA,32,2002,12,0.3837
ARABIAN_SEA,32,2003,01,0.4242
ARABIAN_SEA,32,2003,02,0.4850
ARABIAN_SEA,32,2003,03,0.3816
ARABIAN_SEA,32,2003,04,0.2241
ARABIAN_SEA,32,2003,05,0.1810
ARABIAN_SEA,32,2003,06,0.1617
ARABIAN_SEA,32,2003,07,0.3470
ARABIAN_SEA,32,2003,08,0.5561
ARABIAN_SEA,32,2003,09,0.5603
ARABIAN_SEA,32,2003,10,0.4615
ARABIAN_SEA,32,2003,11,0.4060
ARABIAN_SEA,32,2003,12,0.4603
ARABIAN_SEA,32,2004,01,0.5153
ARABIAN_SEA,32,2004,02,0.5413
ARABIAN_SEA,32,2004,03,0.3713
ARABIAN_SEA,32,2004,04,0.2078
ARABIAN_SEA,32,2004,05,0.1921
ARABIAN_SEA,32,2004,06,0.2911
ARABIAN_SEA,32,2004,07,0.5470
ARABIAN_SEA,32,2004,08,0.8025
ARABIAN_SEA,32,2004,09,0.8205
ARABIAN_SEA,32,2004,10,0.5266
ARABIAN_SEA,32,2004,11,0.3997
ARABIAN_SEA,32,2004,12,0.4072
ARABIAN_SEA,32,2005,01,0.4653
ARABIAN_SEA,32,2005,02,0.4929
ARABIAN_SEA,32,2005,03,0.3590
ARABIAN_SEA,32,2005,04,0.2468
ARABIAN_SEA,32,2005,05,0.1933
ARABIAN_SEA,32,2005,06,0.2062
ARABIAN_SEA,32,2005,07,0.5341
ARABIAN_SEA,32,2005,08,0.6196
ARABIAN_SEA,32,2005,09,0.7484
ARABIAN_SEA,32,2005,10,0.5187
ARABIAN_SEA,32,2005,11,0.4451
ARABIAN_SEA,32,2005,12,0.5133
ARABIAN_SEA,32,2006,01,0.5419
ARABIAN_SEA,32,2006,02,0.5942
ARABIAN_SEA,32,2006,03,0.3552
ARABIAN_SEA,32,2006,04,0.2196
ARABIAN_SEA,32,2006,05,0.1833
ARABIAN_SEA,32,2006,06,0.2066
ARABIAN_SEA,32,2006,07,0.4249
ARABIAN_SEA,32,2006,08,0.5891
ARABIAN_SEA,32,2006,09,0.7026
ARABIAN_SEA,32,2006,10,0.4741
ARABIAN_SEA,32,2006,11,0.3551
ARABIAN_SEA,32,2006,12,0.3542
ARABIAN_SEA,32,2007,01,0.4437
ARABIAN_SEA,32,2007,02,0.4232
ARABIAN_SEA,32,2007,03,0.2951
ARABIAN_SEA,32,2007,04,0.1940
ARABIAN_SEA,32,2007,05,0.1653
ARABIAN_SEA,32,2007,06,0.1911
ARABIAN_SEA,32,2007,07,0.5984
ARABIAN_SEA,32,2007,08,0.5017
ARABIAN_SEA,32,2007,09,0.5225
