LME,LME_NUM,YEAR,MONTH,MEAN
BENGUELA_CURRENT,29,1996,11,0.3992
BENGUELA_CURRENT,29,1996,12,0.3561
BENGUELA_CURRENT,29,1997,01,0.3392
BENGUELA_CURRENT,29,1997,02,0.4044
BENGUELA_CURRENT,29,1997,03,0.3623
BENGUELA_CURRENT,29,1997,04,0.3875
BENGUELA_CURRENT,29,1997,05,0.4943
BENGUELA_CURRENT,29,1997,06,0.5410
BENGUELA_CURRENT,29,1997,09,1.011
BENGUELA_CURRENT,29,1997,10,0.7355
BENGUELA_CURRENT,29,1997,11,0.5545
BENGUELA_CURRENT,29,1997,12,0.4308
BENGUELA_CURRENT,29,1998,01,0.3938
BENGUELA_CURRENT,29,1998,02,0.3819
BENGUELA_CURRENT,29,1998,03,0.4832
BENGUELA_CURRENT,29,1998,04,0.5053
BENGUELA_CURRENT,29,1998,05,0.6756
BENGUELA_CURRENT,29,1998,06,0.7158
BENGUELA_CURRENT,29,1998,07,0.6462
BENGUELA_CURRENT,29,1998,08,0.8118
BENGUELA_CURRENT,29,1998,09,0.8583
BENGUELA_CURRENT,29,1998,10,0.7279
BENGUELA_CURRENT,29,1998,11,0.5935
BENGUELA_CURRENT,29,1998,12,0.4994
BENGUELA_CURRENT,29,1999,01,0.4742
BENGUELA_CURRENT,29,1999,02,0.4489
BENGUELA_CURRENT,29,1999,03,0.5107
BENGUELA_CURRENT,29,1999,04,0.5222
BENGUELA_CURRENT,29,1999,05,0.6391
BENGUELA_CURRENT,29,1999,06,0.7106
BENGUELA_CURRENT,29,1999,07,0.7104
BENGUELA_CURRENT,29,1999,08,0.7416
BENGUELA_CURRENT,29,1999,09,0.7105
BENGUELA_CURRENT,29,1999,10,0.7654
BENGUELA_CURRENT,29,1999,11,0.6542
BENGUELA_CURRENT,29,1999,12,0.4638
BENGUELA_CURRENT,29,2000,01,0.4866
BENGUELA_CURRENT,29,2000,02,0.4882
BENGUELA_CURRENT,29,2000,03,0.5470
BENGUELA_CURRENT,29,2000,04,0.5290
BENGUELA_CURRENT,29,2000,05,0.5340
BENGUELA_CURRENT,29,2000,06,0.5750
BENGUELA_CURRENT,29,2000,07,0.6952
BENGUELA_CURRENT,29,2000,08,0.8013
BENGUELA_CURRENT,29,2000,09,0.8473
BENGUELA_CURRENT,29,2000,10,0.8020
BENGUELA_CURRENT,29,2000,11,0.6285
BENGUELA_CURRENT,29,2000,12,0.5212
BENGUELA_CURRENT,29,2001,01,0.4895
BENGUELA_CURRENT,29,2001,02,0.4756
BENGUELA_CURRENT,29,2001,03,0.5174
BENGUELA_CURRENT,29,2001,04,0.5292
BENGUELA_CURRENT,29,2001,05,0.4485
BENGUELA_CURRENT,29,2001,06,0.5134
BENGUELA_CURRENT,29,2001,07,0.5949
BENGUELA_CURRENT,29,2001,08,0.6028
BENGUELA_CURRENT,29,2001,09,0.6672
BENGUELA_CURRENT,29,2001,10,0.7187
BENGUELA_CURRENT,29,2001,11,0.5695
BENGUELA_CURRENT,29,2001,12,0.5355
BENGUELA_CURRENT,29,2002,01,0.4709
BENGUELA_CURRENT,29,2002,02,0.4861
BENGUELA_CURRENT,29,2002,03,0.5274
BENGUELA_CURRENT,29,2002,04,0.4872
BENGUELA_CURRENT,29,2002,05,0.4877
BENGUELA_CURRENT,29,2002,06,0.5079
BENGUELA_CURRENT,29,2002,07,0.5763
BENGUELA_CURRENT,29,2002,08,0.7367
BENGUELA_CURRENT,29,2002,09,0.8897
BENGUELA_CURRENT,29,2002,10,0.7599
BENGUELA_CURRENT,29,2002,11,0.6445
BENGUELA_CURRENT,29,2002,12,0.5387
BENGUELA_CURRENT,29,2003,01,0.5149
BENGUELA_CURRENT,29,2003,02,0.4835
BENGUELA_CURRENT,29,2003,03,0.5818
BENGUELA_CURRENT,29,2003,04,0.5165
BENGUELA_CURRENT,29,2003,05,0.5322
BENGUELA_CURRENT,29,2003,06,0.6002
BENGUELA_CURRENT,29,2003,07,0.6321
BENGUELA_CURRENT,29,2003,08,0.6565
BENGUELA_CURRENT,29,2003,09,0.7256
BENGUELA_CURRENT,29,2003,10,0.6780
BENGUELA_CURRENT,29,2003,11,0.4924
BENGUELA_CURRENT,29,2003,12,0.4157
BENGUELA_CURRENT,29,2004,01,0.4219
BENGUELA_CURRENT,29,2004,02,0.4811
BENGUELA_CURRENT,29,2004,03,0.5598
BENGUELA_CURRENT,29,2004,04,0.5255
BENGUELA_CURRENT,29,2004,05,0.5578
BENGUELA_CURRENT,29,2004,06,0.6873
BENGUELA_CURRENT,29,2004,07,0.7903
BENGUELA_CURRENT,29,2004,08,0.5927
BENGUELA_CURRENT,29,2004,09,0.8373
BENGUELA_CURRENT,29,2004,10,0.8063
BENGUELA_CURRENT,29,2004,11,0.6045
BENGUELA_CURRENT,29,2004,12,0.4659
BENGUELA_CURRENT,29,2005,01,0.4703
BENGUELA_CURRENT,29,2005,02,0.5087
BENGUELA_CURRENT,29,2005,03,0.5489
BENGUELA_CURRENT,29,2005,04,0.5873
BENGUELA_CURRENT,29,2005,05,0.5800
BENGUELA_CURRENT,29,2005,06,0.6706
BENGUELA_CURRENT,29,2005,07,0.7146
BENGUELA_CURRENT,29,2005,08,0.5436
BENGUELA_CURRENT,29,2005,09,0.6821
BENGUELA_CURRENT,29,2005,10,0.6479
BENGUELA_CURRENT,29,2005,11,0.5131
BENGUELA_CURRENT,29,2005,12,0.4338
BENGUELA_CURRENT,29,2006,01,0.3809
BENGUELA_CURRENT,29,2006,02,0.3773
BENGUELA_CURRENT,29,2006,03,0.4511
BENGUELA_CURRENT,29,2006,04,0.4961
BENGUELA_CURRENT,29,2006,05,0.4996
BENGUELA_CURRENT,29,2006,06,0.5629
BENGUELA_CURRENT,29,2006,07,0.5517
BENGUELA_CURRENT,29,2006,08,0.7295
BENGUELA_CURRENT,29,2006,09,0.8755
BENGUELA_CURRENT,29,2006,10,0.7050
BENGUELA_CURRENT,29,2006,11,0.6468
BENGUELA_CURRENT,29,2006,12,0.5451
BENGUELA_CURRENT,29,2007,01,0.4991
BENGUELA_CURRENT,29,2007,02,0.5864
BENGUELA_CURRENT,29,2007,03,0.6140
BENGUELA_CURRENT,29,2007,04,0.5818
BENGUELA_CURRENT,29,2007,05,0.6148
BENGUELA_CURRENT,29,2007,06,0.5499
BENGUELA_CURRENT,29,2007,07,0.6296
BENGUELA_CURRENT,29,2007,08,0.6247
BENGUELA_CURRENT,29,2007,09,0.8039
BENGUELA_CURRENT,29,2007,10,0.6019
BENGUELA_CURRENT,29,2007,11,0.5482
BENGUELA_CURRENT,29,2007,12,0.4671
BENGUELA_CURRENT,29,2008,01,0.4231
BENGUELA_CURRENT,29,2008,02,0.4327
BENGUELA_CURRENT,29,2008,03,0.4479
BENGUELA_CURRENT,29,2008,04,0.4852
BENGUELA_CURRENT,29,2008,05,0.4956
BENGUELA_CURRENT,29,2008,06,0.5873
BENGUELA_CURRENT,29,2008,07,0.6377
BENGUELA_CURRENT,29,2008,08,0.7923
BENGUELA_CURRENT,29,2008,09,0.6542
BENGUELA_CURRENT,29,2008,10,0.6406
BENGUELA_CURRENT,29,2008,11,0.5270
BENGUELA_CURRENT,29,2008,12,0.4723
BENGUELA_CURRENT,29,2009,01,0.3938
BENGUELA_CURRENT,29,2009,02,0.4230
BENGUELA_CURRENT,29,2009,03,0.4738
BENGUELA_CURRENT,29,2009,04,0.4785
BENGUELA_CURRENT,29,2009,05,0.5331
BENGUELA_CURRENT,29,2009,06,0.5558
BENGUELA_CURRENT,29,2009,07,0.6996
BENGUELA_CURRENT,29,2009,08,0.6758
BENGUELA_CURRENT,29,2009,09,0.6276
BENGUELA_CURRENT,29,2009,10,0.6563
BENGUELA_CURRENT,29,2009,11,0.5772
BENGUELA_CURRENT,29,2009,12,0.4526
BENGUELA_CURRENT,29,2010,01,0.4064
BENGUELA_CURRENT,29,2010,02,0.4350
BENGUELA_CURRENT,29,2010,03,0.4319
BENGUELA_CURRENT,29,2010,04,0.5553
BENGUELA_CURRENT,29,2010,05,0.5012
BENGUELA_CURRENT,29,2010,06,0.6231
BENGUELA_CURRENT,29,2010,07,0.6918
BENGUELA_CURRENT,29,2010,08,1.087
BENGUELA_CURRENT,29,2010,09,0.6563
BENGUELA_CURRENT,29,2010,10,0.6897
BENGUELA_CURRENT,29,2010,11,0.4689
BENGUELA_CURRENT,29,2010,12,0.3534
BENGUELA_CURRENT,29,2011,01,0.3266
BENGUELA_CURRENT,29,2011,02,0.3538
BENGUELA_CURRENT,29,2011,03,0.4911
BENGUELA_CURRENT,29,2011,04,0.5160
BENGUELA_CURRENT,29,2011,05,0.4985
BENGUELA_CURRENT,29,2011,06,0.4912
BENGUELA_CURRENT,29,2011,07,0.7303
BENGUELA_CURRENT,29,2011,08,0.6904
BENGUELA_CURRENT,29,2011,09,0.6714
BENGUELA_CURRENT,29,2011,10,0.5485
BENGUELA_CURRENT,29,2011,11,0.4723
BENGUELA_CURRENT,29,2011,12,0.4915
BENGUELA_CURRENT,29,2012,01,0.4540
BENGUELA_CURRENT,29,2012,02,0.4836
BENGUELA_CURRENT,29,2012,03,0.4303
BENGUELA_CURRENT,29,2012,04,0.4981
BENGUELA_CURRENT,29,2012,05,0.5808
BENGUELA_CURRENT,29,2012,06,0.6891
BENGUELA_CURRENT,29,2012,07,0.8595
BENGUELA_CURRENT,29,2012,08,0.7848
BENGUELA_CURRENT,29,2012,09,0.6186
BENGUELA_CURRENT,29,2012,10,0.5222
BENGUELA_CURRENT,29,2012,11,0.3939
BENGUELA_CURRENT,29,2012,12,0.3445
BENGUELA_CURRENT,29,2013,01,0.3498
BENGUELA_CURRENT,29,2013,02,0.3509
BENGUELA_CURRENT,29,2013,03,0.3983
BENGUELA_CURRENT,29,2013,04,0.4876
BENGUELA_CURRENT,29,2013,05,0.5559
BENGUELA_CURRENT,29,2013,06,0.7384
BENGUELA_CURRENT,29,2013,07,0.7686
BENGUELA_CURRENT,29,2013,08,0.6001
BENGUELA_CURRENT,29,2013,09,0.6212
BENGUELA_CURRENT,29,2013,10,0.6206
BENGUELA_CURRENT,29,2013,11,0.5033
BENGUELA_CURRENT,29,2013,12,0.4237
BENGUELA_CURRENT,29,2014,01,0.3780
BENGUELA_CURRENT,29,2014,02,0.2633
