LME,LME_NUM,YEAR,MONTH,MEAN
CALIFORNIA_CURRENT,3,1996,11,0.1646
CALIFORNIA_CURRENT,3,1996,12,0.1596
CALIFORNIA_CURRENT,3,1997,01,0.1660
CALIFORNIA_CURRENT,3,1997,02,0.2026
CALIFORNIA_CURRENT,3,1997,03,0.1884
CALIFORNIA_CURRENT,3,1997,04,0.2056
CALIFORNIA_CURRENT,3,1997,05,0.1472
CALIFORNIA_CURRENT,3,1997,06,0.1818
CALIFORNIA_CURRENT,3,1997,09,0.1326
CALIFORNIA_CURRENT,3,1997,10,0.1659
CALIFORNIA_CURRENT,3,1997,11,0.1657
CALIFORNIA_CURRENT,3,1997,12,0.2414
CALIFORNIA_CURRENT,3,1998,01,0.2286
CALIFORNIA_CURRENT,3,1998,02,0.2485
CALIFORNIA_CURRENT,3,1998,03,0.2083
CALIFORNIA_CURRENT,3,1998,04,0.2041
CALIFORNIA_CURRENT,3,1998,05,0.1608
CALIFORNIA_CURRENT,3,1998,06,0.1843
CALIFORNIA_CURRENT,3,1998,07,0.1620
CALIFORNIA_CURRENT,3,1998,08,0.1489
CALIFORNIA_CURRENT,3,1998,09,0.1592
CALIFORNIA_CURRENT,3,1998,10,0.1677
CALIFORNIA_CURRENT,3,1998,11,0.1740
CALIFORNIA_CURRENT,3,1998,12,0.2598
CALIFORNIA_CURRENT,3,1999,01,0.2551
CALIFORNIA_CURRENT,3,1999,02,0.2427
CALIFORNIA_CURRENT,3,1999,03,0.2334
CALIFORNIA_CURRENT,3,1999,04,0.2307
CALIFORNIA_CURRENT,3,1999,05,0.2673
CALIFORNIA_CURRENT,3,1999,06,0.2426
CALIFORNIA_CURRENT,3,1999,07,0.2057
CALIFORNIA_CURRENT,3,1999,08,0.1797
CALIFORNIA_CURRENT,3,1999,09,0.1999
CALIFORNIA_CURRENT,3,1999,10,0.1988
CALIFORNIA_CURRENT,3,1999,11,0.2017
CALIFORNIA_CURRENT,3,1999,12,0.2353
CALIFORNIA_CURRENT,3,2000,01,0.2225
CALIFORNIA_CURRENT,3,2000,02,0.2083
CALIFORNIA_CURRENT,3,2000,03,0.2298
CALIFORNIA_CURRENT,3,2000,04,0.1959
CALIFORNIA_CURRENT,3,2000,05,0.2023
CALIFORNIA_CURRENT,3,2000,06,0.2165
CALIFORNIA_CURRENT,3,2000,07,0.1864
CALIFORNIA_CURRENT,3,2000,08,0.1675
CALIFORNIA_CURRENT,3,2000,09,0.1700
CALIFORNIA_CURRENT,3,2000,10,0.1957
CALIFORNIA_CURRENT,3,2000,11,0.2258
CALIFORNIA_CURRENT,3,2000,12,0.2214
CALIFORNIA_CURRENT,3,2001,01,0.2288
CALIFORNIA_CURRENT,3,2001,02,0.2458
CALIFORNIA_CURRENT,3,2001,03,0.2347
CALIFORNIA_CURRENT,3,2001,04,0.2393
CALIFORNIA_CURRENT,3,2001,05,0.2076
CALIFORNIA_CURRENT,3,2001,06,0.1729
CALIFORNIA_CURRENT,3,2001,07,0.1693
CALIFORNIA_CURRENT,3,2001,08,0.1727
CALIFORNIA_CURRENT,3,2001,09,0.1701
CALIFORNIA_CURRENT,3,2001,10,0.1930
CALIFORNIA_CURRENT,3,2001,11,0.1970
CALIFORNIA_CURRENT,3,2001,12,0.2348
CALIFORNIA_CURRENT,3,2002,01,0.2418
CALIFORNIA_CURRENT,3,2002,02,0.2726
CALIFORNIA_CURRENT,3,2002,03,0.2562
CALIFORNIA_CURRENT,3,2002,04,0.2552
CALIFORNIA_CURRENT,3,2002,05,0.2318
CALIFORNIA_CURRENT,3,2002,06,0.2270
CALIFORNIA_CURRENT,3,2002,07,0.1918
CALIFORNIA_CURRENT,3,2002,08,0.1948
CALIFORNIA_CURRENT,3,2002,09,0.1855
CALIFORNIA_CURRENT,3,2002,10,0.2172
CALIFORNIA_CURRENT,3,2002,11,0.2042
CALIFORNIA_CURRENT,3,2002,12,0.1968
CALIFORNIA_CURRENT,3,2003,01,0.2238
CALIFORNIA_CURRENT,3,2003,02,0.2279
CALIFORNIA_CURRENT,3,2003,03,0.2332
CALIFORNIA_CURRENT,3,2003,04,0.2258
CALIFORNIA_CURRENT,3,2003,05,0.2286
CALIFORNIA_CURRENT,3,2003,06,0.2319
CALIFORNIA_CURRENT,3,2003,07,0.1878
CALIFORNIA_CURRENT,3,2003,08,0.1919
CALIFORNIA_CURRENT,3,2003,09,0.1952
CALIFORNIA_CURRENT,3,2003,10,0.1827
CALIFORNIA_CURRENT,3,2003,11,0.1909
CALIFORNIA_CURRENT,3,2003,12,0.2126
CALIFORNIA_CURRENT,3,2004,01,0.2090
CALIFORNIA_CURRENT,3,2004,02,0.2198
CALIFORNIA_CURRENT,3,2004,03,0.2416
CALIFORNIA_CURRENT,3,2004,04,0.2233
CALIFORNIA_CURRENT,3,2004,05,0.1780
CALIFORNIA_CURRENT,3,2004,06,0.1910
CALIFORNIA_CURRENT,3,2004,07,0.1728
CALIFORNIA_CURRENT,3,2004,08,0.1667
CALIFORNIA_CURRENT,3,2004,09,0.1681
CALIFORNIA_CURRENT,3,2004,10,0.1753
CALIFORNIA_CURRENT,3,2004,11,0.2101
CALIFORNIA_CURRENT,3,2004,12,0.2388
CALIFORNIA_CURRENT,3,2005,01,0.2146
CALIFORNIA_CURRENT,3,2005,02,0.2172
CALIFORNIA_CURRENT,3,2005,03,0.1857
CALIFORNIA_CURRENT,3,2005,04,0.2132
CALIFORNIA_CURRENT,3,2005,05,0.1840
CALIFORNIA_CURRENT,3,2005,06,0.2022
CALIFORNIA_CURRENT,3,2005,07,0.2266
CALIFORNIA_CURRENT,3,2005,08,0.1852
CALIFORNIA_CURRENT,3,2005,09,0.1725
CALIFORNIA_CURRENT,3,2005,10,0.1827
CALIFORNIA_CURRENT,3,2005,11,0.1989
CALIFORNIA_CURRENT,3,2005,12,0.2039
CALIFORNIA_CURRENT,3,2006,01,0.2529
CALIFORNIA_CURRENT,3,2006,02,0.2424
CALIFORNIA_CURRENT,3,2006,03,0.2351
CALIFORNIA_CURRENT,3,2006,04,0.2346
CALIFORNIA_CURRENT,3,2006,05,0.2316
CALIFORNIA_CURRENT,3,2006,06,0.2142
CALIFORNIA_CURRENT,3,2006,07,0.1891
CALIFORNIA_CURRENT,3,2006,08,0.1920
CALIFORNIA_CURRENT,3,2006,09,0.1896
