LME,LME_NUM,YEAR,MEAN
CALIFORNIA_CURRENT,3,1998,0.3741
CALIFORNIA_CURRENT,3,1999,0.3882
CALIFORNIA_CURRENT,3,2000,0.3833
CALIFORNIA_CURRENT,3,2001,0.3835
CALIFORNIA_CURRENT,3,2002,0.4041
CALIFORNIA_CURRENT,3,2003,0.3856
CALIFORNIA_CURRENT,3,2004,0.3714
CALIFORNIA_CURRENT,3,2005,0.3697
CALIFORNIA_CURRENT,3,2006,0.3962
CALIFORNIA_CURRENT,3,2007,0.4003
CALIFORNIA_CURRENT,3,2008,0.4156
CALIFORNIA_CURRENT,3,2009,0.3864
CALIFORNIA_CURRENT,3,2010,0.3748
CALIFORNIA_CURRENT,3,2011,0.3757
CALIFORNIA_CURRENT,3,2012,0.3565
CALIFORNIA_CURRENT,3,2013,0.3746
