LME,LME_NUM,YEAR,MEAN
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,1998,0.8230
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,1999,0.5400
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2000,0.4937
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2001,0.4718
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2002,0.4430
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2003,0.4590
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2004,0.4047
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2005,0.3934
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2006,0.4528
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2007,0.4392
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2008,0.4580
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2009,0.4759
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2010,0.4328
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2011,0.3967
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2012,0.4379
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,2013,0.4415
