LME,LME_NUM,YEAR,MONTH,MEAN
CANARY_CURRENT,27,1996,11,0.3073
CANARY_CURRENT,27,1996,12,0.3036
CANARY_CURRENT,27,1997,01,0.3592
CANARY_CURRENT,27,1997,02,0.4793
CANARY_CURRENT,27,1997,03,0.4325
CANARY_CURRENT,27,1997,04,0.3551
CANARY_CURRENT,27,1997,05,0.2408
CANARY_CURRENT,27,1997,06,0.1352
CANARY_CURRENT,27,1997,09,0.2459
CANARY_CURRENT,27,1997,10,0.2355
CANARY_CURRENT,27,1997,11,0.2894
CANARY_CURRENT,27,1997,12,0.3494
CANARY_CURRENT,27,1998,01,0.5004
CANARY_CURRENT,27,1998,02,0.4620
CANARY_CURRENT,27,1998,03,0.4787
CANARY_CURRENT,27,1998,04,0.4855
CANARY_CURRENT,27,1998,05,0.5008
CANARY_CURRENT,27,1998,06,0.2708
CANARY_CURRENT,27,1998,07,0.2016
CANARY_CURRENT,27,1998,08,0.2348
CANARY_CURRENT,27,1998,09,0.2418
CANARY_CURRENT,27,1998,10,0.3778
CANARY_CURRENT,27,1998,11,0.4989
CANARY_CURRENT,27,1998,12,0.6288
CANARY_CURRENT,27,1999,01,0.6733
CANARY_CURRENT,27,1999,02,0.7290
CANARY_CURRENT,27,1999,03,0.8519
CANARY_CURRENT,27,1999,04,0.6653
CANARY_CURRENT,27,1999,05,0.5692
CANARY_CURRENT,27,1999,06,0.2247
CANARY_CURRENT,27,1999,07,0.2137
CANARY_CURRENT,27,1999,08,0.2226
CANARY_CURRENT,27,1999,09,0.2426
CANARY_CURRENT,27,1999,10,0.2532
CANARY_CURRENT,27,1999,11,0.3093
CANARY_CURRENT,27,1999,12,0.4054
CANARY_CURRENT,27,2000,01,0.5367
CANARY_CURRENT,27,2000,02,0.6887
CANARY_CURRENT,27,2000,03,0.5286
CANARY_CURRENT,27,2000,04,0.5208
CANARY_CURRENT,27,2000,05,0.4722
CANARY_CURRENT,27,2000,06,0.2291
CANARY_CURRENT,27,2000,07,0.2247
CANARY_CURRENT,27,2000,08,0.2329
CANARY_CURRENT,27,2000,09,0.2252
CANARY_CURRENT,27,2000,10,0.2511
CANARY_CURRENT,27,2000,11,0.3242
CANARY_CURRENT,27,2000,12,0.3210
CANARY_CURRENT,27,2001,01,0.4427
CANARY_CURRENT,27,2001,02,0.7256
CANARY_CURRENT,27,2001,03,0.5316
CANARY_CURRENT,27,2001,04,0.6459
CANARY_CURRENT,27,2001,05,0.4414
CANARY_CURRENT,27,2001,06,0.2425
CANARY_CURRENT,27,2001,07,0.2196
CANARY_CURRENT,27,2001,08,0.2283
CANARY_CURRENT,27,2001,09,0.2236
CANARY_CURRENT,27,2001,10,0.2577
CANARY_CURRENT,27,2001,11,0.2802
CANARY_CURRENT,27,2001,12,0.2902
CANARY_CURRENT,27,2002,01,0.4005
CANARY_CURRENT,27,2002,02,0.4583
CANARY_CURRENT,27,2002,03,0.4891
CANARY_CURRENT,27,2002,04,0.4813
CANARY_CURRENT,27,2002,05,0.5533
CANARY_CURRENT,27,2002,06,0.3603
CANARY_CURRENT,27,2002,07,0.2751
CANARY_CURRENT,27,2002,08,0.2666
CANARY_CURRENT,27,2002,09,0.2536
CANARY_CURRENT,27,2002,10,0.2493
