LME,LME_NUM,YEAR,MONTH,MEAN
CARIBBEAN_SEA,12,1996,11,0.1603
CARIBBEAN_SEA,12,1996,12,0.1475
CARIBBEAN_SEA,12,1997,01,0.1185
CARIBBEAN_SEA,12,1997,02,0.1370
CARIBBEAN_SEA,12,1997,03,0.1383
CARIBBEAN_SEA,12,1997,04,0.1122
CARIBBEAN_SEA,12,1997,05,0.1197
CARIBBEAN_SEA,12,1997,06,0.1530
CARIBBEAN_SEA,12,1997,09,0.1515
CARIBBEAN_SEA,12,1997,10,0.1439
CARIBBEAN_SEA,12,1997,11,0.1599
CARIBBEAN_SEA,12,1997,12,0.1654
CARIBBEAN_SEA,12,1998,01,0.1658
CARIBBEAN_SEA,12,1998,02,0.1516
CARIBBEAN_SEA,12,1998,03,0.1524
CARIBBEAN_SEA,12,1998,04,0.1353
CARIBBEAN_SEA,12,1998,05,0.1294
CARIBBEAN_SEA,12,1998,06,0.1266
CARIBBEAN_SEA,12,1998,07,0.1712
CARIBBEAN_SEA,12,1998,08,0.1417
CARIBBEAN_SEA,12,1998,09,0.1401
CARIBBEAN_SEA,12,1998,10,0.1446
CARIBBEAN_SEA,12,1998,11,0.1669
CARIBBEAN_SEA,12,1998,12,0.1862
CARIBBEAN_SEA,12,1999,01,0.1754
CARIBBEAN_SEA,12,1999,02,0.1646
CARIBBEAN_SEA,12,1999,03,0.1427
CARIBBEAN_SEA,12,1999,04,0.1395
CARIBBEAN_SEA,12,1999,05,0.1322
CARIBBEAN_SEA,12,1999,06,0.1399
CARIBBEAN_SEA,12,1999,07,0.1594
CARIBBEAN_SEA,12,1999,08,0.1353
CARIBBEAN_SEA,12,1999,09,0.1213
CARIBBEAN_SEA,12,1999,10,0.1343
CARIBBEAN_SEA,12,1999,11,0.1371
CARIBBEAN_SEA,12,1999,12,0.1663
CARIBBEAN_SEA,12,2000,01,0.1731
CARIBBEAN_SEA,12,2000,02,0.1549
CARIBBEAN_SEA,12,2000,03,0.1273
CARIBBEAN_SEA,12,2000,04,0.1179
CARIBBEAN_SEA,12,2000,05,0.1169
CARIBBEAN_SEA,12,2000,06,0.1552
CARIBBEAN_SEA,12,2000,07,0.1455
CARIBBEAN_SEA,12,2000,08,0.1483
CARIBBEAN_SEA,12,2000,09,0.1367
CARIBBEAN_SEA,12,2000,10,0.1394
CARIBBEAN_SEA,12,2000,11,0.1393
CARIBBEAN_SEA,12,2000,12,0.1638
CARIBBEAN_SEA,12,2001,01,0.1664
CARIBBEAN_SEA,12,2001,02,0.1661
CARIBBEAN_SEA,12,2001,03,0.1444
CARIBBEAN_SEA,12,2001,04,0.1230
CARIBBEAN_SEA,12,2001,05,0.1106
CARIBBEAN_SEA,12,2001,06,0.1276
CARIBBEAN_SEA,12,2001,07,0.1354
CARIBBEAN_SEA,12,2001,08,0.1486
CARIBBEAN_SEA,12,2001,09,0.1424
CARIBBEAN_SEA,12,2001,10,0.1356
CARIBBEAN_SEA,12,2001,11,0.1461
CARIBBEAN_SEA,12,2001,12,0.1449
CARIBBEAN_SEA,12,2002,01,0.1567
CARIBBEAN_SEA,12,2002,02,0.1521
CARIBBEAN_SEA,12,2002,03,0.1370
CARIBBEAN_SEA,12,2002,04,0.1137
CARIBBEAN_SEA,12,2002,05,0.1192
CARIBBEAN_SEA,12,2002,06,0.1348
CARIBBEAN_SEA,12,2002,07,0.1560
CARIBBEAN_SEA,12,2002,08,0.1578
CARIBBEAN_SEA,12,2002,09,0.1426
CARIBBEAN_SEA,12,2002,10,0.1398
CARIBBEAN_SEA,12,2002,11,0.1374
CARIBBEAN_SEA,12,2002,12,0.1523
CARIBBEAN_SEA,12,2003,01,0.1565
CARIBBEAN_SEA,12,2003,02,0.1434
CARIBBEAN_SEA,12,2003,03,0.1285
CARIBBEAN_SEA,12,2003,04,0.1233
CARIBBEAN_SEA,12,2003,05,0.1419
CARIBBEAN_SEA,12,2003,06,0.1632
CARIBBEAN_SEA,12,2003,07,0.1702
CARIBBEAN_SEA,12,2003,08,0.1505
CARIBBEAN_SEA,12,2003,09,0.1394
CARIBBEAN_SEA,12,2003,10,0.1305
CARIBBEAN_SEA,12,2003,11,0.1340
CARIBBEAN_SEA,12,2003,12,0.1555
CARIBBEAN_SEA,12,2004,01,0.1502
CARIBBEAN_SEA,12,2004,02,0.1348
CARIBBEAN_SEA,12,2004,03,0.1335
CARIBBEAN_SEA,12,2004,04,0.1210
CARIBBEAN_SEA,12,2004,05,0.1239
CARIBBEAN_SEA,12,2004,06,0.1370
CARIBBEAN_SEA,12,2004,07,0.1409
CARIBBEAN_SEA,12,2004,08,0.1517
CARIBBEAN_SEA,12,2004,09,0.1431
CARIBBEAN_SEA,12,2004,10,0.1316
CARIBBEAN_SEA,12,2004,11,0.1479
CARIBBEAN_SEA,12,2004,12,0.1490
CARIBBEAN_SEA,12,2005,01,0.1583
CARIBBEAN_SEA,12,2005,02,0.1399
CARIBBEAN_SEA,12,2005,03,0.1215
CARIBBEAN_SEA,12,2005,04,0.1252
CARIBBEAN_SEA,12,2005,05,0.1217
CARIBBEAN_SEA,12,2005,06,0.1294
CARIBBEAN_SEA,12,2005,07,0.1405
CARIBBEAN_SEA,12,2005,08,0.1423
CARIBBEAN_SEA,12,2005,09,0.1428
CARIBBEAN_SEA,12,2005,10,0.1390
CARIBBEAN_SEA,12,2005,11,0.1406
CARIBBEAN_SEA,12,2005,12,0.1444
CARIBBEAN_SEA,12,2006,01,0.1565
CARIBBEAN_SEA,12,2006,02,0.1553
CARIBBEAN_SEA,12,2006,03,0.1409
CARIBBEAN_SEA,12,2006,04,0.1249
CARIBBEAN_SEA,12,2006,05,0.1113
CARIBBEAN_SEA,12,2006,06,0.1207
CARIBBEAN_SEA,12,2006,07,0.1518
CARIBBEAN_SEA,12,2006,08,0.1638
CARIBBEAN_SEA,12,2006,09,0.1426
CARIBBEAN_SEA,12,2006,10,0.1332
CARIBBEAN_SEA,12,2006,11,0.1387
CARIBBEAN_SEA,12,2006,12,0.1529
CARIBBEAN_SEA,12,2007,01,0.1695
CARIBBEAN_SEA,12,2007,02,0.1421
CARIBBEAN_SEA,12,2007,03,0.1338
CARIBBEAN_SEA,12,2007,04,0.1257
CARIBBEAN_SEA,12,2007,05,0.1210
CARIBBEAN_SEA,12,2007,06,0.1366
CARIBBEAN_SEA,12,2007,07,0.1602
CARIBBEAN_SEA,12,2007,08,0.1528
CARIBBEAN_SEA,12,2007,09,0.1423
CARIBBEAN_SEA,12,2007,10,0.1395
CARIBBEAN_SEA,12,2007,11,0.1575
CARIBBEAN_SEA,12,2007,12,0.1546
CARIBBEAN_SEA,12,2008,01,0.1588
CARIBBEAN_SEA,12,2008,02,0.1346
CARIBBEAN_SEA,12,2008,03,0.1284
CARIBBEAN_SEA,12,2008,04,0.1269
CARIBBEAN_SEA,12,2008,05,0.1116
CARIBBEAN_SEA,12,2008,06,0.1240
CARIBBEAN_SEA,12,2008,07,0.1433
CARIBBEAN_SEA,12,2008,08,0.1346
CARIBBEAN_SEA,12,2008,09,0.1267
CARIBBEAN_SEA,12,2008,10,0.1244
CARIBBEAN_SEA,12,2008,11,0.1383
CARIBBEAN_SEA,12,2008,12,0.1450
CARIBBEAN_SEA,12,2009,01,0.1412
CARIBBEAN_SEA,12,2009,02,0.1479
CARIBBEAN_SEA,12,2009,03,0.1408
CARIBBEAN_SEA,12,2009,04,0.1331
CARIBBEAN_SEA,12,2009,05,0.1347
CARIBBEAN_SEA,12,2009,06,0.1530
CARIBBEAN_SEA,12,2009,07,0.1443
CARIBBEAN_SEA,12,2009,08,0.1384
CARIBBEAN_SEA,12,2009,09,0.1215
CARIBBEAN_SEA,12,2009,10,0.1186
CARIBBEAN_SEA,12,2009,11,0.1258
CARIBBEAN_SEA,12,2009,12,0.1397
CARIBBEAN_SEA,12,2010,01,0.1479
CARIBBEAN_SEA,12,2010,02,0.1356
CARIBBEAN_SEA,12,2010,03,0.1256
CARIBBEAN_SEA,12,2010,04,0.1148
CARIBBEAN_SEA,12,2010,05,0.1139
CARIBBEAN_SEA,12,2010,06,0.1266
CARIBBEAN_SEA,12,2010,07,0.1626
CARIBBEAN_SEA,12,2010,08,0.1595
CARIBBEAN_SEA,12,2010,09,0.1523
CARIBBEAN_SEA,12,2010,10,0.1449
CARIBBEAN_SEA,12,2010,11,0.1469
CARIBBEAN_SEA,12,2010,12,0.1514
CARIBBEAN_SEA,12,2011,01,0.1412
CARIBBEAN_SEA,12,2011,02,0.1252
CARIBBEAN_SEA,12,2011,03,0.1215
CARIBBEAN_SEA,12,2011,04,0.1317
CARIBBEAN_SEA,12,2011,05,0.1244
CARIBBEAN_SEA,12,2011,06,0.1193
CARIBBEAN_SEA,12,2011,07,0.1340
CARIBBEAN_SEA,12,2011,08,0.1380
CARIBBEAN_SEA,12,2011,09,0.1312
CARIBBEAN_SEA,12,2011,10,0.1345
CARIBBEAN_SEA,12,2011,11,0.1368
CARIBBEAN_SEA,12,2011,12,0.1563
CARIBBEAN_SEA,12,2012,01,0.1650
CARIBBEAN_SEA,12,2012,02,0.1468
CARIBBEAN_SEA,12,2012,03,0.1424
CARIBBEAN_SEA,12,2012,04,0.1197
CARIBBEAN_SEA,12,2012,05,0.1162
CARIBBEAN_SEA,12,2012,06,0.1261
CARIBBEAN_SEA,12,2012,07,0.1338
CARIBBEAN_SEA,12,2012,08,0.1342
CARIBBEAN_SEA,12,2012,09,0.1265
CARIBBEAN_SEA,12,2012,10,0.1222
CARIBBEAN_SEA,12,2012,11,0.1320
CARIBBEAN_SEA,12,2012,12,0.1316
CARIBBEAN_SEA,12,2013,01,0.1408
CARIBBEAN_SEA,12,2013,02,0.1183
CARIBBEAN_SEA,12,2013,03,0.1072
CARIBBEAN_SEA,12,2013,04,0.1000
CARIBBEAN_SEA,12,2013,05,0.09184
CARIBBEAN_SEA,12,2013,06,0.1052
