LME,LME_NUM,YEAR,MONTH,MEAN
CELTIC_BISCAY_SHELF,24,1996,11,0.3132
CELTIC_BISCAY_SHELF,24,1996,12,0.4483
CELTIC_BISCAY_SHELF,24,1997,01,0.2336
CELTIC_BISCAY_SHELF,24,1997,02,0.4987
CELTIC_BISCAY_SHELF,24,1997,03,0.6049
CELTIC_BISCAY_SHELF,24,1997,04,0.8159
CELTIC_BISCAY_SHELF,24,1997,05,0.7269
CELTIC_BISCAY_SHELF,24,1997,06,0.5889
CELTIC_BISCAY_SHELF,24,1997,09,0.7111
CELTIC_BISCAY_SHELF,24,1997,10,0.6087
CELTIC_BISCAY_SHELF,24,1997,11,0.5360
CELTIC_BISCAY_SHELF,24,1997,12,0.6763
CELTIC_BISCAY_SHELF,24,1998,01,0.7912
CELTIC_BISCAY_SHELF,24,1998,02,0.5623
CELTIC_BISCAY_SHELF,24,1998,03,0.6006
CELTIC_BISCAY_SHELF,24,1998,04,0.7930
CELTIC_BISCAY_SHELF,24,1998,05,0.8996
CELTIC_BISCAY_SHELF,24,1998,06,0.7879
CELTIC_BISCAY_SHELF,24,1998,07,0.5821
CELTIC_BISCAY_SHELF,24,1998,08,0.5855
CELTIC_BISCAY_SHELF,24,1998,09,0.7173
CELTIC_BISCAY_SHELF,24,1998,10,0.7215
CELTIC_BISCAY_SHELF,24,1998,11,0.5962
CELTIC_BISCAY_SHELF,24,1998,12,0.5941
CELTIC_BISCAY_SHELF,24,1999,01,0.4945
CELTIC_BISCAY_SHELF,24,1999,02,0.5574
CELTIC_BISCAY_SHELF,24,1999,03,0.6121
CELTIC_BISCAY_SHELF,24,1999,04,0.8529
CELTIC_BISCAY_SHELF,24,1999,05,1.100
CELTIC_BISCAY_SHELF,24,1999,06,0.8003
CELTIC_BISCAY_SHELF,24,1999,07,0.7209
CELTIC_BISCAY_SHELF,24,1999,08,0.6531
CELTIC_BISCAY_SHELF,24,1999,09,0.6881
CELTIC_BISCAY_SHELF,24,1999,10,0.7547
CELTIC_BISCAY_SHELF,24,1999,11,0.6005
CELTIC_BISCAY_SHELF,24,1999,12,0.7149
CELTIC_BISCAY_SHELF,24,2000,01,0.5173
