LME,LME_NUM,YEAR,MEAN
CELTIC_BISCAY_SHELF,24,1998,0.7922
CELTIC_BISCAY_SHELF,24,1999,0.8729
CELTIC_BISCAY_SHELF,24,2000,0.8041
CELTIC_BISCAY_SHELF,24,2001,0.7275
CELTIC_BISCAY_SHELF,24,2002,0.7186
CELTIC_BISCAY_SHELF,24,2003,0.7103
CELTIC_BISCAY_SHELF,24,2004,0.6879
CELTIC_BISCAY_SHELF,24,2005,0.6528
CELTIC_BISCAY_SHELF,24,2006,0.6439
CELTIC_BISCAY_SHELF,24,2007,0.6883
CELTIC_BISCAY_SHELF,24,2008,0.6901
CELTIC_BISCAY_SHELF,24,2009,0.7313
CELTIC_BISCAY_SHELF,24,2010,0.6655
CELTIC_BISCAY_SHELF,24,2011,0.6694
CELTIC_BISCAY_SHELF,24,2012,0.7113
CELTIC_BISCAY_SHELF,24,2013,0.6780
