LME,LME_NUM,YEAR,MONTH,MEAN
EAST_CHINA_SEA,47,1996,11,0.2866
EAST_CHINA_SEA,47,1996,12,0.4275
EAST_CHINA_SEA,47,1997,01,0.4176
EAST_CHINA_SEA,47,1997,02,0.3762
EAST_CHINA_SEA,47,1997,03,0.6001
EAST_CHINA_SEA,47,1997,04,0.6343
EAST_CHINA_SEA,47,1997,05,0.4466
EAST_CHINA_SEA,47,1997,06,0.3761
EAST_CHINA_SEA,47,1997,09,0.3594
EAST_CHINA_SEA,47,1997,10,0.4810
EAST_CHINA_SEA,47,1997,11,0.5199
EAST_CHINA_SEA,47,1997,12,0.5523
EAST_CHINA_SEA,47,1998,01,0.8185
EAST_CHINA_SEA,47,1998,02,0.8374
EAST_CHINA_SEA,47,1998,03,0.5589
EAST_CHINA_SEA,47,1998,04,0.7217
EAST_CHINA_SEA,47,1998,05,0.4952
EAST_CHINA_SEA,47,1998,06,0.3503
EAST_CHINA_SEA,47,1998,07,0.3529
EAST_CHINA_SEA,47,1998,08,0.3945
EAST_CHINA_SEA,47,1998,09,0.4212
EAST_CHINA_SEA,47,1998,10,0.4151
EAST_CHINA_SEA,47,1998,11,0.5946
EAST_CHINA_SEA,47,1998,12,0.6022
EAST_CHINA_SEA,47,1999,01,0.8128
EAST_CHINA_SEA,47,1999,02,0.6775
EAST_CHINA_SEA,47,1999,03,0.6326
EAST_CHINA_SEA,47,1999,04,0.7328
EAST_CHINA_SEA,47,1999,05,0.5128
EAST_CHINA_SEA,47,1999,06,0.4174
EAST_CHINA_SEA,47,1999,07,0.4339
EAST_CHINA_SEA,47,1999,08,0.4453
EAST_CHINA_SEA,47,1999,09,0.4883
EAST_CHINA_SEA,47,1999,10,0.5211
EAST_CHINA_SEA,47,1999,11,0.5802
EAST_CHINA_SEA,47,1999,12,0.6462
EAST_CHINA_SEA,47,2000,01,0.5347
EAST_CHINA_SEA,47,2000,02,0.6973
EAST_CHINA_SEA,47,2000,03,0.8709
EAST_CHINA_SEA,47,2000,04,0.8245
EAST_CHINA_SEA,47,2000,05,0.5362
EAST_CHINA_SEA,47,2000,06,0.3692
EAST_CHINA_SEA,47,2000,07,0.3165
EAST_CHINA_SEA,47,2000,08,0.3539
EAST_CHINA_SEA,47,2000,09,0.4696
EAST_CHINA_SEA,47,2000,10,0.4670
EAST_CHINA_SEA,47,2000,11,0.4920
EAST_CHINA_SEA,47,2000,12,0.5853
EAST_CHINA_SEA,47,2001,01,0.5514
EAST_CHINA_SEA,47,2001,02,0.5486
EAST_CHINA_SEA,47,2001,03,0.8201
EAST_CHINA_SEA,47,2001,04,0.8078
EAST_CHINA_SEA,47,2001,05,0.5074
EAST_CHINA_SEA,47,2001,06,0.3934
EAST_CHINA_SEA,47,2001,07,0.3079
