LME,LME_NUM,YEAR,MONTH,MEAN
EAST_SIBERIAN_SEA,56,1996,11,0.0000
EAST_SIBERIAN_SEA,56,1996,12,0.0000
EAST_SIBERIAN_SEA,56,1997,01,0.0000
EAST_SIBERIAN_SEA,56,1997,02,0.0000
EAST_SIBERIAN_SEA,56,1997,03,0.0000
EAST_SIBERIAN_SEA,56,1997,04,0.0000
EAST_SIBERIAN_SEA,56,1997,05,0.0000
EAST_SIBERIAN_SEA,56,1997,06,0.7955
EAST_SIBERIAN_SEA,56,1997,09,2.656
EAST_SIBERIAN_SEA,56,1997,10,0.0000
EAST_SIBERIAN_SEA,56,1997,11,0.0000
EAST_SIBERIAN_SEA,56,1997,12,0.0000
EAST_SIBERIAN_SEA,56,1998,01,0.0000
EAST_SIBERIAN_SEA,56,1998,02,0.0000
EAST_SIBERIAN_SEA,56,1998,03,0.0000
EAST_SIBERIAN_SEA,56,1998,04,0.0000
EAST_SIBERIAN_SEA,56,1998,05,0.0000
EAST_SIBERIAN_SEA,56,1998,06,2.773
EAST_SIBERIAN_SEA,56,1998,07,6.857
EAST_SIBERIAN_SEA,56,1998,08,5.703
EAST_SIBERIAN_SEA,56,1998,09,4.337
EAST_SIBERIAN_SEA,56,1998,10,0.0000
EAST_SIBERIAN_SEA,56,1998,11,0.0000
EAST_SIBERIAN_SEA,56,1998,12,0.0000
EAST_SIBERIAN_SEA,56,1999,01,0.0000
EAST_SIBERIAN_SEA,56,1999,02,0.0000
EAST_SIBERIAN_SEA,56,1999,03,0.0000
EAST_SIBERIAN_SEA,56,1999,04,0.0000
EAST_SIBERIAN_SEA,56,1999,05,0.3890
EAST_SIBERIAN_SEA,56,1999,06,0.7291
EAST_SIBERIAN_SEA,56,1999,07,1.804
EAST_SIBERIAN_SEA,56,1999,08,2.359
EAST_SIBERIAN_SEA,56,1999,09,1.952
EAST_SIBERIAN_SEA,56,1999,10,0.0000
EAST_SIBERIAN_SEA,56,1999,11,0.0000
EAST_SIBERIAN_SEA,56,1999,12,0.0000
EAST_SIBERIAN_SEA,56,2000,01,0.0000
EAST_SIBERIAN_SEA,56,2000,02,0.0000
EAST_SIBERIAN_SEA,56,2000,03,0.0000
EAST_SIBERIAN_SEA,56,2000,04,0.0000
EAST_SIBERIAN_SEA,56,2000,05,0.3081
EAST_SIBERIAN_SEA,56,2000,06,1.140
EAST_SIBERIAN_SEA,56,2000,07,3.339
EAST_SIBERIAN_SEA,56,2000,08,2.192
EAST_SIBERIAN_SEA,56,2000,09,1.748
EAST_SIBERIAN_SEA,56,2000,10,0.0000
EAST_SIBERIAN_SEA,56,2000,11,0.0000
EAST_SIBERIAN_SEA,56,2000,12,0.0000
EAST_SIBERIAN_SEA,56,2001,01,0.0000
EAST_SIBERIAN_SEA,56,2001,02,0.0000
EAST_SIBERIAN_SEA,56,2001,03,0.0000
EAST_SIBERIAN_SEA,56,2001,04,0.3736
EAST_SIBERIAN_SEA,56,2001,05,0.3689
EAST_SIBERIAN_SEA,56,2001,06,0.9380
EAST_SIBERIAN_SEA,56,2001,07,3.151
EAST_SIBERIAN_SEA,56,2001,08,1.870
EAST_SIBERIAN_SEA,56,2001,09,2.111
EAST_SIBERIAN_SEA,56,2001,10,0.0000
EAST_SIBERIAN_SEA,56,2001,11,0.0000
EAST_SIBERIAN_SEA,56,2001,12,0.0000
EAST_SIBERIAN_SEA,56,2002,01,0.0000
EAST_SIBERIAN_SEA,56,2002,02,0.0000
EAST_SIBERIAN_SEA,56,2002,03,0.3265
EAST_SIBERIAN_SEA,56,2002,04,0.3632
EAST_SIBERIAN_SEA,56,2002,05,0.4648
EAST_SIBERIAN_SEA,56,2002,06,0.8910
EAST_SIBERIAN_SEA,56,2002,07,1.238
EAST_SIBERIAN_SEA,56,2002,08,1.178
EAST_SIBERIAN_SEA,56,2002,09,0.7768
EAST_SIBERIAN_SEA,56,2002,10,0.0000
EAST_SIBERIAN_SEA,56,2002,11,0.0000
EAST_SIBERIAN_SEA,56,2002,12,0.0000
EAST_SIBERIAN_SEA,56,2003,01,0.0000
EAST_SIBERIAN_SEA,56,2003,02,0.0000
EAST_SIBERIAN_SEA,56,2003,03,0.2110
EAST_SIBERIAN_SEA,56,2003,04,0.3084
EAST_SIBERIAN_SEA,56,2003,05,0.3147
EAST_SIBERIAN_SEA,56,2003,06,1.129
EAST_SIBERIAN_SEA,56,2003,07,0.9296
EAST_SIBERIAN_SEA,56,2003,08,0.6958
EAST_SIBERIAN_SEA,56,2003,09,0.5564
EAST_SIBERIAN_SEA,56,2003,10,0.0000
EAST_SIBERIAN_SEA,56,2003,11,0.0000
