LME,LME_NUM,YEAR,MONTH,MEAN
GREENLAND_SEA,19,1996,11,0.0000
GREENLAND_SEA,19,1996,12,0.0000
GREENLAND_SEA,19,1997,01,0.0000
GREENLAND_SEA,19,1997,02,0.0000
GREENLAND_SEA,19,1997,03,0.1739
GREENLAND_SEA,19,1997,04,0.2691
GREENLAND_SEA,19,1997,05,0.3315
GREENLAND_SEA,19,1997,06,0.5244
GREENLAND_SEA,19,1997,09,0.5848
GREENLAND_SEA,19,1997,10,0.4450
GREENLAND_SEA,19,1997,11,0.0000
GREENLAND_SEA,19,1997,12,0.0000
GREENLAND_SEA,19,1998,01,0.0000
GREENLAND_SEA,19,1998,02,0.2971
GREENLAND_SEA,19,1998,03,0.2138
GREENLAND_SEA,19,1998,04,0.2597
GREENLAND_SEA,19,1998,05,1.264
GREENLAND_SEA,19,1998,06,1.013
GREENLAND_SEA,19,1998,07,0.5173
GREENLAND_SEA,19,1998,08,0.5198
GREENLAND_SEA,19,1998,09,0.5447
GREENLAND_SEA,19,1998,10,0.4432
GREENLAND_SEA,19,1998,11,0.0000
GREENLAND_SEA,19,1998,12,0.0000
GREENLAND_SEA,19,1999,01,0.0000
GREENLAND_SEA,19,1999,02,0.2345
GREENLAND_SEA,19,1999,03,0.2388
GREENLAND_SEA,19,1999,04,0.2269
GREENLAND_SEA,19,1999,05,0.7048
GREENLAND_SEA,19,1999,06,1.187
GREENLAND_SEA,19,1999,07,0.7676
GREENLAND_SEA,19,1999,08,0.4533
GREENLAND_SEA,19,1999,09,0.5282
GREENLAND_SEA,19,1999,10,0.4012
GREENLAND_SEA,19,1999,11,0.0000
GREENLAND_SEA,19,1999,12,0.0000
GREENLAND_SEA,19,2000,01,0.0000
GREENLAND_SEA,19,2000,02,0.2356
GREENLAND_SEA,19,2000,03,0.1848
GREENLAND_SEA,19,2000,04,0.1780
GREENLAND_SEA,19,2000,05,0.4334
GREENLAND_SEA,19,2000,06,0.8397
GREENLAND_SEA,19,2000,07,0.6005
GREENLAND_SEA,19,2000,08,0.4772
GREENLAND_SEA,19,2000,09,0.4374
GREENLAND_SEA,19,2000,10,0.4032
GREENLAND_SEA,19,2000,11,0.0000
GREENLAND_SEA,19,2000,12,0.0000
GREENLAND_SEA,19,2001,01,0.0000
GREENLAND_SEA,19,2001,02,0.3668
GREENLAND_SEA,19,2001,03,0.1946
GREENLAND_SEA,19,2001,04,0.1971
GREENLAND_SEA,19,2001,05,0.4263
GREENLAND_SEA,19,2001,06,0.7374
GREENLAND_SEA,19,2001,07,0.4760
GREENLAND_SEA,19,2001,08,0.4298
GREENLAND_SEA,19,2001,09,0.4665
GREENLAND_SEA,19,2001,10,0.3866
GREENLAND_SEA,19,2001,11,0.0000
GREENLAND_SEA,19,2001,12,0.0000
GREENLAND_SEA,19,2002,01,0.0000
GREENLAND_SEA,19,2002,02,0.2367
GREENLAND_SEA,19,2002,03,0.1653
GREENLAND_SEA,19,2002,04,0.1879
GREENLAND_SEA,19,2002,05,0.2717
GREENLAND_SEA,19,2002,06,0.5868
GREENLAND_SEA,19,2002,07,0.5106
GREENLAND_SEA,19,2002,08,0.3940
GREENLAND_SEA,19,2002,09,0.3757
GREENLAND_SEA,19,2002,10,0.2717
GREENLAND_SEA,19,2002,11,0.0000
GREENLAND_SEA,19,2002,12,0.0000
GREENLAND_SEA,19,2003,01,0.0000
GREENLAND_SEA,19,2003,02,0.2083
GREENLAND_SEA,19,2003,03,0.1528
GREENLAND_SEA,19,2003,04,0.1985
GREENLAND_SEA,19,2003,05,0.3200
GREENLAND_SEA,19,2003,06,0.4689
GREENLAND_SEA,19,2003,07,0.4222
GREENLAND_SEA,19,2003,08,0.3943
GREENLAND_SEA,19,2003,09,0.3713
GREENLAND_SEA,19,2003,10,0.4065
GREENLAND_SEA,19,2003,11,0.0000
GREENLAND_SEA,19,2003,12,0.0000
GREENLAND_SEA,19,2004,01,0.0000
GREENLAND_SEA,19,2004,02,0.1622
GREENLAND_SEA,19,2004,03,0.1718
GREENLAND_SEA,19,2004,04,0.1863
GREENLAND_SEA,19,2004,05,0.3298
GREENLAND_SEA,19,2004,06,0.4785
GREENLAND_SEA,19,2004,07,0.5210
GREENLAND_SEA,19,2004,08,0.3868
GREENLAND_SEA,19,2004,09,0.3414
GREENLAND_SEA,19,2004,10,0.3400
GREENLAND_SEA,19,2004,11,0.0000
GREENLAND_SEA,19,2004,12,0.0000
GREENLAND_SEA,19,2005,01,0.0000
GREENLAND_SEA,19,2005,02,0.1589
GREENLAND_SEA,19,2005,03,0.1968
GREENLAND_SEA,19,2005,04,0.2011
GREENLAND_SEA,19,2005,05,0.3105
GREENLAND_SEA,19,2005,06,0.5416
GREENLAND_SEA,19,2005,07,0.4992
GREENLAND_SEA,19,2005,08,0.3802
GREENLAND_SEA,19,2005,09,0.3746
GREENLAND_SEA,19,2005,10,0.3108
GREENLAND_SEA,19,2005,11,0.0000
GREENLAND_SEA,19,2005,12,0.0000
GREENLAND_SEA,19,2006,01,0.0000
GREENLAND_SEA,19,2006,02,0.1504
GREENLAND_SEA,19,2006,03,0.1470
GREENLAND_SEA,19,2006,04,0.2322
GREENLAND_SEA,19,2006,05,0.4329
GREENLAND_SEA,19,2006,06,0.7148
GREENLAND_SEA,19,2006,07,0.5621
GREENLAND_SEA,19,2006,08,0.4215
GREENLAND_SEA,19,2006,09,0.3821
GREENLAND_SEA,19,2006,10,0.3751
GREENLAND_SEA,19,2006,11,0.0000
GREENLAND_SEA,19,2006,12,0.0000
GREENLAND_SEA,19,2007,01,0.0000
GREENLAND_SEA,19,2007,02,0.3053
GREENLAND_SEA,19,2007,03,0.1758
GREENLAND_SEA,19,2007,04,0.1899
GREENLAND_SEA,19,2007,05,0.4288
GREENLAND_SEA,19,2007,06,0.6706
GREENLAND_SEA,19,2007,07,0.4287
GREENLAND_SEA,19,2007,08,0.3771
GREENLAND_SEA,19,2007,09,0.3503
GREENLAND_SEA,19,2007,10,0.3340
GREENLAND_SEA,19,2007,11,0.0000
GREENLAND_SEA,19,2007,12,0.0000
GREENLAND_SEA,19,2008,01,0.0000
GREENLAND_SEA,19,2008,02,0.2168
GREENLAND_SEA,19,2008,03,0.1488
GREENLAND_SEA,19,2008,04,0.1691
GREENLAND_SEA,19,2008,05,0.3887
GREENLAND_SEA,19,2008,06,0.5954
GREENLAND_SEA,19,2008,07,0.5457
GREENLAND_SEA,19,2008,08,0.4129
GREENLAND_SEA,19,2008,09,0.3966
GREENLAND_SEA,19,2008,10,0.3449
GREENLAND_SEA,19,2008,11,0.0000
GREENLAND_SEA,19,2008,12,0.0000
GREENLAND_SEA,19,2009,01,0.0000
GREENLAND_SEA,19,2009,02,0.2626
GREENLAND_SEA,19,2009,03,0.1750
GREENLAND_SEA,19,2009,04,0.1626
GREENLAND_SEA,19,2009,05,0.3359
GREENLAND_SEA,19,2009,06,0.5272
GREENLAND_SEA,19,2009,07,0.5112
GREENLAND_SEA,19,2009,08,0.4438
GREENLAND_SEA,19,2009,09,0.5224
GREENLAND_SEA,19,2009,10,0.3280
GREENLAND_SEA,19,2009,11,0.0000
GREENLAND_SEA,19,2009,12,0.0000
GREENLAND_SEA,19,2010,01,0.0000
GREENLAND_SEA,19,2010,02,0.2322
GREENLAND_SEA,19,2010,03,0.1659
GREENLAND_SEA,19,2010,04,0.1970
GREENLAND_SEA,19,2010,05,0.3440
GREENLAND_SEA,19,2010,06,0.5839
GREENLAND_SEA,19,2010,07,0.4373
GREENLAND_SEA,19,2010,08,0.4048
GREENLAND_SEA,19,2010,09,0.3980
GREENLAND_SEA,19,2010,10,0.4708
GREENLAND_SEA,19,2010,11,0.0000
GREENLAND_SEA,19,2010,12,0.0000
GREENLAND_SEA,19,2011,01,0.0000
GREENLAND_SEA,19,2011,02,0.1863
GREENLAND_SEA,19,2011,03,0.1729
GREENLAND_SEA,19,2011,04,0.2390
GREENLAND_SEA,19,2011,05,0.3792
GREENLAND_SEA,19,2011,06,0.5440
GREENLAND_SEA,19,2011,07,0.4481
GREENLAND_SEA,19,2011,08,0.3981
GREENLAND_SEA,19,2011,09,0.3906
GREENLAND_SEA,19,2011,10,0.3588
GREENLAND_SEA,19,2011,11,0.0000
GREENLAND_SEA,19,2011,12,0.0000
GREENLAND_SEA,19,2012,01,0.0000
GREENLAND_SEA,19,2012,02,0.2086
GREENLAND_SEA,19,2012,03,0.1902
GREENLAND_SEA,19,2012,04,0.1984
GREENLAND_SEA,19,2012,05,0.3745
GREENLAND_SEA,19,2012,06,0.5730
GREENLAND_SEA,19,2012,07,0.6048
GREENLAND_SEA,19,2012,08,0.4399
GREENLAND_SEA,19,2012,09,0.4970
GREENLAND_SEA,19,2012,10,0.5051
GREENLAND_SEA,19,2012,11,0.0000
GREENLAND_SEA,19,2012,12,0.0000
GREENLAND_SEA,19,2013,01,0.0000
GREENLAND_SEA,19,2013,02,0.2208
GREENLAND_SEA,19,2013,03,0.1729
GREENLAND_SEA,19,2013,04,0.1736
GREENLAND_SEA,19,2013,05,0.3767
GREENLAND_SEA,19,2013,06,0.8283
GREENLAND_SEA,19,2013,07,0.4813
GREENLAND_SEA,19,2013,08,0.4520
GREENLAND_SEA,19,2013,09,0.5112
GREENLAND_SEA,19,2013,10,0.4620
GREENLAND_SEA,19,2013,11,0.0000
GREENLAND_SEA,19,2013,12,0.0000
GREENLAND_SEA,19,2014,01,0.0000
GREENLAND_SEA,19,2014,02,0.0000
