LME,LME_NUM,YEAR,MONTH,MEAN
NORTHERN_BERING_CHUKCHI_SEAS,54,1996,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1996,12,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,01,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,02,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,03,0.4734
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,04,1.179
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,05,1.881
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,06,0.8485
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,09,1.654
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,10,1.345
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1997,12,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,01,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,02,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,03,2.313
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,04,2.812
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,05,1.992
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,06,1.858
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,07,0.9386
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,08,1.146
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,09,1.469
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,10,1.592
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,12,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,01,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,02,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,03,3.895
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,04,3.347
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,05,1.876
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,06,1.085
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,07,0.9402
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,08,0.8778
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,09,0.9201
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,10,1.151
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,12,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,01,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,02,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,03,2.220
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,04,1.994
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,05,2.265
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,06,1.016
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,07,0.8309
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,08,0.9276
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,09,1.010
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,10,2.404
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,12,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,01,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,02,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,03,1.257
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,04,1.992
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,05,2.494
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,06,1.286
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,07,1.119
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,08,1.010
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,09,1.311
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,10,1.574
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,12,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,01,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,02,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,03,1.742
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,04,1.864
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,05,1.815
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,06,1.037
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,07,0.5669
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,08,0.5386
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,09,0.6437
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,10,0.8481
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,12,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,01,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,02,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,03,0.5533
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,04,0.8598
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,05,1.442
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,06,0.9909
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,07,0.6494
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,08,0.5188
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,09,0.4368
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,10,0.8210
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,11,0.0000
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,12,0.0000
