LME,LME_NUM,YEAR,MEAN
NORTHERN_BERING_CHUKCHI_SEAS,54,1998,1.171
NORTHERN_BERING_CHUKCHI_SEAS,54,1999,0.6951
NORTHERN_BERING_CHUKCHI_SEAS,54,2000,0.6728
NORTHERN_BERING_CHUKCHI_SEAS,54,2001,0.8338
NORTHERN_BERING_CHUKCHI_SEAS,54,2002,0.5853
NORTHERN_BERING_CHUKCHI_SEAS,54,2003,0.4978
NORTHERN_BERING_CHUKCHI_SEAS,54,2004,0.5016
NORTHERN_BERING_CHUKCHI_SEAS,54,2005,0.6201
NORTHERN_BERING_CHUKCHI_SEAS,54,2006,0.6188
NORTHERN_BERING_CHUKCHI_SEAS,54,2007,0.5631
NORTHERN_BERING_CHUKCHI_SEAS,54,2008,0.5190
NORTHERN_BERING_CHUKCHI_SEAS,54,2009,0.5543
NORTHERN_BERING_CHUKCHI_SEAS,54,2010,0.4966
NORTHERN_BERING_CHUKCHI_SEAS,54,2011,0.5133
NORTHERN_BERING_CHUKCHI_SEAS,54,2012,0.5973
NORTHERN_BERING_CHUKCHI_SEAS,54,2013,0.6591
