LME,LME_NUM,YEAR,MONTH,MEAN
NORTH_BRAZIL_SHELF,17,1996,11,0.2106
NORTH_BRAZIL_SHELF,17,1996,12,0.2125
NORTH_BRAZIL_SHELF,17,1997,01,0.1796
NORTH_BRAZIL_SHELF,17,1997,02,0.2318
NORTH_BRAZIL_SHELF,17,1997,03,0.2325
NORTH_BRAZIL_SHELF,17,1997,04,0.2480
NORTH_BRAZIL_SHELF,17,1997,05,0.3221
NORTH_BRAZIL_SHELF,17,1997,06,0.3656
NORTH_BRAZIL_SHELF,17,1997,09,0.2592
NORTH_BRAZIL_SHELF,17,1997,10,0.2428
NORTH_BRAZIL_SHELF,17,1997,11,0.1861
NORTH_BRAZIL_SHELF,17,1997,12,0.2332
NORTH_BRAZIL_SHELF,17,1998,01,0.2478
NORTH_BRAZIL_SHELF,17,1998,02,0.2451
NORTH_BRAZIL_SHELF,17,1998,03,0.2555
NORTH_BRAZIL_SHELF,17,1998,04,0.3084
NORTH_BRAZIL_SHELF,17,1998,05,0.3576
NORTH_BRAZIL_SHELF,17,1998,06,0.4434
NORTH_BRAZIL_SHELF,17,1998,07,0.3966
NORTH_BRAZIL_SHELF,17,1998,08,0.4101
NORTH_BRAZIL_SHELF,17,1998,09,0.3126
NORTH_BRAZIL_SHELF,17,1998,10,0.2495
NORTH_BRAZIL_SHELF,17,1998,11,0.1901
NORTH_BRAZIL_SHELF,17,1998,12,0.2253
NORTH_BRAZIL_SHELF,17,1999,01,0.3116
NORTH_BRAZIL_SHELF,17,1999,02,0.3085
NORTH_BRAZIL_SHELF,17,1999,03,0.2734
NORTH_BRAZIL_SHELF,17,1999,04,0.3388
NORTH_BRAZIL_SHELF,17,1999,05,0.6603
NORTH_BRAZIL_SHELF,17,1999,06,0.6339
NORTH_BRAZIL_SHELF,17,1999,07,0.6071
NORTH_BRAZIL_SHELF,17,1999,08,0.4540
NORTH_BRAZIL_SHELF,17,1999,09,0.4046
NORTH_BRAZIL_SHELF,17,1999,10,0.3066
NORTH_BRAZIL_SHELF,17,1999,11,0.2603
NORTH_BRAZIL_SHELF,17,1999,12,0.2436
NORTH_BRAZIL_SHELF,17,2000,01,0.2434
NORTH_BRAZIL_SHELF,17,2000,02,0.3304
NORTH_BRAZIL_SHELF,17,2000,03,0.3233
NORTH_BRAZIL_SHELF,17,2000,04,0.5201
NORTH_BRAZIL_SHELF,17,2000,05,0.7055
NORTH_BRAZIL_SHELF,17,2000,06,0.5213
NORTH_BRAZIL_SHELF,17,2000,07,0.4682
NORTH_BRAZIL_SHELF,17,2000,08,0.4457
NORTH_BRAZIL_SHELF,17,2000,09,0.3010
NORTH_BRAZIL_SHELF,17,2000,10,0.2720
NORTH_BRAZIL_SHELF,17,2000,11,0.2397
NORTH_BRAZIL_SHELF,17,2000,12,0.2850
NORTH_BRAZIL_SHELF,17,2001,01,0.2883
NORTH_BRAZIL_SHELF,17,2001,02,0.3059
NORTH_BRAZIL_SHELF,17,2001,03,0.3035
NORTH_BRAZIL_SHELF,17,2001,04,0.4862
NORTH_BRAZIL_SHELF,17,2001,05,0.5311
NORTH_BRAZIL_SHELF,17,2001,06,0.6234
NORTH_BRAZIL_SHELF,17,2001,07,0.7455
NORTH_BRAZIL_SHELF,17,2001,08,0.5344
NORTH_BRAZIL_SHELF,17,2001,09,0.3342
NORTH_BRAZIL_SHELF,17,2001,10,0.2300
NORTH_BRAZIL_SHELF,17,2001,11,0.2096
NORTH_BRAZIL_SHELF,17,2001,12,0.2362
NORTH_BRAZIL_SHELF,17,2002,01,0.2458
NORTH_BRAZIL_SHELF,17,2002,02,0.2970
NORTH_BRAZIL_SHELF,17,2002,03,0.2799
NORTH_BRAZIL_SHELF,17,2002,04,0.3735
NORTH_BRAZIL_SHELF,17,2002,05,0.5322
NORTH_BRAZIL_SHELF,17,2002,06,0.5129
NORTH_BRAZIL_SHELF,17,2002,07,0.4461
NORTH_BRAZIL_SHELF,17,2002,08,0.4602
NORTH_BRAZIL_SHELF,17,2002,09,0.3352
NORTH_BRAZIL_SHELF,17,2002,10,0.3067
NORTH_BRAZIL_SHELF,17,2002,11,0.2563
NORTH_BRAZIL_SHELF,17,2002,12,0.2541
NORTH_BRAZIL_SHELF,17,2003,01,0.2652
NORTH_BRAZIL_SHELF,17,2003,02,0.2799
NORTH_BRAZIL_SHELF,17,2003,03,0.3247
NORTH_BRAZIL_SHELF,17,2003,04,0.4596
NORTH_BRAZIL_SHELF,17,2003,05,0.5924
NORTH_BRAZIL_SHELF,17,2003,06,0.5669
NORTH_BRAZIL_SHELF,17,2003,07,0.4246
NORTH_BRAZIL_SHELF,17,2003,08,0.3554
NORTH_BRAZIL_SHELF,17,2003,09,0.3246
NORTH_BRAZIL_SHELF,17,2003,10,0.2888
NORTH_BRAZIL_SHELF,17,2003,11,0.2533
NORTH_BRAZIL_SHELF,17,2003,12,0.2438
NORTH_BRAZIL_SHELF,17,2004,01,0.2221
NORTH_BRAZIL_SHELF,17,2004,02,0.2768
NORTH_BRAZIL_SHELF,17,2004,03,0.3716
NORTH_BRAZIL_SHELF,17,2004,04,0.5514
NORTH_BRAZIL_SHELF,17,2004,05,0.5569
NORTH_BRAZIL_SHELF,17,2004,06,0.4814
NORTH_BRAZIL_SHELF,17,2004,07,0.4265
NORTH_BRAZIL_SHELF,17,2004,08,0.4289
NORTH_BRAZIL_SHELF,17,2004,09,0.2997
NORTH_BRAZIL_SHELF,17,2004,10,0.2560
NORTH_BRAZIL_SHELF,17,2004,11,0.2478
NORTH_BRAZIL_SHELF,17,2004,12,0.2306
NORTH_BRAZIL_SHELF,17,2005,01,0.2550
NORTH_BRAZIL_SHELF,17,2005,02,0.2490
NORTH_BRAZIL_SHELF,17,2005,03,0.2891
NORTH_BRAZIL_SHELF,17,2005,04,0.4785
NORTH_BRAZIL_SHELF,17,2005,05,0.5338
NORTH_BRAZIL_SHELF,17,2005,06,0.4723
NORTH_BRAZIL_SHELF,17,2005,07,0.4519
NORTH_BRAZIL_SHELF,17,2005,08,0.3947
NORTH_BRAZIL_SHELF,17,2005,09,0.3215
NORTH_BRAZIL_SHELF,17,2005,10,0.2609
NORTH_BRAZIL_SHELF,17,2005,11,0.2339
NORTH_BRAZIL_SHELF,17,2005,12,0.2188
NORTH_BRAZIL_SHELF,17,2006,01,0.2749
NORTH_BRAZIL_SHELF,17,2006,02,0.3218
NORTH_BRAZIL_SHELF,17,2006,03,0.3445
NORTH_BRAZIL_SHELF,17,2006,04,0.4145
NORTH_BRAZIL_SHELF,17,2006,05,0.6641
NORTH_BRAZIL_SHELF,17,2006,06,0.7398
NORTH_BRAZIL_SHELF,17,2006,07,0.4535
NORTH_BRAZIL_SHELF,17,2006,08,0.4054
NORTH_BRAZIL_SHELF,17,2006,09,0.2953
NORTH_BRAZIL_SHELF,17,2006,10,0.2881
NORTH_BRAZIL_SHELF,17,2006,11,0.2433
NORTH_BRAZIL_SHELF,17,2006,12,0.2470
NORTH_BRAZIL_SHELF,17,2007,01,0.2617
NORTH_BRAZIL_SHELF,17,2007,02,0.2842
