LME,LME_NUM,YEAR,MEAN
NORTH_BRAZIL_SHELF,17,1998,1.622
NORTH_BRAZIL_SHELF,17,1999,1.773
NORTH_BRAZIL_SHELF,17,2000,1.703
NORTH_BRAZIL_SHELF,17,2001,1.668
NORTH_BRAZIL_SHELF,17,2002,1.590
NORTH_BRAZIL_SHELF,17,2003,1.647
NORTH_BRAZIL_SHELF,17,2004,1.569
NORTH_BRAZIL_SHELF,17,2005,1.571
NORTH_BRAZIL_SHELF,17,2006,1.661
NORTH_BRAZIL_SHELF,17,2007,1.619
NORTH_BRAZIL_SHELF,17,2008,1.654
NORTH_BRAZIL_SHELF,17,2009,1.692
NORTH_BRAZIL_SHELF,17,2010,1.818
NORTH_BRAZIL_SHELF,17,2011,1.675
NORTH_BRAZIL_SHELF,17,2012,1.557
NORTH_BRAZIL_SHELF,17,2013,1.582
