LME,LME_NUM,YEAR,MONTH,MEAN
NORTH_SEA,22,1996,11,0.0000
NORTH_SEA,22,1996,12,0.0000
NORTH_SEA,22,1997,01,0.0000
NORTH_SEA,22,1997,02,0.0000
NORTH_SEA,22,1997,03,1.097
NORTH_SEA,22,1997,04,0.9313
NORTH_SEA,22,1997,05,0.9616
NORTH_SEA,22,1997,06,0.7449
NORTH_SEA,22,1997,09,1.225
NORTH_SEA,22,1997,10,1.279
NORTH_SEA,22,1997,11,2.569
NORTH_SEA,22,1997,12,0.0000
NORTH_SEA,22,1998,01,2.732
NORTH_SEA,22,1998,02,1.235
NORTH_SEA,22,1998,03,1.173
NORTH_SEA,22,1998,04,1.021
NORTH_SEA,22,1998,05,1.903
NORTH_SEA,22,1998,06,0.9565
NORTH_SEA,22,1998,07,0.9330
NORTH_SEA,22,1998,08,1.010
NORTH_SEA,22,1998,09,1.079
NORTH_SEA,22,1998,10,1.178
NORTH_SEA,22,1998,11,2.689
NORTH_SEA,22,1998,12,0.0000
NORTH_SEA,22,1999,01,2.332
NORTH_SEA,22,1999,02,1.517
NORTH_SEA,22,1999,03,1.049
NORTH_SEA,22,1999,04,1.301
NORTH_SEA,22,1999,05,1.280
NORTH_SEA,22,1999,06,1.009
NORTH_SEA,22,1999,07,0.9360
NORTH_SEA,22,1999,08,0.9557
NORTH_SEA,22,1999,09,1.090
NORTH_SEA,22,1999,10,1.429
NORTH_SEA,22,1999,11,1.856
NORTH_SEA,22,1999,12,0.0000
NORTH_SEA,22,2000,01,2.565
NORTH_SEA,22,2000,02,1.260
NORTH_SEA,22,2000,03,0.8543
NORTH_SEA,22,2000,04,1.118
NORTH_SEA,22,2000,05,1.373
NORTH_SEA,22,2000,06,1.072
NORTH_SEA,22,2000,07,0.9837
NORTH_SEA,22,2000,08,0.9467
NORTH_SEA,22,2000,09,1.111
NORTH_SEA,22,2000,10,0.9258
NORTH_SEA,22,2000,11,2.055
NORTH_SEA,22,2000,12,0.0000
NORTH_SEA,22,2001,01,3.235
NORTH_SEA,22,2001,02,1.064
NORTH_SEA,22,2001,03,0.8948
