LME,LME_NUM,YEAR,MEAN
OYASHIO_CURRENT,51,1998,0.7457
OYASHIO_CURRENT,51,1999,0.6400
OYASHIO_CURRENT,51,2000,0.5872
OYASHIO_CURRENT,51,2001,0.5199
OYASHIO_CURRENT,51,2002,0.5950
OYASHIO_CURRENT,51,2003,0.4654
OYASHIO_CURRENT,51,2004,0.4778
OYASHIO_CURRENT,51,2005,0.4578
OYASHIO_CURRENT,51,2006,0.4495
OYASHIO_CURRENT,51,2007,0.4420
OYASHIO_CURRENT,51,2008,0.5064
OYASHIO_CURRENT,51,2009,0.4444
OYASHIO_CURRENT,51,2010,0.5515
OYASHIO_CURRENT,51,2011,0.4457
OYASHIO_CURRENT,51,2012,0.4758
OYASHIO_CURRENT,51,2013,0.4520
