LME,LME_NUM,YEAR,MONTH,MEAN
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1996,11,0.2240
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1996,12,0.2415
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,01,0.2358
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,02,0.2586
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,03,0.2791
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,04,0.2527
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,05,0.1702
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,06,0.1549
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,09,0.2054
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,10,0.1753
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,11,0.1593
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1997,12,0.1646
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,01,0.1968
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,02,0.1891
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,03,0.1897
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,04,0.1964
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,05,0.1929
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,06,0.1485
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,07,0.1487
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,08,0.1615
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,09,0.1902
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,10,0.2103
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,11,0.2446
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,12,0.2784
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1999,01,0.2781
