LME,LME_NUM,YEAR,MEAN
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1998,0.8611
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,1999,1.182
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2000,1.334
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2001,1.290
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2002,1.108
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2003,1.043
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2004,1.061
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2005,1.023
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2006,1.094
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2007,1.061
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2008,1.060
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2009,1.034
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2010,0.9778
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2011,1.114
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2012,1.054
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,2013,1.007
