LME,LME_NUM,YEAR,MONTH,MEAN
RED_SEA,33,1996,11,0.2098
RED_SEA,33,1996,12,0.2788
RED_SEA,33,1997,01,0.2618
RED_SEA,33,1997,02,0.3028
RED_SEA,33,1997,03,0.2868
RED_SEA,33,1997,04,0.2014
RED_SEA,33,1997,05,0.1413
RED_SEA,33,1997,06,0.1582
RED_SEA,33,1997,09,0.1871
RED_SEA,33,1997,10,0.2095
RED_SEA,33,1997,11,0.2490
RED_SEA,33,1997,12,0.3270
RED_SEA,33,1998,01,0.3271
RED_SEA,33,1998,02,0.3101
RED_SEA,33,1998,03,0.2709
RED_SEA,33,1998,04,0.2097
RED_SEA,33,1998,05,0.1730
RED_SEA,33,1998,06,0.1788
RED_SEA,33,1998,07,0.1533
RED_SEA,33,1998,08,0.2222
RED_SEA,33,1998,09,0.2474
RED_SEA,33,1998,10,0.2058
RED_SEA,33,1998,11,0.2555
RED_SEA,33,1998,12,0.3501
RED_SEA,33,1999,01,0.4023
RED_SEA,33,1999,02,0.3491
RED_SEA,33,1999,03,0.2640
RED_SEA,33,1999,04,0.2053
RED_SEA,33,1999,05,0.1796
RED_SEA,33,1999,06,0.1511
RED_SEA,33,1999,07,0.1435
RED_SEA,33,1999,08,0.1489
RED_SEA,33,1999,09,0.1725
RED_SEA,33,1999,10,0.1966
RED_SEA,33,1999,11,0.2522
RED_SEA,33,1999,12,0.3303
RED_SEA,33,2000,01,0.3711
RED_SEA,33,2000,02,0.3441
RED_SEA,33,2000,03,0.2966
RED_SEA,33,2000,04,0.2175
RED_SEA,33,2000,05,0.1825
RED_SEA,33,2000,06,0.1295
RED_SEA,33,2000,07,0.08324
RED_SEA,33,2000,08,0.1152
RED_SEA,33,2000,09,0.1849
RED_SEA,33,2000,10,0.1957
RED_SEA,33,2000,11,0.2520
RED_SEA,33,2000,12,0.3125
RED_SEA,33,2001,01,0.3521
RED_SEA,33,2001,02,0.3307
RED_SEA,33,2001,03,0.2698
RED_SEA,33,2001,04,0.2059
RED_SEA,33,2001,05,0.1683
RED_SEA,33,2001,06,0.1991
RED_SEA,33,2001,07,0.1392
RED_SEA,33,2001,08,0.1321
RED_SEA,33,2001,09,0.1703
RED_SEA,33,2001,10,0.2017
RED_SEA,33,2001,11,0.2659
RED_SEA,33,2001,12,0.3332
