LME,LME_NUM,YEAR,MONTH,MEAN
SCOTIAN_SHELF,8,1996,11,0.6545
SCOTIAN_SHELF,8,1996,12,0.2749
SCOTIAN_SHELF,8,1997,01,0.0000
SCOTIAN_SHELF,8,1997,02,0.4496
SCOTIAN_SHELF,8,1997,03,0.6822
SCOTIAN_SHELF,8,1997,04,1.070
SCOTIAN_SHELF,8,1997,05,0.8014
SCOTIAN_SHELF,8,1997,06,0.5843
SCOTIAN_SHELF,8,1997,09,0.8637
SCOTIAN_SHELF,8,1997,10,0.9303
SCOTIAN_SHELF,8,1997,11,0.9747
SCOTIAN_SHELF,8,1997,12,0.8884
SCOTIAN_SHELF,8,1998,01,0.8650
SCOTIAN_SHELF,8,1998,02,0.7138
SCOTIAN_SHELF,8,1998,03,1.265
SCOTIAN_SHELF,8,1998,04,1.817
SCOTIAN_SHELF,8,1998,05,0.6887
SCOTIAN_SHELF,8,1998,06,0.5810
SCOTIAN_SHELF,8,1998,07,0.6656
SCOTIAN_SHELF,8,1998,08,0.7403
SCOTIAN_SHELF,8,1998,09,0.8572
SCOTIAN_SHELF,8,1998,10,1.046
SCOTIAN_SHELF,8,1998,11,0.8607
SCOTIAN_SHELF,8,1998,12,1.109
SCOTIAN_SHELF,8,1999,01,0.9428
SCOTIAN_SHELF,8,1999,02,1.121
SCOTIAN_SHELF,8,1999,03,1.989
SCOTIAN_SHELF,8,1999,04,1.116
SCOTIAN_SHELF,8,1999,05,0.8091
SCOTIAN_SHELF,8,1999,06,0.6181
SCOTIAN_SHELF,8,1999,07,0.6889
SCOTIAN_SHELF,8,1999,08,0.7886
SCOTIAN_SHELF,8,1999,09,1.027
SCOTIAN_SHELF,8,1999,10,1.314
SCOTIAN_SHELF,8,1999,11,1.192
SCOTIAN_SHELF,8,1999,12,0.9742
SCOTIAN_SHELF,8,2000,01,0.8527
SCOTIAN_SHELF,8,2000,02,0.7588
SCOTIAN_SHELF,8,2000,03,0.9294
SCOTIAN_SHELF,8,2000,04,1.726
SCOTIAN_SHELF,8,2000,05,0.8580
SCOTIAN_SHELF,8,2000,06,0.7440
SCOTIAN_SHELF,8,2000,07,0.7504
SCOTIAN_SHELF,8,2000,08,0.9979
SCOTIAN_SHELF,8,2000,09,1.003
SCOTIAN_SHELF,8,2000,10,1.079
SCOTIAN_SHELF,8,2000,11,0.7392
SCOTIAN_SHELF,8,2000,12,0.7879
SCOTIAN_SHELF,8,2001,01,0.6969
SCOTIAN_SHELF,8,2001,02,0.6801
SCOTIAN_SHELF,8,2001,03,0.7397
SCOTIAN_SHELF,8,2001,04,1.512
SCOTIAN_SHELF,8,2001,05,0.7730
SCOTIAN_SHELF,8,2001,06,0.5742
SCOTIAN_SHELF,8,2001,07,0.7706
SCOTIAN_SHELF,8,2001,08,1.041
SCOTIAN_SHELF,8,2001,09,0.9827
SCOTIAN_SHELF,8,2001,10,0.9455
SCOTIAN_SHELF,8,2001,11,0.8013
SCOTIAN_SHELF,8,2001,12,0.6636
SCOTIAN_SHELF,8,2002,01,0.6282
SCOTIAN_SHELF,8,2002,02,0.5716
SCOTIAN_SHELF,8,2002,03,0.9476
SCOTIAN_SHELF,8,2002,04,1.591
SCOTIAN_SHELF,8,2002,05,0.8868
SCOTIAN_SHELF,8,2002,06,0.7271
SCOTIAN_SHELF,8,2002,07,0.6738
SCOTIAN_SHELF,8,2002,08,0.9071
SCOTIAN_SHELF,8,2002,09,1.107
SCOTIAN_SHELF,8,2002,10,0.8508
SCOTIAN_SHELF,8,2002,11,0.5697
SCOTIAN_SHELF,8,2002,12,0.5068
SCOTIAN_SHELF,8,2003,01,0.4359
SCOTIAN_SHELF,8,2003,02,0.4918
SCOTIAN_SHELF,8,2003,03,0.6696
SCOTIAN_SHELF,8,2003,04,1.524
SCOTIAN_SHELF,8,2003,05,0.6774
SCOTIAN_SHELF,8,2003,06,0.6159
SCOTIAN_SHELF,8,2003,07,0.6128
SCOTIAN_SHELF,8,2003,08,0.8359
SCOTIAN_SHELF,8,2003,09,0.7916
SCOTIAN_SHELF,8,2003,10,0.7620
SCOTIAN_SHELF,8,2003,11,0.6059
SCOTIAN_SHELF,8,2003,12,0.6176
SCOTIAN_SHELF,8,2004,01,0.4905
SCOTIAN_SHELF,8,2004,02,0.5586
SCOTIAN_SHELF,8,2004,03,0.7442
SCOTIAN_SHELF,8,2004,04,1.584
SCOTIAN_SHELF,8,2004,05,0.8839
SCOTIAN_SHELF,8,2004,06,0.6933
SCOTIAN_SHELF,8,2004,07,0.6611
SCOTIAN_SHELF,8,2004,08,0.9113
SCOTIAN_SHELF,8,2004,09,0.9553
SCOTIAN_SHELF,8,2004,10,0.7930
SCOTIAN_SHELF,8,2004,11,0.5219
SCOTIAN_SHELF,8,2004,12,0.4898
SCOTIAN_SHELF,8,2005,01,0.5307
SCOTIAN_SHELF,8,2005,02,0.5922
SCOTIAN_SHELF,8,2005,03,0.8038
SCOTIAN_SHELF,8,2005,04,1.145
SCOTIAN_SHELF,8,2005,05,0.7346
SCOTIAN_SHELF,8,2005,06,0.7679
SCOTIAN_SHELF,8,2005,07,0.7032
SCOTIAN_SHELF,8,2005,08,0.8393
SCOTIAN_SHELF,8,2005,09,0.8287
SCOTIAN_SHELF,8,2005,10,0.7720
SCOTIAN_SHELF,8,2005,11,0.5976
SCOTIAN_SHELF,8,2005,12,0.4626
SCOTIAN_SHELF,8,2006,01,0.8787
SCOTIAN_SHELF,8,2006,02,0.7501
SCOTIAN_SHELF,8,2006,03,1.130
SCOTIAN_SHELF,8,2006,04,1.943
SCOTIAN_SHELF,8,2006,05,0.7267
SCOTIAN_SHELF,8,2006,06,0.7440
SCOTIAN_SHELF,8,2006,07,0.8075
SCOTIAN_SHELF,8,2006,08,0.9628
SCOTIAN_SHELF,8,2006,09,0.9879
SCOTIAN_SHELF,8,2006,10,0.9694
SCOTIAN_SHELF,8,2006,11,0.8457
SCOTIAN_SHELF,8,2006,12,0.5513
SCOTIAN_SHELF,8,2007,01,0.7639
SCOTIAN_SHELF,8,2007,02,0.5892
SCOTIAN_SHELF,8,2007,03,1.106
SCOTIAN_SHELF,8,2007,04,2.175
SCOTIAN_SHELF,8,2007,05,0.8692
SCOTIAN_SHELF,8,2007,06,0.6968
SCOTIAN_SHELF,8,2007,07,0.7274
SCOTIAN_SHELF,8,2007,08,0.8704
SCOTIAN_SHELF,8,2007,09,0.8680
SCOTIAN_SHELF,8,2007,10,0.9229
SCOTIAN_SHELF,8,2007,11,0.7631
SCOTIAN_SHELF,8,2007,12,0.5046
SCOTIAN_SHELF,8,2008,01,0.7437
SCOTIAN_SHELF,8,2008,02,0.5901
SCOTIAN_SHELF,8,2008,03,0.7224
SCOTIAN_SHELF,8,2008,04,1.200
SCOTIAN_SHELF,8,2008,05,0.8764
SCOTIAN_SHELF,8,2008,06,0.7187
SCOTIAN_SHELF,8,2008,07,0.7818
SCOTIAN_SHELF,8,2008,08,0.8492
SCOTIAN_SHELF,8,2008,09,0.9334
SCOTIAN_SHELF,8,2008,10,1.026
SCOTIAN_SHELF,8,2008,11,0.6766
SCOTIAN_SHELF,8,2008,12,0.7641
SCOTIAN_SHELF,8,2009,01,0.6789
SCOTIAN_SHELF,8,2009,02,0.6688
SCOTIAN_SHELF,8,2009,03,0.8931
SCOTIAN_SHELF,8,2009,04,1.308
SCOTIAN_SHELF,8,2009,05,0.7741
SCOTIAN_SHELF,8,2009,06,0.6964
SCOTIAN_SHELF,8,2009,07,0.6400
SCOTIAN_SHELF,8,2009,08,0.7377
SCOTIAN_SHELF,8,2009,09,0.8777
SCOTIAN_SHELF,8,2009,10,0.8087
SCOTIAN_SHELF,8,2009,11,0.9843
SCOTIAN_SHELF,8,2009,12,0.5361
SCOTIAN_SHELF,8,2010,01,0.8589
SCOTIAN_SHELF,8,2010,02,0.6867
SCOTIAN_SHELF,8,2010,03,1.457
SCOTIAN_SHELF,8,2010,04,1.109
SCOTIAN_SHELF,8,2010,05,0.7818
SCOTIAN_SHELF,8,2010,06,0.7189
SCOTIAN_SHELF,8,2010,07,0.7844
SCOTIAN_SHELF,8,2010,08,0.8153
SCOTIAN_SHELF,8,2010,09,0.8136
SCOTIAN_SHELF,8,2010,10,0.8430
SCOTIAN_SHELF,8,2010,11,0.7564
SCOTIAN_SHELF,8,2010,12,0.5833
SCOTIAN_SHELF,8,2011,01,0.5708
SCOTIAN_SHELF,8,2011,02,0.6064
SCOTIAN_SHELF,8,2011,03,0.8775
SCOTIAN_SHELF,8,2011,04,1.785
SCOTIAN_SHELF,8,2011,05,0.7596
SCOTIAN_SHELF,8,2011,06,0.7204
SCOTIAN_SHELF,8,2011,07,0.7197
SCOTIAN_SHELF,8,2011,08,0.7586
SCOTIAN_SHELF,8,2011,09,0.8241
SCOTIAN_SHELF,8,2011,10,1.084
SCOTIAN_SHELF,8,2011,11,0.8809
SCOTIAN_SHELF,8,2011,12,0.6922
SCOTIAN_SHELF,8,2012,01,0.6846
SCOTIAN_SHELF,8,2012,02,0.6419
SCOTIAN_SHELF,8,2012,03,1.442
SCOTIAN_SHELF,8,2012,04,1.023
SCOTIAN_SHELF,8,2012,05,0.7890
SCOTIAN_SHELF,8,2012,06,0.6398
SCOTIAN_SHELF,8,2012,07,0.7020
SCOTIAN_SHELF,8,2012,08,0.6718
SCOTIAN_SHELF,8,2012,09,0.8677
SCOTIAN_SHELF,8,2012,10,0.7989
SCOTIAN_SHELF,8,2012,11,0.7935
SCOTIAN_SHELF,8,2012,12,0.7577
SCOTIAN_SHELF,8,2013,01,0.8279
SCOTIAN_SHELF,8,2013,02,0.9045
SCOTIAN_SHELF,8,2013,03,0.8988
SCOTIAN_SHELF,8,2013,04,1.708
SCOTIAN_SHELF,8,2013,05,0.7402
SCOTIAN_SHELF,8,2013,06,0.5823
SCOTIAN_SHELF,8,2013,07,0.6079
SCOTIAN_SHELF,8,2013,08,0.9852
SCOTIAN_SHELF,8,2013,09,1.043
SCOTIAN_SHELF,8,2013,10,0.9295
SCOTIAN_SHELF,8,2013,11,0.7937
SCOTIAN_SHELF,8,2013,12,0.5322
SCOTIAN_SHELF,8,2014,01,0.8037
SCOTIAN_SHELF,8,2014,02,0.6795
