LME,LME_NUM,YEAR,MONTH,MEAN
SEA_OF_JAPAN,50,1996,11,0.4696
SEA_OF_JAPAN,50,1996,12,0.3078
SEA_OF_JAPAN,50,1997,01,0.3409
SEA_OF_JAPAN,50,1997,02,0.3318
SEA_OF_JAPAN,50,1997,03,0.4657
SEA_OF_JAPAN,50,1997,04,0.7285
SEA_OF_JAPAN,50,1997,05,0.5887
SEA_OF_JAPAN,50,1997,06,0.3147
SEA_OF_JAPAN,50,1997,09,0.2811
SEA_OF_JAPAN,50,1997,10,0.4023
SEA_OF_JAPAN,50,1997,11,0.7631
SEA_OF_JAPAN,50,1997,12,0.6065
SEA_OF_JAPAN,50,1998,01,0.4894
SEA_OF_JAPAN,50,1998,02,0.4206
SEA_OF_JAPAN,50,1998,03,0.6325
SEA_OF_JAPAN,50,1998,04,0.9171
SEA_OF_JAPAN,50,1998,05,0.5301
SEA_OF_JAPAN,50,1998,06,0.3030
SEA_OF_JAPAN,50,1998,07,0.2459
SEA_OF_JAPAN,50,1998,08,0.2566
SEA_OF_JAPAN,50,1998,09,0.2702
SEA_OF_JAPAN,50,1998,10,0.4266
SEA_OF_JAPAN,50,1998,11,0.6778
SEA_OF_JAPAN,50,1998,12,0.7649
SEA_OF_JAPAN,50,1999,01,0.4287
SEA_OF_JAPAN,50,1999,02,0.4444
SEA_OF_JAPAN,50,1999,03,0.5013
SEA_OF_JAPAN,50,1999,04,0.8378
SEA_OF_JAPAN,50,1999,05,0.8349
SEA_OF_JAPAN,50,1999,06,0.3919
SEA_OF_JAPAN,50,1999,07,0.2818
SEA_OF_JAPAN,50,1999,08,0.2499
SEA_OF_JAPAN,50,1999,09,0.2988
SEA_OF_JAPAN,50,1999,10,0.5814
SEA_OF_JAPAN,50,1999,11,0.8547
SEA_OF_JAPAN,50,1999,12,0.5742
SEA_OF_JAPAN,50,2000,01,0.4527
SEA_OF_JAPAN,50,2000,02,0.4327
SEA_OF_JAPAN,50,2000,03,0.4739
SEA_OF_JAPAN,50,2000,04,0.8227
SEA_OF_JAPAN,50,2000,05,0.7466
SEA_OF_JAPAN,50,2000,06,0.3610
SEA_OF_JAPAN,50,2000,07,0.2665
SEA_OF_JAPAN,50,2000,08,0.2381
SEA_OF_JAPAN,50,2000,09,0.3331
SEA_OF_JAPAN,50,2000,10,0.4772
SEA_OF_JAPAN,50,2000,11,0.6181
SEA_OF_JAPAN,50,2000,12,0.4734
SEA_OF_JAPAN,50,2001,01,0.3907
SEA_OF_JAPAN,50,2001,02,0.4073
SEA_OF_JAPAN,50,2001,03,0.4960
SEA_OF_JAPAN,50,2001,04,1.018
SEA_OF_JAPAN,50,2001,05,0.7566
SEA_OF_JAPAN,50,2001,06,0.3849
SEA_OF_JAPAN,50,2001,07,0.2822
SEA_OF_JAPAN,50,2001,08,0.2418
SEA_OF_JAPAN,50,2001,09,0.2941
SEA_OF_JAPAN,50,2001,10,0.4569
SEA_OF_JAPAN,50,2001,11,0.5643
SEA_OF_JAPAN,50,2001,12,0.4346
SEA_OF_JAPAN,50,2002,01,0.3679
SEA_OF_JAPAN,50,2002,02,0.3843
SEA_OF_JAPAN,50,2002,03,0.5910
SEA_OF_JAPAN,50,2002,04,1.377
SEA_OF_JAPAN,50,2002,05,0.5670
SEA_OF_JAPAN,50,2002,06,0.2966
SEA_OF_JAPAN,50,2002,07,0.2788
SEA_OF_JAPAN,50,2002,08,0.2560
SEA_OF_JAPAN,50,2002,09,0.2774
SEA_OF_JAPAN,50,2002,10,0.4124
SEA_OF_JAPAN,50,2002,11,0.4393
SEA_OF_JAPAN,50,2002,12,0.3200
SEA_OF_JAPAN,50,2003,01,0.2366
SEA_OF_JAPAN,50,2003,02,0.3161
SEA_OF_JAPAN,50,2003,03,0.5150
SEA_OF_JAPAN,50,2003,04,1.161
SEA_OF_JAPAN,50,2003,05,0.6810
SEA_OF_JAPAN,50,2003,06,0.3333
SEA_OF_JAPAN,50,2003,07,0.2593
SEA_OF_JAPAN,50,2003,08,0.2530
SEA_OF_JAPAN,50,2003,09,0.3243
SEA_OF_JAPAN,50,2003,10,0.3889
SEA_OF_JAPAN,50,2003,11,0.5088
SEA_OF_JAPAN,50,2003,12,0.3458
SEA_OF_JAPAN,50,2004,01,0.2638
SEA_OF_JAPAN,50,2004,02,0.3327
SEA_OF_JAPAN,50,2004,03,0.5047
SEA_OF_JAPAN,50,2004,04,0.7711
SEA_OF_JAPAN,50,2004,05,0.8197
SEA_OF_JAPAN,50,2004,06,0.3806
SEA_OF_JAPAN,50,2004,07,0.2802
SEA_OF_JAPAN,50,2004,08,0.2660
SEA_OF_JAPAN,50,2004,09,0.3548
SEA_OF_JAPAN,50,2004,10,0.4506
SEA_OF_JAPAN,50,2004,11,0.4698
SEA_OF_JAPAN,50,2004,12,0.3293
SEA_OF_JAPAN,50,2005,01,0.2535
SEA_OF_JAPAN,50,2005,02,0.2520
SEA_OF_JAPAN,50,2005,03,0.3845
SEA_OF_JAPAN,50,2005,04,0.7628
SEA_OF_JAPAN,50,2005,05,0.7538
SEA_OF_JAPAN,50,2005,06,0.3309
SEA_OF_JAPAN,50,2005,07,0.2586
SEA_OF_JAPAN,50,2005,08,0.2440
SEA_OF_JAPAN,50,2005,09,0.2867
SEA_OF_JAPAN,50,2005,10,0.3576
SEA_OF_JAPAN,50,2005,11,0.4344
SEA_OF_JAPAN,50,2005,12,0.2623
SEA_OF_JAPAN,50,2006,01,0.2979
SEA_OF_JAPAN,50,2006,02,0.3262
SEA_OF_JAPAN,50,2006,03,0.4872
SEA_OF_JAPAN,50,2006,04,0.7499
SEA_OF_JAPAN,50,2006,05,0.9587
SEA_OF_JAPAN,50,2006,06,0.3809
SEA_OF_JAPAN,50,2006,07,0.3005
SEA_OF_JAPAN,50,2006,08,0.2412
SEA_OF_JAPAN,50,2006,09,0.2905
SEA_OF_JAPAN,50,2006,10,0.4085
SEA_OF_JAPAN,50,2006,11,0.5165
SEA_OF_JAPAN,50,2006,12,0.4209
SEA_OF_JAPAN,50,2007,01,0.3934
SEA_OF_JAPAN,50,2007,02,0.4293
SEA_OF_JAPAN,50,2007,03,0.4690
SEA_OF_JAPAN,50,2007,04,0.9150
SEA_OF_JAPAN,50,2007,05,0.7439
SEA_OF_JAPAN,50,2007,06,0.3838
SEA_OF_JAPAN,50,2007,07,0.2809
SEA_OF_JAPAN,50,2007,08,0.2489
SEA_OF_JAPAN,50,2007,09,0.2646
SEA_OF_JAPAN,50,2007,10,0.3924
SEA_OF_JAPAN,50,2007,11,0.5520
SEA_OF_JAPAN,50,2007,12,0.3714
SEA_OF_JAPAN,50,2008,01,0.3026
SEA_OF_JAPAN,50,2008,02,0.3112
SEA_OF_JAPAN,50,2008,03,0.4885
SEA_OF_JAPAN,50,2008,04,1.089
SEA_OF_JAPAN,50,2008,05,0.6986
SEA_OF_JAPAN,50,2008,06,0.3122
SEA_OF_JAPAN,50,2008,07,0.2084
SEA_OF_JAPAN,50,2008,08,0.2051
SEA_OF_JAPAN,50,2008,09,0.2241
SEA_OF_JAPAN,50,2008,10,0.3357
SEA_OF_JAPAN,50,2008,11,0.5516
SEA_OF_JAPAN,50,2008,12,0.4077
SEA_OF_JAPAN,50,2009,01,0.3238
SEA_OF_JAPAN,50,2009,02,0.3786
SEA_OF_JAPAN,50,2009,03,0.5026
SEA_OF_JAPAN,50,2009,04,0.9350
SEA_OF_JAPAN,50,2009,05,1.027
SEA_OF_JAPAN,50,2009,06,0.3509
SEA_OF_JAPAN,50,2009,07,0.2920
SEA_OF_JAPAN,50,2009,08,0.2476
SEA_OF_JAPAN,50,2009,09,0.2427
SEA_OF_JAPAN,50,2009,10,0.3437
SEA_OF_JAPAN,50,2009,11,0.4546
SEA_OF_JAPAN,50,2009,12,0.3745
SEA_OF_JAPAN,50,2010,01,0.3296
SEA_OF_JAPAN,50,2010,02,0.3938
SEA_OF_JAPAN,50,2010,03,0.4993
SEA_OF_JAPAN,50,2010,04,1.109
SEA_OF_JAPAN,50,2010,05,0.7702
SEA_OF_JAPAN,50,2010,06,0.3056
SEA_OF_JAPAN,50,2010,07,0.2256
SEA_OF_JAPAN,50,2010,08,0.2339
SEA_OF_JAPAN,50,2010,09,0.2668
SEA_OF_JAPAN,50,2010,10,0.3677
SEA_OF_JAPAN,50,2010,11,0.4585
SEA_OF_JAPAN,50,2010,12,0.3415
SEA_OF_JAPAN,50,2011,01,0.2146
SEA_OF_JAPAN,50,2011,02,0.3348
SEA_OF_JAPAN,50,2011,03,0.5066
SEA_OF_JAPAN,50,2011,04,1.066
SEA_OF_JAPAN,50,2011,05,0.6866
SEA_OF_JAPAN,50,2011,06,0.3209
SEA_OF_JAPAN,50,2011,07,0.2489
SEA_OF_JAPAN,50,2011,08,0.2059
SEA_OF_JAPAN,50,2011,09,0.2929
SEA_OF_JAPAN,50,2011,10,0.4088
SEA_OF_JAPAN,50,2011,11,0.4841
SEA_OF_JAPAN,50,2011,12,0.2995
SEA_OF_JAPAN,50,2012,01,0.2907
SEA_OF_JAPAN,50,2012,02,0.3170
SEA_OF_JAPAN,50,2012,03,0.4191
SEA_OF_JAPAN,50,2012,04,0.6219
SEA_OF_JAPAN,50,2012,05,0.5589
SEA_OF_JAPAN,50,2012,06,0.2413
SEA_OF_JAPAN,50,2012,07,0.2319
SEA_OF_JAPAN,50,2012,08,0.2137
SEA_OF_JAPAN,50,2012,09,0.2351
SEA_OF_JAPAN,50,2012,10,0.3577
SEA_OF_JAPAN,50,2012,11,0.5719
SEA_OF_JAPAN,50,2012,12,0.4240
SEA_OF_JAPAN,50,2013,01,0.3042
SEA_OF_JAPAN,50,2013,02,0.3411
SEA_OF_JAPAN,50,2013,03,0.4134
SEA_OF_JAPAN,50,2013,04,0.7326
SEA_OF_JAPAN,50,2013,05,0.5935
SEA_OF_JAPAN,50,2013,06,0.2665
SEA_OF_JAPAN,50,2013,07,0.2288
SEA_OF_JAPAN,50,2013,08,0.2495
SEA_OF_JAPAN,50,2013,09,0.3026
SEA_OF_JAPAN,50,2013,10,0.4270
SEA_OF_JAPAN,50,2013,11,0.5209
SEA_OF_JAPAN,50,2013,12,0.3945
SEA_OF_JAPAN,50,2014,01,0.3562
SEA_OF_JAPAN,50,2014,02,0.3457
