LME,LME_NUM,YEAR,MONTH,MEAN
SEA_OF_OKHOTSK,52,1996,11,0.6960
SEA_OF_OKHOTSK,52,1996,12,0.3345
SEA_OF_OKHOTSK,52,1997,01,0.2772
SEA_OF_OKHOTSK,52,1997,02,0.2912
SEA_OF_OKHOTSK,52,1997,03,0.3557
SEA_OF_OKHOTSK,52,1997,04,0.5831
SEA_OF_OKHOTSK,52,1997,05,1.251
SEA_OF_OKHOTSK,52,1997,06,1.050
SEA_OF_OKHOTSK,52,1997,09,0.9980
SEA_OF_OKHOTSK,52,1997,10,1.091
SEA_OF_OKHOTSK,52,1997,11,1.229
SEA_OF_OKHOTSK,52,1997,12,0.8021
SEA_OF_OKHOTSK,52,1998,01,0.5207
SEA_OF_OKHOTSK,52,1998,02,0.4506
SEA_OF_OKHOTSK,52,1998,03,0.4693
SEA_OF_OKHOTSK,52,1998,04,0.6430
SEA_OF_OKHOTSK,52,1998,05,1.242
SEA_OF_OKHOTSK,52,1998,06,1.707
SEA_OF_OKHOTSK,52,1998,07,0.6860
SEA_OF_OKHOTSK,52,1998,08,0.7012
SEA_OF_OKHOTSK,52,1998,09,0.8867
SEA_OF_OKHOTSK,52,1998,10,1.037
SEA_OF_OKHOTSK,52,1998,11,1.043
SEA_OF_OKHOTSK,52,1998,12,0.7718
SEA_OF_OKHOTSK,52,1999,01,0.4692
SEA_OF_OKHOTSK,52,1999,02,0.4081
SEA_OF_OKHOTSK,52,1999,03,0.3574
SEA_OF_OKHOTSK,52,1999,04,0.5733
SEA_OF_OKHOTSK,52,1999,05,1.487
SEA_OF_OKHOTSK,52,1999,06,1.352
SEA_OF_OKHOTSK,52,1999,07,0.7565
SEA_OF_OKHOTSK,52,1999,08,0.5930
SEA_OF_OKHOTSK,52,1999,09,0.6684
SEA_OF_OKHOTSK,52,1999,10,0.8938
SEA_OF_OKHOTSK,52,1999,11,0.7890
SEA_OF_OKHOTSK,52,1999,12,0.7538
SEA_OF_OKHOTSK,52,2000,01,0.6468
SEA_OF_OKHOTSK,52,2000,02,0.3590
SEA_OF_OKHOTSK,52,2000,03,0.4172
SEA_OF_OKHOTSK,52,2000,04,0.6465
SEA_OF_OKHOTSK,52,2000,05,1.434
SEA_OF_OKHOTSK,52,2000,06,1.380
SEA_OF_OKHOTSK,52,2000,07,0.6802
SEA_OF_OKHOTSK,52,2000,08,0.6259
SEA_OF_OKHOTSK,52,2000,09,0.7244
SEA_OF_OKHOTSK,52,2000,10,0.7457
SEA_OF_OKHOTSK,52,2000,11,0.5923
SEA_OF_OKHOTSK,52,2000,12,0.6348
SEA_OF_OKHOTSK,52,2001,01,0.4043
SEA_OF_OKHOTSK,52,2001,02,0.4916
SEA_OF_OKHOTSK,52,2001,03,0.3827
SEA_OF_OKHOTSK,52,2001,04,0.6103
SEA_OF_OKHOTSK,52,2001,05,1.786
SEA_OF_OKHOTSK,52,2001,06,1.480
SEA_OF_OKHOTSK,52,2001,07,0.7828
SEA_OF_OKHOTSK,52,2001,08,0.6263
SEA_OF_OKHOTSK,52,2001,09,0.6988
SEA_OF_OKHOTSK,52,2001,10,0.8209
SEA_OF_OKHOTSK,52,2001,11,0.5490
SEA_OF_OKHOTSK,52,2001,12,0.5619
SEA_OF_OKHOTSK,52,2002,01,0.3646
SEA_OF_OKHOTSK,52,2002,02,0.3380
SEA_OF_OKHOTSK,52,2002,03,0.4262
SEA_OF_OKHOTSK,52,2002,04,0.6984
SEA_OF_OKHOTSK,52,2002,05,1.552
SEA_OF_OKHOTSK,52,2002,06,1.183
SEA_OF_OKHOTSK,52,2002,07,0.7039
SEA_OF_OKHOTSK,52,2002,08,0.6052
SEA_OF_OKHOTSK,52,2002,09,0.7052
SEA_OF_OKHOTSK,52,2002,10,0.6075
SEA_OF_OKHOTSK,52,2002,11,0.3721
SEA_OF_OKHOTSK,52,2002,12,0.3813
SEA_OF_OKHOTSK,52,2003,01,0.2632
SEA_OF_OKHOTSK,52,2003,02,0.2345
SEA_OF_OKHOTSK,52,2003,03,0.3308
SEA_OF_OKHOTSK,52,2003,04,0.5563
SEA_OF_OKHOTSK,52,2003,05,1.049
SEA_OF_OKHOTSK,52,2003,06,1.513
SEA_OF_OKHOTSK,52,2003,07,0.7801
SEA_OF_OKHOTSK,52,2003,08,0.6301
SEA_OF_OKHOTSK,52,2003,09,0.6572
SEA_OF_OKHOTSK,52,2003,10,0.6349
SEA_OF_OKHOTSK,52,2003,11,0.2914
SEA_OF_OKHOTSK,52,2003,12,0.6779
SEA_OF_OKHOTSK,52,2004,01,0.2545
SEA_OF_OKHOTSK,52,2004,02,0.2324
SEA_OF_OKHOTSK,52,2004,03,0.3291
SEA_OF_OKHOTSK,52,2004,04,0.4743
SEA_OF_OKHOTSK,52,2004,05,1.292
SEA_OF_OKHOTSK,52,2004,06,1.606
SEA_OF_OKHOTSK,52,2004,07,0.9159
SEA_OF_OKHOTSK,52,2004,08,0.7940
SEA_OF_OKHOTSK,52,2004,09,0.8032
SEA_OF_OKHOTSK,52,2004,10,0.6345
SEA_OF_OKHOTSK,52,2004,11,0.3951
SEA_OF_OKHOTSK,52,2004,12,0.3762
SEA_OF_OKHOTSK,52,2005,01,0.2452
SEA_OF_OKHOTSK,52,2005,02,0.2355
SEA_OF_OKHOTSK,52,2005,03,0.3535
SEA_OF_OKHOTSK,52,2005,04,0.5036
SEA_OF_OKHOTSK,52,2005,05,1.215
SEA_OF_OKHOTSK,52,2005,06,1.574
SEA_OF_OKHOTSK,52,2005,07,0.8870
SEA_OF_OKHOTSK,52,2005,08,0.7615
SEA_OF_OKHOTSK,52,2005,09,0.8940
SEA_OF_OKHOTSK,52,2005,10,0.7505
SEA_OF_OKHOTSK,52,2005,11,0.4257
SEA_OF_OKHOTSK,52,2005,12,0.3519
SEA_OF_OKHOTSK,52,2006,01,0.3928
SEA_OF_OKHOTSK,52,2006,02,0.2241
SEA_OF_OKHOTSK,52,2006,03,0.3476
SEA_OF_OKHOTSK,52,2006,04,0.4959
SEA_OF_OKHOTSK,52,2006,05,1.194
SEA_OF_OKHOTSK,52,2006,06,1.931
SEA_OF_OKHOTSK,52,2006,07,0.7689
SEA_OF_OKHOTSK,52,2006,08,0.7734
SEA_OF_OKHOTSK,52,2006,09,0.8519
SEA_OF_OKHOTSK,52,2006,10,0.7395
SEA_OF_OKHOTSK,52,2006,11,0.5638
SEA_OF_OKHOTSK,52,2006,12,0.3177
SEA_OF_OKHOTSK,52,2007,01,0.3323
SEA_OF_OKHOTSK,52,2007,02,0.2648
SEA_OF_OKHOTSK,52,2007,03,0.3599
SEA_OF_OKHOTSK,52,2007,04,0.5217
SEA_OF_OKHOTSK,52,2007,05,1.421
SEA_OF_OKHOTSK,52,2007,06,1.621
SEA_OF_OKHOTSK,52,2007,07,0.8255
SEA_OF_OKHOTSK,52,2007,08,0.5993
SEA_OF_OKHOTSK,52,2007,09,0.6704
SEA_OF_OKHOTSK,52,2007,10,0.6645
SEA_OF_OKHOTSK,52,2007,11,0.3770
SEA_OF_OKHOTSK,52,2007,12,0.3683
SEA_OF_OKHOTSK,52,2008,01,0.2818
SEA_OF_OKHOTSK,52,2008,02,0.2401
SEA_OF_OKHOTSK,52,2008,03,0.3349
SEA_OF_OKHOTSK,52,2008,04,0.5902
SEA_OF_OKHOTSK,52,2008,05,1.380
SEA_OF_OKHOTSK,52,2008,06,1.359
SEA_OF_OKHOTSK,52,2008,07,0.6216
SEA_OF_OKHOTSK,52,2008,08,0.5711
SEA_OF_OKHOTSK,52,2008,09,0.6379
SEA_OF_OKHOTSK,52,2008,10,0.7018
SEA_OF_OKHOTSK,52,2008,11,0.4815
SEA_OF_OKHOTSK,52,2008,12,0.5665
SEA_OF_OKHOTSK,52,2009,01,0.3263
SEA_OF_OKHOTSK,52,2009,02,0.2395
SEA_OF_OKHOTSK,52,2009,03,0.3341
SEA_OF_OKHOTSK,52,2009,04,0.4883
SEA_OF_OKHOTSK,52,2009,05,0.9888
SEA_OF_OKHOTSK,52,2009,06,1.298
SEA_OF_OKHOTSK,52,2009,07,0.7312
SEA_OF_OKHOTSK,52,2009,08,0.6216
SEA_OF_OKHOTSK,52,2009,09,0.6627
SEA_OF_OKHOTSK,52,2009,10,0.7194
SEA_OF_OKHOTSK,52,2009,11,0.4471
SEA_OF_OKHOTSK,52,2009,12,0.4887
