LME,LME_NUM,YEAR,MEAN
SEA_OF_OKHOTSK,52,1998,1.174
SEA_OF_OKHOTSK,52,1999,0.8286
SEA_OF_OKHOTSK,52,2000,0.7325
SEA_OF_OKHOTSK,52,2001,0.6760
SEA_OF_OKHOTSK,52,2002,0.7910
SEA_OF_OKHOTSK,52,2003,0.7150
SEA_OF_OKHOTSK,52,2004,0.7289
SEA_OF_OKHOTSK,52,2005,0.7839
SEA_OF_OKHOTSK,52,2006,0.6776
SEA_OF_OKHOTSK,52,2007,0.6255
SEA_OF_OKHOTSK,52,2008,0.7258
SEA_OF_OKHOTSK,52,2009,0.7050
SEA_OF_OKHOTSK,52,2010,0.7172
SEA_OF_OKHOTSK,52,2011,0.7010
SEA_OF_OKHOTSK,52,2012,0.8653
SEA_OF_OKHOTSK,52,2013,0.7832
