LME,LME_NUM,YEAR,MEAN
SOUTH_BRAZIL_SHELF,15,1998,0.7459
SOUTH_BRAZIL_SHELF,15,1999,0.6133
SOUTH_BRAZIL_SHELF,15,2000,0.6094
SOUTH_BRAZIL_SHELF,15,2001,0.6492
SOUTH_BRAZIL_SHELF,15,2002,0.6315
SOUTH_BRAZIL_SHELF,15,2003,0.6911
SOUTH_BRAZIL_SHELF,15,2004,0.5491
SOUTH_BRAZIL_SHELF,15,2005,0.5862
SOUTH_BRAZIL_SHELF,15,2006,0.5949
SOUTH_BRAZIL_SHELF,15,2007,0.6148
SOUTH_BRAZIL_SHELF,15,2008,0.5818
SOUTH_BRAZIL_SHELF,15,2009,0.5595
SOUTH_BRAZIL_SHELF,15,2010,0.6781
SOUTH_BRAZIL_SHELF,15,2011,0.5935
SOUTH_BRAZIL_SHELF,15,2012,0.6187
SOUTH_BRAZIL_SHELF,15,2013,0.6192
