LME,LME_NUM,YEAR,MEAN
SOUTH_WEST_AUSTRALIAN_SHELF,43,1998,0.3275
SOUTH_WEST_AUSTRALIAN_SHELF,43,1999,0.3292
SOUTH_WEST_AUSTRALIAN_SHELF,43,2000,0.3071
SOUTH_WEST_AUSTRALIAN_SHELF,43,2001,0.3240
SOUTH_WEST_AUSTRALIAN_SHELF,43,2002,0.2858
SOUTH_WEST_AUSTRALIAN_SHELF,43,2003,0.3145
SOUTH_WEST_AUSTRALIAN_SHELF,43,2004,0.2828
SOUTH_WEST_AUSTRALIAN_SHELF,43,2005,0.2749
SOUTH_WEST_AUSTRALIAN_SHELF,43,2006,0.3077
SOUTH_WEST_AUSTRALIAN_SHELF,43,2007,0.2928
SOUTH_WEST_AUSTRALIAN_SHELF,43,2008,0.2897
SOUTH_WEST_AUSTRALIAN_SHELF,43,2009,0.2988
SOUTH_WEST_AUSTRALIAN_SHELF,43,2010,0.2974
SOUTH_WEST_AUSTRALIAN_SHELF,43,2011,0.2773
SOUTH_WEST_AUSTRALIAN_SHELF,43,2012,0.2852
SOUTH_WEST_AUSTRALIAN_SHELF,43,2013,0.2902
