LME,LME_NUM,YEAR,MONTH,MEAN
YELLOW_SEA,48,1996,11,1.764
YELLOW_SEA,48,1996,12,1.782
YELLOW_SEA,48,1997,01,1.746
YELLOW_SEA,48,1997,02,1.696
YELLOW_SEA,48,1997,03,1.719
YELLOW_SEA,48,1997,04,1.682
YELLOW_SEA,48,1997,05,1.402
YELLOW_SEA,48,1997,06,1.204
YELLOW_SEA,48,1997,09,1.628
YELLOW_SEA,48,1997,10,1.873
YELLOW_SEA,48,1997,11,2.021
YELLOW_SEA,48,1997,12,2.218
YELLOW_SEA,48,1998,01,2.345
YELLOW_SEA,48,1998,02,2.323
YELLOW_SEA,48,1998,03,2.351
YELLOW_SEA,48,1998,04,2.093
YELLOW_SEA,48,1998,05,1.558
YELLOW_SEA,48,1998,06,1.315
YELLOW_SEA,48,1998,07,1.215
YELLOW_SEA,48,1998,08,1.236
YELLOW_SEA,48,1998,09,1.452
YELLOW_SEA,48,1998,10,1.747
YELLOW_SEA,48,1998,11,1.917
YELLOW_SEA,48,1998,12,2.445
YELLOW_SEA,48,1999,01,2.561
YELLOW_SEA,48,1999,02,2.493
YELLOW_SEA,48,1999,03,2.436
YELLOW_SEA,48,1999,04,2.083
YELLOW_SEA,48,1999,05,1.816
YELLOW_SEA,48,1999,06,1.310
YELLOW_SEA,48,1999,07,1.124
YELLOW_SEA,48,1999,08,1.186
YELLOW_SEA,48,1999,09,1.447
YELLOW_SEA,48,1999,10,1.774
YELLOW_SEA,48,1999,11,1.768
YELLOW_SEA,48,1999,12,2.215
YELLOW_SEA,48,2000,01,2.651
YELLOW_SEA,48,2000,02,2.348
YELLOW_SEA,48,2000,03,2.450
YELLOW_SEA,48,2000,04,2.535
YELLOW_SEA,48,2000,05,1.807
YELLOW_SEA,48,2000,06,1.420
YELLOW_SEA,48,2000,07,1.220
YELLOW_SEA,48,2000,08,1.293
YELLOW_SEA,48,2000,09,1.735
YELLOW_SEA,48,2000,10,1.852
YELLOW_SEA,48,2000,11,1.956
YELLOW_SEA,48,2000,12,2.017
YELLOW_SEA,48,2001,01,2.300
YELLOW_SEA,48,2001,02,2.279
YELLOW_SEA,48,2001,03,2.642
YELLOW_SEA,48,2001,04,2.490
YELLOW_SEA,48,2001,05,1.718
YELLOW_SEA,48,2001,06,1.567
YELLOW_SEA,48,2001,07,1.305
YELLOW_SEA,48,2001,08,1.319
YELLOW_SEA,48,2001,09,1.373
YELLOW_SEA,48,2001,10,1.731
YELLOW_SEA,48,2001,11,1.851
YELLOW_SEA,48,2001,12,2.264
YELLOW_SEA,48,2002,01,2.232
YELLOW_SEA,48,2002,02,2.211
YELLOW_SEA,48,2002,03,2.344
YELLOW_SEA,48,2002,04,2.362
YELLOW_SEA,48,2002,05,1.836
YELLOW_SEA,48,2002,06,1.401
YELLOW_SEA,48,2002,07,1.165
YELLOW_SEA,48,2002,08,1.253
YELLOW_SEA,48,2002,09,1.440
YELLOW_SEA,48,2002,10,1.693
YELLOW_SEA,48,2002,11,1.846
YELLOW_SEA,48,2002,12,1.904
YELLOW_SEA,48,2003,01,1.955
YELLOW_SEA,48,2003,02,2.157
YELLOW_SEA,48,2003,03,2.464
YELLOW_SEA,48,2003,04,1.853
YELLOW_SEA,48,2003,05,1.607
YELLOW_SEA,48,2003,06,1.300
YELLOW_SEA,48,2003,07,1.284
YELLOW_SEA,48,2003,08,1.411
YELLOW_SEA,48,2003,09,1.614
YELLOW_SEA,48,2003,10,1.794
YELLOW_SEA,48,2003,11,1.800
YELLOW_SEA,48,2003,12,1.831
YELLOW_SEA,48,2004,01,2.133
YELLOW_SEA,48,2004,02,2.437
YELLOW_SEA,48,2004,03,2.436
YELLOW_SEA,48,2004,04,2.658
YELLOW_SEA,48,2004,05,2.107
YELLOW_SEA,48,2004,06,1.745
YELLOW_SEA,48,2004,07,1.321
YELLOW_SEA,48,2004,08,1.599
YELLOW_SEA,48,2004,09,1.746
YELLOW_SEA,48,2004,10,1.922
YELLOW_SEA,48,2004,11,1.776
YELLOW_SEA,48,2004,12,2.087
YELLOW_SEA,48,2005,01,1.794
YELLOW_SEA,48,2005,02,2.482
YELLOW_SEA,48,2005,03,2.393
YELLOW_SEA,48,2005,04,2.630
YELLOW_SEA,48,2005,05,1.848
YELLOW_SEA,48,2005,06,1.484
YELLOW_SEA,48,2005,07,1.196
YELLOW_SEA,48,2005,08,1.626
YELLOW_SEA,48,2005,09,1.731
YELLOW_SEA,48,2005,10,1.830
YELLOW_SEA,48,2005,11,1.986
YELLOW_SEA,48,2005,12,1.572
YELLOW_SEA,48,2006,01,2.300
YELLOW_SEA,48,2006,02,2.406
YELLOW_SEA,48,2006,03,2.755
YELLOW_SEA,48,2006,04,2.674
YELLOW_SEA,48,2006,05,2.237
YELLOW_SEA,48,2006,06,1.534
YELLOW_SEA,48,2006,07,1.518
YELLOW_SEA,48,2006,08,1.664
YELLOW_SEA,48,2006,09,1.972
YELLOW_SEA,48,2006,10,1.970
YELLOW_SEA,48,2006,11,2.073
YELLOW_SEA,48,2006,12,1.719
YELLOW_SEA,48,2007,01,2.157
YELLOW_SEA,48,2007,02,2.226
YELLOW_SEA,48,2007,03,2.334
YELLOW_SEA,48,2007,04,2.720
YELLOW_SEA,48,2007,05,1.975
YELLOW_SEA,48,2007,06,1.478
YELLOW_SEA,48,2007,07,1.393
YELLOW_SEA,48,2007,08,1.666
YELLOW_SEA,48,2007,09,1.546
YELLOW_SEA,48,2007,10,1.803
YELLOW_SEA,48,2007,11,1.960
YELLOW_SEA,48,2007,12,1.989
YELLOW_SEA,48,2008,01,2.016
YELLOW_SEA,48,2008,02,2.517
YELLOW_SEA,48,2008,03,2.525
YELLOW_SEA,48,2008,04,2.426
YELLOW_SEA,48,2008,05,1.965
YELLOW_SEA,48,2008,06,1.450
YELLOW_SEA,48,2008,07,1.220
YELLOW_SEA,48,2008,08,1.350
YELLOW_SEA,48,2008,09,1.477
YELLOW_SEA,48,2008,10,1.708
YELLOW_SEA,48,2008,11,1.801
YELLOW_SEA,48,2008,12,2.010
YELLOW_SEA,48,2009,01,2.213
YELLOW_SEA,48,2009,02,2.460
YELLOW_SEA,48,2009,03,2.685
YELLOW_SEA,48,2009,04,2.494
YELLOW_SEA,48,2009,05,1.880
YELLOW_SEA,48,2009,06,1.483
YELLOW_SEA,48,2009,07,1.635
YELLOW_SEA,48,2009,08,1.836
YELLOW_SEA,48,2009,09,1.865
YELLOW_SEA,48,2009,10,1.950
YELLOW_SEA,48,2009,11,1.639
YELLOW_SEA,48,2009,12,1.996
YELLOW_SEA,48,2010,01,2.409
YELLOW_SEA,48,2010,02,2.643
YELLOW_SEA,48,2010,03,2.726
YELLOW_SEA,48,2010,04,2.692
YELLOW_SEA,48,2010,05,1.934
YELLOW_SEA,48,2010,06,1.390
YELLOW_SEA,48,2010,07,1.317
YELLOW_SEA,48,2010,08,1.455
YELLOW_SEA,48,2010,09,1.668
YELLOW_SEA,48,2010,10,1.683
YELLOW_SEA,48,2010,11,1.825
YELLOW_SEA,48,2010,12,2.258
YELLOW_SEA,48,2011,01,1.901
YELLOW_SEA,48,2011,02,2.155
YELLOW_SEA,48,2011,03,2.409
YELLOW_SEA,48,2011,04,2.479
YELLOW_SEA,48,2011,05,2.078
YELLOW_SEA,48,2011,06,1.530
YELLOW_SEA,48,2011,07,1.319
YELLOW_SEA,48,2011,08,1.737
YELLOW_SEA,48,2011,09,1.960
YELLOW_SEA,48,2011,10,1.915
YELLOW_SEA,48,2011,11,1.771
YELLOW_SEA,48,2011,12,1.643
YELLOW_SEA,48,2012,01,1.989
YELLOW_SEA,48,2012,02,2.313
YELLOW_SEA,48,2012,03,2.555
YELLOW_SEA,48,2012,04,2.646
YELLOW_SEA,48,2012,05,2.078
YELLOW_SEA,48,2012,06,1.654
YELLOW_SEA,48,2012,07,1.451
YELLOW_SEA,48,2012,08,1.591
YELLOW_SEA,48,2012,09,1.757
YELLOW_SEA,48,2012,10,2.000
YELLOW_SEA,48,2012,11,1.826
YELLOW_SEA,48,2012,12,2.034
YELLOW_SEA,48,2013,01,2.401
YELLOW_SEA,48,2013,02,2.527
YELLOW_SEA,48,2013,03,2.839
YELLOW_SEA,48,2013,04,2.879
YELLOW_SEA,48,2013,05,2.216
YELLOW_SEA,48,2013,06,1.435
YELLOW_SEA,48,2013,07,1.245
YELLOW_SEA,48,2013,08,1.924
YELLOW_SEA,48,2013,09,2.166
YELLOW_SEA,48,2013,10,2.016
YELLOW_SEA,48,2013,11,1.874
YELLOW_SEA,48,2013,12,1.917
YELLOW_SEA,48,2014,01,2.456
YELLOW_SEA,48,2014,02,1.924
