PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 1.970073938369751 4.004285335540772 2.431345343589783 2.702822724978129 5.645167950944963
1998 2.412978172302246 9.076622009277344 4.999938249588013 5.075028085708619 5.645167950944963
1999 2.146089315414429 7.563019275665283 4.956081390380859 4.988068175315857 5.645167950944963
2000 2.724616289138794 9.479608535766602 6.441356658935547 6.096890163421631 5.645167950944963
2001 3.069118261337280 8.326792716979981 4.988658189773560 5.174513554573059 5.645167950944963
2002 2.425393581390381 8.733640670776367 5.720985174179077 5.521224045753479 5.645167950944963
2003 2.061095714569092 7.781070232391357 5.340230703353882 4.965685129165649 5.645167950944963
2004 2.033694028854370 7.249186992645264 5.312689304351807 4.907668709754944 5.645167950944963
2005 1.896627545356751 8.747841835021973 6.142494440078735 5.724077546596528 5.645167950944963
2006 1.887889146804810 9.192285537719727 6.241891860961914 5.612258005142212 5.645167950944963
2007 3.588180065155029 9.814894676208496 6.675933122634888 6.464209747314453 5.645167950944963
2008 3.921930074691773 12.28466033935547 5.159790039062500 7.033143228954739 5.645167950944963
2009 2.296692609786987 8.995306968688965 7.244105100631714 6.497849965095520 5.645167950944963
2010 2.504282951354981 9.877452850341797 6.614523887634277 6.387371850013733 5.645167950944963
2011 2.409314155578613 8.578158378601074 5.534309864044190 5.781127333641052 5.645167950944963
2012 2.924528360366821 10.73178386688232 6.143349409103394 6.083165454864502 5.645167950944963
2013 4.210663318634033 8.759453773498535 7.881506919860840 6.952751445770264 5.645167950944963
