PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.9561307430267334 1.831597805023193 1.229419767856598 1.314084959030151 1.803521527788218
1998 1.248222351074219 2.633270263671875 1.612626850605011 1.742107003927231 1.803521527788218
1999 1.588157296180725 2.515462398529053 1.920139789581299 1.941375633080800 1.803521527788218
2000 1.154424190521240 2.274410963058472 1.803998708724976 1.791932960351308 1.803521527788218
2001 1.080881953239441 2.326348781585693 1.875609099864960 1.806693643331528 1.803521527788218
2002 0.7985755801200867 2.319517850875855 1.737499415874481 1.635594442486763 1.803521527788218
2003 1.002718091011047 1.871791243553162 1.477470338344574 1.468623965978622 1.803521527788218
2004 1.013867139816284 2.580914735794067 1.629028975963593 1.713044792413712 1.803521527788218
2005 1.127620816230774 2.979533910751343 1.818678140640259 1.885129670302073 1.803521527788218
2006 1.015943169593811 3.533473730087280 1.987547636032105 2.106595009565353 1.803521527788218
2007 1.056921839714050 3.265484809875488 1.991361200809479 2.169593423604965 1.803521527788218
2008 1.194515466690064 3.121333122253418 1.975181043148041 1.996861835320791 1.803521527788218
2009 1.356115818023682 2.756094217300415 2.174407839775085 2.058317552010218 1.803521527788218
2010 1.164999604225159 2.696188211441040 1.913874387741089 1.984416782855988 1.803521527788218
2011 1.042865514755249 2.170114278793335 1.641612112522125 1.640398482481639 1.803521527788218
2012 0.8767102956771851 2.200792074203491 1.842162907123566 1.687113980452220 1.803521527788218
2013 1.340878248214722 2.262288570404053 1.712031722068787 1.717981835206350 1.803521527788218
