PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.7335600256919861 2.558848381042481 1.625912189483643 1.639440198739370 1.575924060391445
1998 0.5416177511215210 5.839974403381348 4.179356575012207 3.830488944053650 1.575924060391445
1999 0.3889800012111664 3.189844608306885 2.658319473266602 2.135774224996567 1.575924060391445
2000 0.5393979549407959 3.389495372772217 1.777398467063904 1.829124917586644 1.575924060391445
2001 0.5263231992721558 3.684434413909912 2.141224086284638 2.052347213029862 1.575924060391445
2002 0.3513551652431488 2.127667427062988 1.475853085517883 1.204525313207081 1.575924060391445
2003 0.2747780084609985 1.863764047622681 1.103800535202026 1.033200549227851 1.575924060391445
2004 0.1891231536865234 3.669806003570557 1.571930050849915 1.436279049941472 1.575924060391445
2005 0.3609379529953003 1.948578596115112 1.260263442993164 1.112671315670013 1.575924060391445
2006 0.4123404622077942 1.742140531539917 1.411393284797669 1.199013972282410 1.575924060391445
2007 0.5423564910888672 1.893866777420044 1.294335246086121 1.177053281239101 1.575924060391445
2008 0.4967759251594544 1.916965246200562 1.215128719806671 1.193302810192108 1.575924060391445
2009 0.2868484556674957 2.387318372726440 1.407621145248413 1.366403017725263 1.575924060391445
2010 0.3684920072555542 3.125247955322266 1.930349230766296 1.519881980759757 1.575924060391445
2011 0.3889190852642059 2.827396869659424 1.546834290027618 1.480090032021205 1.575924060391445
2012 0.5898183584213257 3.166809320449829 1.946474850177765 1.835669914881388 1.575924060391445
2013 0.6100654602050781 1.015759468078613 0.6105019450187683 0.7454422911008199 1.575924060391445
