PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.06007448583841324 0.08376535773277283 0.06623976305127144 0.06986037045717239 0.06320755683689140
1998 0.05190359055995941 0.09083945304155350 0.06600775569677353 0.06963343390574057 0.06320755683689140
1999 0.05519258230924606 0.08427669852972031 0.05798097327351570 0.06319266278296709 0.06320755683689140
2000 0.05043632537126541 0.08042579889297485 0.05747034586966038 0.05983214080333710 0.06320755683689140
2001 0.04922963306307793 0.07604972273111343 0.06141383573412895 0.06138052760312954 0.06320755683689140
2002 0.04992244765162468 0.08724944293498993 0.06553984060883522 0.06493195953468482 0.06320755683689140
2003 0.05367959663271904 0.09020838141441345 0.06289767473936081 0.06571421741197507 0.06320755683689140
2004 0.05612250789999962 0.07696086168289185 0.06324536167085171 0.06490436103194952 0.06320755683689140
2005 0.05713152885437012 0.09140966087579727 0.06029721349477768 0.06585527646044891 0.06320755683689140
2006 0.05564748868346214 0.07219240069389343 0.06213082186877728 0.06247876305133104 0.06320755683689140
2007 0.05328598618507385 0.08192310482263565 0.05896443873643875 0.06274780786285798 0.06320755683689140
2008 0.04712965339422226 0.08208050578832626 0.05515651404857636 0.05872164666652679 0.06320755683689140
2009 0.04557960852980614 0.08404193073511124 0.05378752201795578 0.05907734700789055 0.06320755683689140
2010 0.05395922064781189 0.08738405257463455 0.06290096417069435 0.06656099949032068 0.06320755683689140
2011 0.05156489089131355 0.07632040977478027 0.06258195266127586 0.06318554406364758 0.06320755683689140
2012 0.05254775285720825 0.07430360466241837 0.06058045849204063 0.06118632853031158 0.06320755683689140
2013 0.04704832658171654 0.07156142592430115 0.05280276201665402 0.05526507956286272 0.06320755683689140
