PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 1.605039715766907 10.54752063751221 4.019217967987061 5.390592773755391 2.411169295154867
1998 0.8919618129730225 10.21721267700195 4.900899887084961 5.001095294952393 2.411169295154867
1999 0.3504499793052673 5.855987548828125 3.020934104919434 3.057258397340775 2.411169295154867
2000 1.318185448646545 4.541402816772461 2.953326940536499 2.810133417447408 2.411169295154867
2001 0.3207086622714996 4.374830722808838 2.677238881587982 2.446990922093391 2.411169295154867
2002 0.4293997585773468 3.264297723770142 2.547469735145569 2.073435629407565 2.411169295154867
2003 0.3479329049587250 2.669689416885376 1.877418637275696 1.602127070228259 2.411169295154867
2004 0.2129920870065689 3.186785936355591 1.828849375247955 1.732543172935645 2.411169295154867
2005 0.4210980534553528 3.225743293762207 1.642084717750549 1.669365346431732 2.411169295154867
2006 0.4175914227962494 2.796799898147583 1.638166666030884 1.549117262164752 2.411169295154867
2007 0.4059444963932037 2.828629016876221 1.607393026351929 1.742898357766015 2.411169295154867
2008 0.3421097993850708 4.258101463317871 2.179390788078308 2.121191933751106 2.411169295154867
2009 0.3321236371994019 3.631773948669434 2.235936343669891 2.042072037855784 2.411169295154867
2010 0.4378543794155121 3.142419576644898 2.113428354263306 1.906008258461952 2.411169295154867
2011 0.3958356678485870 3.297655344009399 1.464051365852356 1.660132029226848 2.411169295154867
2012 0.4335285127162933 7.434290885925293 2.877308726310730 3.109946583708128 2.411169295154867
2013 0.9417681694030762 1.250778913497925 1.032361507415772 1.074969530105591 2.411169295154867
