PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 1.134646892547607 1.638164401054382 1.475205779075623 1.434516477584839 2.197266350072973
1998 1.242675781250000 2.065788984298706 1.686934113502502 1.622737725575765 2.197266350072973
1999 1.219469070434570 2.094186544418335 1.607115089893341 1.657275587320328 2.197266350072973
2000 1.407300353050232 2.509347200393677 2.025213599205017 2.033778468767802 2.197266350072973
2001 1.654400110244751 2.673284053802490 1.792542994022369 1.904229789972305 2.197266350072973
2002 1.577738761901856 2.921006202697754 2.213874936103821 2.262825657924017 2.197266350072973
2003 1.849919795989990 3.491362810134888 2.417430043220520 2.491700390974680 2.197266350072973
2004 1.910862922668457 3.197860002517700 2.370330095291138 2.368185480435689 2.197266350072973
2005 1.773550510406494 2.944251775741577 2.428696155548096 2.325836429993311 2.197266350072973
2006 2.198803663253784 2.890799760818481 2.610921978950501 2.558944563070933 2.197266350072973
2007 1.861714839935303 2.914175748825073 2.476351261138916 2.425549149513245 2.197266350072973
2008 1.977154612541199 3.045766353607178 2.618148565292358 2.538876424233119 2.197266350072973
2009 1.804775714874268 2.948225498199463 2.540904760360718 2.465784907341003 2.197266350072973
2010 1.752287149429321 3.379120588302612 2.527356028556824 2.471885253985723 2.197266350072973
2011 1.587919116020203 3.139627933502197 2.511345028877258 2.441231429576874 2.197266350072973
2012 1.727587580680847 2.706510305404663 2.145375370979309 2.169133444627126 2.197266350072973
2013 1.973706841468811 2.521790981292725 2.157984852790833 2.181036770343781 2.197266350072973
