PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.09201117604970932 0.3616859018802643 0.1811418533325195 0.1890774682164192 0.2844875022988109
1998 0.1062480434775353 0.3920421600341797 0.2107963785529137 0.2315044210602840 0.2844875022988109
1999 0.1218147426843643 0.3967381715774536 0.2413138374686241 0.2533830776810646 0.2844875022988109
2000 0.1403853893280029 0.4444393217563629 0.2735751420259476 0.2819091081619263 0.2844875022988109
2001 0.1317567378282547 0.4702685475349426 0.2671571299433708 0.2885269472996394 0.2844875022988109
2002 0.1563318669795990 0.5830040574073792 0.3557642698287964 0.3645896787444751 0.2844875022988109
2003 0.1811163425445557 0.6066384315490723 0.3760793209075928 0.3692997768521309 0.2844875022988109
2004 0.1694728136062622 0.5964481830596924 0.3320827186107636 0.3609843179583550 0.2844875022988109
2005 0.1865462660789490 0.5508633255958557 0.3105282187461853 0.3434709832072258 0.2844875022988109
2006 0.1773047447204590 0.4084537327289581 0.3236362636089325 0.2969618948797385 0.2844875022988109
2007 0.1571668535470963 0.4397490322589874 0.2765104174613953 0.2847383779784043 0.2844875022988109
2008 0.1741380840539932 0.3863952457904816 0.2551176846027374 0.2742949699362119 0.2844875022988109
2009 0.1585184931755066 0.4095687866210938 0.2388693317770958 0.2677470830579599 0.2844875022988109
2010 0.1594700366258621 0.4432433247566223 0.2614195793867111 0.2970208550492923 0.2844875022988109
2011 0.1608194559812546 0.5336258411407471 0.2326212599873543 0.2664296167592208 0.2844875022988109
2012 0.1313653737306595 0.5295354127883911 0.2320555225014687 0.2610754532118638 0.2844875022988109
2013 0.1279976069927216 0.2857454419136047 0.2109328806400299 0.2052735090255737 0.2844875022988109
