LME,LME_NUM,YEAR,MONTH,MEAN
BAY_OF_BENGAL,34,1996,11,0.1720
BAY_OF_BENGAL,34,1996,12,0.1968
BAY_OF_BENGAL,34,1997,01,0.1823
BAY_OF_BENGAL,34,1997,02,0.1656
BAY_OF_BENGAL,34,1997,03,0.1640
BAY_OF_BENGAL,34,1997,04,0.1385
BAY_OF_BENGAL,34,1997,05,0.1390
BAY_OF_BENGAL,34,1997,06,0.1253
BAY_OF_BENGAL,34,1997,09,0.3087
BAY_OF_BENGAL,34,1997,10,0.2309
BAY_OF_BENGAL,34,1997,11,0.2292
BAY_OF_BENGAL,34,1997,12,0.2625
BAY_OF_BENGAL,34,1998,01,0.2993
BAY_OF_BENGAL,34,1998,02,0.2692
BAY_OF_BENGAL,34,1998,03,0.2503
BAY_OF_BENGAL,34,1998,04,0.2000
BAY_OF_BENGAL,34,1998,05,0.1785
BAY_OF_BENGAL,34,1998,06,0.2157
BAY_OF_BENGAL,34,1998,07,0.2580
BAY_OF_BENGAL,34,1998,08,0.2672
BAY_OF_BENGAL,34,1998,09,0.2957
BAY_OF_BENGAL,34,1998,10,0.2912
BAY_OF_BENGAL,34,1998,11,0.2412
BAY_OF_BENGAL,34,1998,12,0.2563
BAY_OF_BENGAL,34,1999,01,0.2488
BAY_OF_BENGAL,34,1999,02,0.2349
BAY_OF_BENGAL,34,1999,03,0.2097
BAY_OF_BENGAL,34,1999,04,0.2320
BAY_OF_BENGAL,34,1999,05,0.1707
BAY_OF_BENGAL,34,1999,06,0.2444
BAY_OF_BENGAL,34,1999,07,0.2530
BAY_OF_BENGAL,34,1999,08,0.2874
BAY_OF_BENGAL,34,1999,09,0.2860
BAY_OF_BENGAL,34,1999,10,0.2499
BAY_OF_BENGAL,34,1999,11,0.2701
BAY_OF_BENGAL,34,1999,12,0.2814
BAY_OF_BENGAL,34,2000,01,0.2662
BAY_OF_BENGAL,34,2000,02,0.2288
BAY_OF_BENGAL,34,2000,03,0.1793
BAY_OF_BENGAL,34,2000,04,0.1700
BAY_OF_BENGAL,34,2000,05,0.1628
