LME,LME_NUM,YEAR,MEAN
BENGUELA_CURRENT,29,1998,0.9101
BENGUELA_CURRENT,29,1999,1.089
BENGUELA_CURRENT,29,2000,0.9874
BENGUELA_CURRENT,29,2001,0.9863
BENGUELA_CURRENT,29,2002,1.035
BENGUELA_CURRENT,29,2003,0.9791
BENGUELA_CURRENT,29,2004,1.033
BENGUELA_CURRENT,29,2005,1.012
BENGUELA_CURRENT,29,2006,0.9649
BENGUELA_CURRENT,29,2007,1.028
BENGUELA_CURRENT,29,2008,0.9715
BENGUELA_CURRENT,29,2009,1.025
BENGUELA_CURRENT,29,2010,0.9688
BENGUELA_CURRENT,29,2011,0.9360
BENGUELA_CURRENT,29,2012,0.9643
BENGUELA_CURRENT,29,2013,0.9355
