LME,LME_NUM,YEAR,MONTH,MEAN
BLACK_SEA,62,1996,11,1.272
BLACK_SEA,62,1996,12,0.6331
BLACK_SEA,62,1997,01,0.8866
BLACK_SEA,62,1997,02,0.9552
BLACK_SEA,62,1997,03,0.9598
BLACK_SEA,62,1997,04,0.9007
BLACK_SEA,62,1997,05,0.8837
BLACK_SEA,62,1997,06,0.9060
BLACK_SEA,62,1997,09,1.049
BLACK_SEA,62,1997,10,1.179
BLACK_SEA,62,1997,11,1.501
BLACK_SEA,62,1997,12,1.041
BLACK_SEA,62,1998,01,1.331
BLACK_SEA,62,1998,02,1.061
BLACK_SEA,62,1998,03,1.165
BLACK_SEA,62,1998,04,0.9588
BLACK_SEA,62,1998,05,0.9336
BLACK_SEA,62,1998,06,0.9687
BLACK_SEA,62,1998,07,0.8995
BLACK_SEA,62,1998,08,0.8575
BLACK_SEA,62,1998,09,1.340
BLACK_SEA,62,1998,10,1.726
BLACK_SEA,62,1998,11,1.553
BLACK_SEA,62,1998,12,1.250
BLACK_SEA,62,1999,01,1.337
BLACK_SEA,62,1999,02,1.230
BLACK_SEA,62,1999,03,1.355
BLACK_SEA,62,1999,04,1.198
BLACK_SEA,62,1999,05,1.154
BLACK_SEA,62,1999,06,1.290
BLACK_SEA,62,1999,07,0.9142
BLACK_SEA,62,1999,08,1.069
BLACK_SEA,62,1999,09,1.202
BLACK_SEA,62,1999,10,1.400
BLACK_SEA,62,1999,11,1.376
BLACK_SEA,62,1999,12,1.358
BLACK_SEA,62,2000,01,0.9967
BLACK_SEA,62,2000,02,1.230
BLACK_SEA,62,2000,03,1.114
BLACK_SEA,62,2000,04,1.119
BLACK_SEA,62,2000,05,0.9505
BLACK_SEA,62,2000,06,1.215
BLACK_SEA,62,2000,07,0.9198
BLACK_SEA,62,2000,08,0.7807
BLACK_SEA,62,2000,09,0.9658
BLACK_SEA,62,2000,10,1.093
BLACK_SEA,62,2000,11,1.332
BLACK_SEA,62,2000,12,1.062
BLACK_SEA,62,2001,01,1.025
