LME,LME_NUM,YEAR,MONTH,MEAN
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1996,11,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1996,12,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,01,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,02,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,03,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,04,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,05,0.3400
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,06,0.4361
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,09,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,10,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,11,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1997,12,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,01,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,02,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,03,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,04,0.2869
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,05,0.3986
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,06,0.4557
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,07,0.8583
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,08,0.7476
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,09,0.4730
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,10,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,11,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1998,12,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,01,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,02,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,03,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,04,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,05,0.3662
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,06,0.4545
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,07,0.5977
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,08,0.9417
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,09,0.4579
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,10,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,11,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,1999,12,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,2000,01,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,2000,02,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,2000,03,0.0000
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,2000,04,0.3767
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,2000,05,0.2189
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,2000,06,0.3518
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,2000,07,0.5192
