LME,LME_NUM,YEAR,MEAN
CENTRAL_ARCTIC,64,1998,0.0000
CENTRAL_ARCTIC,64,1999,0.8170
CENTRAL_ARCTIC,64,2000,0.4223
CENTRAL_ARCTIC,64,2001,0.0000
CENTRAL_ARCTIC,64,2002,0.3820
CENTRAL_ARCTIC,64,2003,0.3847
CENTRAL_ARCTIC,64,2004,0.3377
CENTRAL_ARCTIC,64,2005,0.3990
CENTRAL_ARCTIC,64,2006,0.2267
CENTRAL_ARCTIC,64,2007,0.2888
CENTRAL_ARCTIC,64,2008,0.2368
CENTRAL_ARCTIC,64,2009,0.2782
CENTRAL_ARCTIC,64,2010,0.4348
CENTRAL_ARCTIC,64,2011,0.6048
CENTRAL_ARCTIC,64,2012,0.2814
CENTRAL_ARCTIC,64,2013,0.3678
