LME,LME_NUM,YEAR,MEAN
EAST_CHINA_SEA,47,1998,1.211
EAST_CHINA_SEA,47,1999,1.268
EAST_CHINA_SEA,47,2000,1.154
EAST_CHINA_SEA,47,2001,1.111
EAST_CHINA_SEA,47,2002,1.156
EAST_CHINA_SEA,47,2003,1.138
EAST_CHINA_SEA,47,2004,1.079
EAST_CHINA_SEA,47,2005,1.079
EAST_CHINA_SEA,47,2006,1.135
EAST_CHINA_SEA,47,2007,1.103
EAST_CHINA_SEA,47,2008,1.105
EAST_CHINA_SEA,47,2009,1.042
EAST_CHINA_SEA,47,2010,1.244
EAST_CHINA_SEA,47,2011,1.004
EAST_CHINA_SEA,47,2012,1.092
EAST_CHINA_SEA,47,2013,1.112
