LME,LME_NUM,YEAR,MEAN
GULF_OF_ALASKA,2,1998,0.6230
GULF_OF_ALASKA,2,1999,0.7090
GULF_OF_ALASKA,2,2000,0.6601
GULF_OF_ALASKA,2,2001,0.5847
GULF_OF_ALASKA,2,2002,0.6128
GULF_OF_ALASKA,2,2003,0.5394
GULF_OF_ALASKA,2,2004,0.5311
GULF_OF_ALASKA,2,2005,0.5453
GULF_OF_ALASKA,2,2006,0.5547
GULF_OF_ALASKA,2,2007,0.5626
GULF_OF_ALASKA,2,2008,0.5851
GULF_OF_ALASKA,2,2009,0.5616
GULF_OF_ALASKA,2,2010,0.5398
GULF_OF_ALASKA,2,2011,0.5276
GULF_OF_ALASKA,2,2012,0.5819
GULF_OF_ALASKA,2,2013,0.6694
