LME,LME_NUM,YEAR,MONTH,MEAN
GULF_OF_CALIFORNIA,4,1996,11,0.5880
GULF_OF_CALIFORNIA,4,1996,12,0.6462
GULF_OF_CALIFORNIA,4,1997,01,0.7084
GULF_OF_CALIFORNIA,4,1997,02,0.7409
GULF_OF_CALIFORNIA,4,1997,03,0.7876
GULF_OF_CALIFORNIA,4,1997,04,0.7012
GULF_OF_CALIFORNIA,4,1997,05,0.5238
GULF_OF_CALIFORNIA,4,1997,06,0.4852
GULF_OF_CALIFORNIA,4,1997,09,0.2890
GULF_OF_CALIFORNIA,4,1997,10,0.3242
GULF_OF_CALIFORNIA,4,1997,11,0.4421
GULF_OF_CALIFORNIA,4,1997,12,0.5197
GULF_OF_CALIFORNIA,4,1998,01,0.6373
GULF_OF_CALIFORNIA,4,1998,02,0.6650
GULF_OF_CALIFORNIA,4,1998,03,0.5491
GULF_OF_CALIFORNIA,4,1998,04,0.6004
GULF_OF_CALIFORNIA,4,1998,05,0.4579
GULF_OF_CALIFORNIA,4,1998,06,0.3165
GULF_OF_CALIFORNIA,4,1998,07,0.2443
GULF_OF_CALIFORNIA,4,1998,08,0.2176
GULF_OF_CALIFORNIA,4,1998,09,0.2511
GULF_OF_CALIFORNIA,4,1998,10,0.3342
GULF_OF_CALIFORNIA,4,1998,11,0.4953
GULF_OF_CALIFORNIA,4,1998,12,0.8423
GULF_OF_CALIFORNIA,4,1999,01,0.8238
GULF_OF_CALIFORNIA,4,1999,02,0.8525
GULF_OF_CALIFORNIA,4,1999,03,0.8034
GULF_OF_CALIFORNIA,4,1999,04,0.8675
GULF_OF_CALIFORNIA,4,1999,05,0.5870
GULF_OF_CALIFORNIA,4,1999,06,0.4309
GULF_OF_CALIFORNIA,4,1999,07,0.3092
GULF_OF_CALIFORNIA,4,1999,08,0.3894
GULF_OF_CALIFORNIA,4,1999,09,0.3673
GULF_OF_CALIFORNIA,4,1999,10,0.4036
GULF_OF_CALIFORNIA,4,1999,11,0.6280
GULF_OF_CALIFORNIA,4,1999,12,0.8379
GULF_OF_CALIFORNIA,4,2000,01,0.9207
GULF_OF_CALIFORNIA,4,2000,02,1.247
GULF_OF_CALIFORNIA,4,2000,03,1.206
GULF_OF_CALIFORNIA,4,2000,04,0.9099
GULF_OF_CALIFORNIA,4,2000,05,0.6246
GULF_OF_CALIFORNIA,4,2000,06,0.5822
GULF_OF_CALIFORNIA,4,2000,07,0.3782
GULF_OF_CALIFORNIA,4,2000,08,0.5910
GULF_OF_CALIFORNIA,4,2000,09,0.4490
GULF_OF_CALIFORNIA,4,2000,10,0.4653
GULF_OF_CALIFORNIA,4,2000,11,0.7841
GULF_OF_CALIFORNIA,4,2000,12,0.7611
