LME,LME_NUM,YEAR,MONTH,MEAN
GULF_OF_THAILAND,35,1996,11,0.2163
GULF_OF_THAILAND,35,1996,12,0.4298
GULF_OF_THAILAND,35,1997,01,0.3161
GULF_OF_THAILAND,35,1997,02,0.2415
GULF_OF_THAILAND,35,1997,03,0.2147
GULF_OF_THAILAND,35,1997,04,0.1898
GULF_OF_THAILAND,35,1997,05,0.1614
GULF_OF_THAILAND,35,1997,06,0.2187
GULF_OF_THAILAND,35,1997,09,0.3685
GULF_OF_THAILAND,35,1997,10,0.2310
GULF_OF_THAILAND,35,1997,11,0.3481
GULF_OF_THAILAND,35,1997,12,0.4000
GULF_OF_THAILAND,35,1998,01,0.3159
GULF_OF_THAILAND,35,1998,02,0.2795
GULF_OF_THAILAND,35,1998,03,0.2512
GULF_OF_THAILAND,35,1998,04,0.2372
GULF_OF_THAILAND,35,1998,05,0.2050
GULF_OF_THAILAND,35,1998,06,0.2764
GULF_OF_THAILAND,35,1998,07,0.2596
GULF_OF_THAILAND,35,1998,08,0.2642
GULF_OF_THAILAND,35,1998,09,0.3072
GULF_OF_THAILAND,35,1998,10,0.2742
GULF_OF_THAILAND,35,1998,11,0.3686
GULF_OF_THAILAND,35,1998,12,0.3928
GULF_OF_THAILAND,35,1999,01,0.3779
GULF_OF_THAILAND,35,1999,02,0.3948
GULF_OF_THAILAND,35,1999,03,0.2310
GULF_OF_THAILAND,35,1999,04,0.2278
GULF_OF_THAILAND,35,1999,05,0.1992
GULF_OF_THAILAND,35,1999,06,0.2822
GULF_OF_THAILAND,35,1999,07,0.2772
GULF_OF_THAILAND,35,1999,08,0.3199
GULF_OF_THAILAND,35,1999,09,0.2451
GULF_OF_THAILAND,35,1999,10,0.2483
GULF_OF_THAILAND,35,1999,11,0.3807
GULF_OF_THAILAND,35,1999,12,0.5872
GULF_OF_THAILAND,35,2000,01,0.3885
GULF_OF_THAILAND,35,2000,02,0.3502
GULF_OF_THAILAND,35,2000,03,0.2828
GULF_OF_THAILAND,35,2000,04,0.2248
GULF_OF_THAILAND,35,2000,05,0.2389
GULF_OF_THAILAND,35,2000,06,0.2934
GULF_OF_THAILAND,35,2000,07,0.3441
GULF_OF_THAILAND,35,2000,08,0.2901
GULF_OF_THAILAND,35,2000,09,0.2866
GULF_OF_THAILAND,35,2000,10,0.2674
GULF_OF_THAILAND,35,2000,11,0.3808
GULF_OF_THAILAND,35,2000,12,0.4146
GULF_OF_THAILAND,35,2001,01,0.3787
GULF_OF_THAILAND,35,2001,02,0.3260
GULF_OF_THAILAND,35,2001,03,0.2841
GULF_OF_THAILAND,35,2001,04,0.2100
GULF_OF_THAILAND,35,2001,05,0.2448
GULF_OF_THAILAND,35,2001,06,0.2440
GULF_OF_THAILAND,35,2001,07,0.2904
GULF_OF_THAILAND,35,2001,08,0.2953
GULF_OF_THAILAND,35,2001,09,0.2564
GULF_OF_THAILAND,35,2001,10,0.2914
GULF_OF_THAILAND,35,2001,11,0.3901
GULF_OF_THAILAND,35,2001,12,0.4058
GULF_OF_THAILAND,35,2002,01,0.4978
GULF_OF_THAILAND,35,2002,02,0.3964
GULF_OF_THAILAND,35,2002,03,0.2987
GULF_OF_THAILAND,35,2002,04,0.2251
GULF_OF_THAILAND,35,2002,05,0.2964
GULF_OF_THAILAND,35,2002,06,0.3191
GULF_OF_THAILAND,35,2002,07,0.3487
GULF_OF_THAILAND,35,2002,08,0.3496
GULF_OF_THAILAND,35,2002,09,0.3306
GULF_OF_THAILAND,35,2002,10,0.2798
GULF_OF_THAILAND,35,2002,11,0.3504
GULF_OF_THAILAND,35,2002,12,0.3775
GULF_OF_THAILAND,35,2003,01,0.4388
GULF_OF_THAILAND,35,2003,02,0.3985
GULF_OF_THAILAND,35,2003,03,0.3027
GULF_OF_THAILAND,35,2003,04,0.2344
GULF_OF_THAILAND,35,2003,05,0.2618
GULF_OF_THAILAND,35,2003,06,0.3189
GULF_OF_THAILAND,35,2003,07,0.3287
GULF_OF_THAILAND,35,2003,08,0.3334
GULF_OF_THAILAND,35,2003,09,0.3133
GULF_OF_THAILAND,35,2003,10,0.3293
GULF_OF_THAILAND,35,2003,11,0.3610
GULF_OF_THAILAND,35,2003,12,0.4987
GULF_OF_THAILAND,35,2004,01,0.4276
GULF_OF_THAILAND,35,2004,02,0.3474
GULF_OF_THAILAND,35,2004,03,0.2916
GULF_OF_THAILAND,35,2004,04,0.2277
GULF_OF_THAILAND,35,2004,05,0.2765
GULF_OF_THAILAND,35,2004,06,0.3313
GULF_OF_THAILAND,35,2004,07,0.2935
GULF_OF_THAILAND,35,2004,08,0.3379
GULF_OF_THAILAND,35,2004,09,0.2750
GULF_OF_THAILAND,35,2004,10,0.3045
GULF_OF_THAILAND,35,2004,11,0.3752
GULF_OF_THAILAND,35,2004,12,0.4350
GULF_OF_THAILAND,35,2005,01,0.4358
GULF_OF_THAILAND,35,2005,02,0.3038
GULF_OF_THAILAND,35,2005,03,0.3159
GULF_OF_THAILAND,35,2005,04,0.2436
GULF_OF_THAILAND,35,2005,05,0.2678
GULF_OF_THAILAND,35,2005,06,0.3069
GULF_OF_THAILAND,35,2005,07,0.3443
GULF_OF_THAILAND,35,2005,08,0.3104
GULF_OF_THAILAND,35,2005,09,0.3156
GULF_OF_THAILAND,35,2005,10,0.2728
GULF_OF_THAILAND,35,2005,11,0.3196
GULF_OF_THAILAND,35,2005,12,0.5814
GULF_OF_THAILAND,35,2006,01,0.3806
GULF_OF_THAILAND,35,2006,02,0.3842
GULF_OF_THAILAND,35,2006,03,0.2865
GULF_OF_THAILAND,35,2006,04,0.2261
GULF_OF_THAILAND,35,2006,05,0.2334
GULF_OF_THAILAND,35,2006,06,0.2797
GULF_OF_THAILAND,35,2006,07,0.3187
GULF_OF_THAILAND,35,2006,08,0.3319
GULF_OF_THAILAND,35,2006,09,0.2645
GULF_OF_THAILAND,35,2006,10,0.2770
GULF_OF_THAILAND,35,2006,11,0.3133
GULF_OF_THAILAND,35,2006,12,0.3733
GULF_OF_THAILAND,35,2007,01,0.4981
GULF_OF_THAILAND,35,2007,02,0.3376
GULF_OF_THAILAND,35,2007,03,0.2675
GULF_OF_THAILAND,35,2007,04,0.2319
GULF_OF_THAILAND,35,2007,05,0.2631
GULF_OF_THAILAND,35,2007,06,0.2510
GULF_OF_THAILAND,35,2007,07,0.3504
GULF_OF_THAILAND,35,2007,08,0.3468
GULF_OF_THAILAND,35,2007,09,0.2887
GULF_OF_THAILAND,35,2007,10,0.3188
GULF_OF_THAILAND,35,2007,11,0.3932
GULF_OF_THAILAND,35,2007,12,0.4516
GULF_OF_THAILAND,35,2008,01,0.3695
GULF_OF_THAILAND,35,2008,02,0.4701
GULF_OF_THAILAND,35,2008,03,0.3063
GULF_OF_THAILAND,35,2008,04,0.2288
