LME,LME_NUM,YEAR,MEAN
GULF_OF_THAILAND,35,1998,1.051
GULF_OF_THAILAND,35,1999,1.065
GULF_OF_THAILAND,35,2000,1.050
GULF_OF_THAILAND,35,2001,1.044
GULF_OF_THAILAND,35,2002,1.126
GULF_OF_THAILAND,35,2003,1.135
GULF_OF_THAILAND,35,2004,1.067
GULF_OF_THAILAND,35,2005,1.098
GULF_OF_THAILAND,35,2006,1.048
GULF_OF_THAILAND,35,2007,1.078
GULF_OF_THAILAND,35,2008,1.015
GULF_OF_THAILAND,35,2009,1.044
GULF_OF_THAILAND,35,2010,1.091
GULF_OF_THAILAND,35,2011,1.033
GULF_OF_THAILAND,35,2012,0.9922
GULF_OF_THAILAND,35,2013,0.9743
