LME,LME_NUM,YEAR,MEAN
HUDSON_BAY_COMPLEX,63,1998,0.8107
HUDSON_BAY_COMPLEX,63,1999,0.6171
HUDSON_BAY_COMPLEX,63,2000,0.6415
HUDSON_BAY_COMPLEX,63,2001,0.6039
HUDSON_BAY_COMPLEX,63,2002,0.5751
HUDSON_BAY_COMPLEX,63,2003,0.5790
HUDSON_BAY_COMPLEX,63,2004,0.5553
HUDSON_BAY_COMPLEX,63,2005,0.5901
HUDSON_BAY_COMPLEX,63,2006,0.6209
HUDSON_BAY_COMPLEX,63,2007,0.5906
HUDSON_BAY_COMPLEX,63,2008,0.6452
HUDSON_BAY_COMPLEX,63,2009,0.6546
HUDSON_BAY_COMPLEX,63,2010,0.6208
HUDSON_BAY_COMPLEX,63,2011,0.6284
HUDSON_BAY_COMPLEX,63,2012,0.6413
HUDSON_BAY_COMPLEX,63,2013,0.6351
