LME,LME_NUM,YEAR,MEAN
HUMBOLDT_CURRENT,13,1998,0.7088
HUMBOLDT_CURRENT,13,1999,0.7883
HUMBOLDT_CURRENT,13,2000,0.7096
HUMBOLDT_CURRENT,13,2001,0.7941
HUMBOLDT_CURRENT,13,2002,0.7535
HUMBOLDT_CURRENT,13,2003,0.7553
HUMBOLDT_CURRENT,13,2004,0.8046
HUMBOLDT_CURRENT,13,2005,0.8082
HUMBOLDT_CURRENT,13,2006,0.7382
HUMBOLDT_CURRENT,13,2007,0.7067
HUMBOLDT_CURRENT,13,2008,0.7462
HUMBOLDT_CURRENT,13,2009,0.7368
HUMBOLDT_CURRENT,13,2010,0.7208
HUMBOLDT_CURRENT,13,2011,0.7348
HUMBOLDT_CURRENT,13,2012,0.6979
HUMBOLDT_CURRENT,13,2013,0.7403
