LME,LME_NUM,YEAR,MONTH,MEAN
IBERIAN_COASTAL,25,1996,11,0.2518
IBERIAN_COASTAL,25,1996,12,0.2757
IBERIAN_COASTAL,25,1997,01,0.3582
IBERIAN_COASTAL,25,1997,02,0.3632
IBERIAN_COASTAL,25,1997,03,0.4590
IBERIAN_COASTAL,25,1997,04,0.3279
IBERIAN_COASTAL,25,1997,05,0.2419
IBERIAN_COASTAL,25,1997,06,0.2141
IBERIAN_COASTAL,25,1997,09,0.2036
IBERIAN_COASTAL,25,1997,10,0.2221
IBERIAN_COASTAL,25,1997,11,0.3462
IBERIAN_COASTAL,25,1997,12,0.4228
IBERIAN_COASTAL,25,1998,01,0.4493
IBERIAN_COASTAL,25,1998,02,0.6048
IBERIAN_COASTAL,25,1998,03,0.5433
IBERIAN_COASTAL,25,1998,04,0.4376
IBERIAN_COASTAL,25,1998,05,0.4317
IBERIAN_COASTAL,25,1998,06,0.2459
IBERIAN_COASTAL,25,1998,07,0.2289
IBERIAN_COASTAL,25,1998,08,0.2622
IBERIAN_COASTAL,25,1998,09,0.2263
IBERIAN_COASTAL,25,1998,10,0.2586
IBERIAN_COASTAL,25,1998,11,0.2692
IBERIAN_COASTAL,25,1998,12,0.3489
IBERIAN_COASTAL,25,1999,01,0.3855
IBERIAN_COASTAL,25,1999,02,0.3402
IBERIAN_COASTAL,25,1999,03,0.5678
IBERIAN_COASTAL,25,1999,04,0.7453
IBERIAN_COASTAL,25,1999,05,0.4300
IBERIAN_COASTAL,25,1999,06,0.2875
IBERIAN_COASTAL,25,1999,07,0.2482
IBERIAN_COASTAL,25,1999,08,0.2070
IBERIAN_COASTAL,25,1999,09,0.2140
IBERIAN_COASTAL,25,1999,10,0.2597
IBERIAN_COASTAL,25,1999,11,0.3318
IBERIAN_COASTAL,25,1999,12,0.3324
IBERIAN_COASTAL,25,2000,01,0.3154
IBERIAN_COASTAL,25,2000,02,0.4416
IBERIAN_COASTAL,25,2000,03,0.5320
IBERIAN_COASTAL,25,2000,04,0.4727
IBERIAN_COASTAL,25,2000,05,0.3339
IBERIAN_COASTAL,25,2000,06,0.2673
IBERIAN_COASTAL,25,2000,07,0.2330
IBERIAN_COASTAL,25,2000,08,0.2332
IBERIAN_COASTAL,25,2000,09,0.2205
IBERIAN_COASTAL,25,2000,10,0.2732
IBERIAN_COASTAL,25,2000,11,0.3260
IBERIAN_COASTAL,25,2000,12,0.2961
IBERIAN_COASTAL,25,2001,01,0.3322
IBERIAN_COASTAL,25,2001,02,0.5734
IBERIAN_COASTAL,25,2001,03,0.5970
IBERIAN_COASTAL,25,2001,04,0.4768
IBERIAN_COASTAL,25,2001,05,0.3642
IBERIAN_COASTAL,25,2001,06,0.2889
IBERIAN_COASTAL,25,2001,07,0.2408
IBERIAN_COASTAL,25,2001,08,0.2372
IBERIAN_COASTAL,25,2001,09,0.2772
IBERIAN_COASTAL,25,2001,10,0.2559
IBERIAN_COASTAL,25,2001,11,0.3071
IBERIAN_COASTAL,25,2001,12,0.2873
IBERIAN_COASTAL,25,2002,01,0.2839
IBERIAN_COASTAL,25,2002,02,0.3359
IBERIAN_COASTAL,25,2002,03,0.5662
IBERIAN_COASTAL,25,2002,04,0.5963
IBERIAN_COASTAL,25,2002,05,0.3877
IBERIAN_COASTAL,25,2002,06,0.3019
IBERIAN_COASTAL,25,2002,07,0.2936
IBERIAN_COASTAL,25,2002,08,0.2789
IBERIAN_COASTAL,25,2002,09,0.2462
IBERIAN_COASTAL,25,2002,10,0.2140
IBERIAN_COASTAL,25,2002,11,0.2259
IBERIAN_COASTAL,25,2002,12,0.2462
IBERIAN_COASTAL,25,2003,01,0.2806
IBERIAN_COASTAL,25,2003,02,0.3528
IBERIAN_COASTAL,25,2003,03,0.6375
IBERIAN_COASTAL,25,2003,04,0.4622
