LME,LME_NUM,YEAR,MONTH,MEAN
INDONESIAN_SEA,38,1996,11,0.1478
INDONESIAN_SEA,38,1996,12,0.1651
INDONESIAN_SEA,38,1997,01,0.1586
INDONESIAN_SEA,38,1997,02,0.1991
INDONESIAN_SEA,38,1997,03,0.1647
INDONESIAN_SEA,38,1997,04,0.1560
INDONESIAN_SEA,38,1997,05,0.1848
INDONESIAN_SEA,38,1997,06,0.2258
INDONESIAN_SEA,38,1997,09,0.4161
INDONESIAN_SEA,38,1997,10,0.3169
INDONESIAN_SEA,38,1997,11,0.2513
INDONESIAN_SEA,38,1997,12,0.2212
INDONESIAN_SEA,38,1998,01,0.2197
INDONESIAN_SEA,38,1998,02,0.2292
INDONESIAN_SEA,38,1998,03,0.2173
INDONESIAN_SEA,38,1998,04,0.2137
INDONESIAN_SEA,38,1998,05,0.2303
INDONESIAN_SEA,38,1998,06,0.2434
INDONESIAN_SEA,38,1998,07,0.2577
INDONESIAN_SEA,38,1998,08,0.3040
INDONESIAN_SEA,38,1998,09,0.2774
INDONESIAN_SEA,38,1998,10,0.1871
INDONESIAN_SEA,38,1998,11,0.1629
INDONESIAN_SEA,38,1998,12,0.1948
INDONESIAN_SEA,38,1999,01,0.1735
INDONESIAN_SEA,38,1999,02,0.2682
INDONESIAN_SEA,38,1999,03,0.1913
INDONESIAN_SEA,38,1999,04,0.1917
INDONESIAN_SEA,38,1999,05,0.2420
INDONESIAN_SEA,38,1999,06,0.2785
INDONESIAN_SEA,38,1999,07,0.3489
INDONESIAN_SEA,38,1999,08,0.3781
INDONESIAN_SEA,38,1999,09,0.3404
INDONESIAN_SEA,38,1999,10,0.2399
INDONESIAN_SEA,38,1999,11,0.1992
INDONESIAN_SEA,38,1999,12,0.2045
INDONESIAN_SEA,38,2000,01,0.1840
INDONESIAN_SEA,38,2000,02,0.1701
INDONESIAN_SEA,38,2000,03,0.2156
INDONESIAN_SEA,38,2000,04,0.1901
INDONESIAN_SEA,38,2000,05,0.2155
INDONESIAN_SEA,38,2000,06,0.3031
INDONESIAN_SEA,38,2000,07,0.3607
INDONESIAN_SEA,38,2000,08,0.3345
INDONESIAN_SEA,38,2000,09,0.2915
INDONESIAN_SEA,38,2000,10,0.2086
INDONESIAN_SEA,38,2000,11,0.1759
INDONESIAN_SEA,38,2000,12,0.2199
INDONESIAN_SEA,38,2001,01,0.1773
INDONESIAN_SEA,38,2001,02,0.2301
INDONESIAN_SEA,38,2001,03,0.2010
INDONESIAN_SEA,38,2001,04,0.1901
INDONESIAN_SEA,38,2001,05,0.2377
INDONESIAN_SEA,38,2001,06,0.2681
INDONESIAN_SEA,38,2001,07,0.3029
INDONESIAN_SEA,38,2001,08,0.3812
INDONESIAN_SEA,38,2001,09,0.3147
INDONESIAN_SEA,38,2001,10,0.2165
INDONESIAN_SEA,38,2001,11,0.1890
INDONESIAN_SEA,38,2001,12,0.2194
INDONESIAN_SEA,38,2002,01,0.2108
INDONESIAN_SEA,38,2002,02,0.2783
INDONESIAN_SEA,38,2002,03,0.2201
INDONESIAN_SEA,38,2002,04,0.2094
INDONESIAN_SEA,38,2002,05,0.2501
INDONESIAN_SEA,38,2002,06,0.3244
INDONESIAN_SEA,38,2002,07,0.3744
INDONESIAN_SEA,38,2002,08,0.4150
INDONESIAN_SEA,38,2002,09,0.3334
INDONESIAN_SEA,38,2002,10,0.2662
INDONESIAN_SEA,38,2002,11,0.2293
INDONESIAN_SEA,38,2002,12,0.2012
INDONESIAN_SEA,38,2003,01,0.2759
INDONESIAN_SEA,38,2003,02,0.2542
INDONESIAN_SEA,38,2003,03,0.2506
INDONESIAN_SEA,38,2003,04,0.2319
INDONESIAN_SEA,38,2003,05,0.2761
INDONESIAN_SEA,38,2003,06,0.3305
INDONESIAN_SEA,38,2003,07,0.3969
INDONESIAN_SEA,38,2003,08,0.3789
INDONESIAN_SEA,38,2003,09,0.3328
INDONESIAN_SEA,38,2003,10,0.2580
INDONESIAN_SEA,38,2003,11,0.2207
INDONESIAN_SEA,38,2003,12,0.2316
INDONESIAN_SEA,38,2004,01,0.2603
INDONESIAN_SEA,38,2004,02,0.3057
INDONESIAN_SEA,38,2004,03,0.2596
INDONESIAN_SEA,38,2004,04,0.2266
INDONESIAN_SEA,38,2004,05,0.2209
INDONESIAN_SEA,38,2004,06,0.3189
INDONESIAN_SEA,38,2004,07,0.4095
INDONESIAN_SEA,38,2004,08,0.4564
INDONESIAN_SEA,38,2004,09,0.3780
INDONESIAN_SEA,38,2004,10,0.2789
INDONESIAN_SEA,38,2004,11,0.2283
INDONESIAN_SEA,38,2004,12,0.2172
INDONESIAN_SEA,38,2005,01,0.2756
INDONESIAN_SEA,38,2005,02,0.2548
INDONESIAN_SEA,38,2005,03,0.2636
INDONESIAN_SEA,38,2005,04,0.2398
INDONESIAN_SEA,38,2005,05,0.3044
INDONESIAN_SEA,38,2005,06,0.3218
INDONESIAN_SEA,38,2005,07,0.3648
INDONESIAN_SEA,38,2005,08,0.4124
INDONESIAN_SEA,38,2005,09,0.3219
INDONESIAN_SEA,38,2005,10,0.2499
INDONESIAN_SEA,38,2005,11,0.2148
INDONESIAN_SEA,38,2005,12,0.2153
INDONESIAN_SEA,38,2006,01,0.2469
INDONESIAN_SEA,38,2006,02,0.2525
INDONESIAN_SEA,38,2006,03,0.2612
INDONESIAN_SEA,38,2006,04,0.2133
INDONESIAN_SEA,38,2006,05,0.2146
INDONESIAN_SEA,38,2006,06,0.3133
INDONESIAN_SEA,38,2006,07,0.3868
INDONESIAN_SEA,38,2006,08,0.4387
INDONESIAN_SEA,38,2006,09,0.3684
INDONESIAN_SEA,38,2006,10,0.3062
INDONESIAN_SEA,38,2006,11,0.2323
INDONESIAN_SEA,38,2006,12,0.2021
INDONESIAN_SEA,38,2007,01,0.2463
INDONESIAN_SEA,38,2007,02,0.2466
INDONESIAN_SEA,38,2007,03,0.2492
INDONESIAN_SEA,38,2007,04,0.2110
INDONESIAN_SEA,38,2007,05,0.2392
INDONESIAN_SEA,38,2007,06,0.2769
INDONESIAN_SEA,38,2007,07,0.3831
INDONESIAN_SEA,38,2007,08,0.3890
INDONESIAN_SEA,38,2007,09,0.3490
INDONESIAN_SEA,38,2007,10,0.2578
INDONESIAN_SEA,38,2007,11,0.2190
INDONESIAN_SEA,38,2007,12,0.1992
INDONESIAN_SEA,38,2008,01,0.2546
INDONESIAN_SEA,38,2008,02,0.2163
INDONESIAN_SEA,38,2008,03,0.2058
INDONESIAN_SEA,38,2008,04,0.1935
INDONESIAN_SEA,38,2008,05,0.2344
INDONESIAN_SEA,38,2008,06,0.3033
INDONESIAN_SEA,38,2008,07,0.3447
INDONESIAN_SEA,38,2008,08,0.3555
INDONESIAN_SEA,38,2008,09,0.2925
INDONESIAN_SEA,38,2008,10,0.2364
INDONESIAN_SEA,38,2008,11,0.2063
INDONESIAN_SEA,38,2008,12,0.2233
INDONESIAN_SEA,38,2009,01,0.2643
INDONESIAN_SEA,38,2009,02,0.2400
INDONESIAN_SEA,38,2009,03,0.1981
INDONESIAN_SEA,38,2009,04,0.1863
INDONESIAN_SEA,38,2009,05,0.1861
INDONESIAN_SEA,38,2009,06,0.2468
INDONESIAN_SEA,38,2009,07,0.2946
INDONESIAN_SEA,38,2009,08,0.3353
INDONESIAN_SEA,38,2009,09,0.2558
INDONESIAN_SEA,38,2009,10,0.2225
INDONESIAN_SEA,38,2009,11,0.2133
INDONESIAN_SEA,38,2009,12,0.2138
INDONESIAN_SEA,38,2010,01,0.2915
INDONESIAN_SEA,38,2010,02,0.2427
INDONESIAN_SEA,38,2010,03,0.2164
INDONESIAN_SEA,38,2010,04,0.2093
INDONESIAN_SEA,38,2010,05,0.2276
INDONESIAN_SEA,38,2010,06,0.2786
