LME,LME_NUM,YEAR,MONTH,MEAN
KARA_SEA,58,1996,11,0.0000
KARA_SEA,58,1996,12,0.0000
KARA_SEA,58,1997,01,0.0000
KARA_SEA,58,1997,02,0.0000
KARA_SEA,58,1997,03,0.0000
KARA_SEA,58,1997,04,0.0000
KARA_SEA,58,1997,05,0.8751
KARA_SEA,58,1997,06,0.8285
KARA_SEA,58,1997,09,12.23
KARA_SEA,58,1997,10,0.0000
KARA_SEA,58,1997,11,0.0000
KARA_SEA,58,1997,12,0.0000
KARA_SEA,58,1998,01,0.0000
KARA_SEA,58,1998,02,0.0000
KARA_SEA,58,1998,03,0.0000
KARA_SEA,58,1998,04,0.0000
KARA_SEA,58,1998,05,0.4143
KARA_SEA,58,1998,06,1.793
KARA_SEA,58,1998,07,3.460
KARA_SEA,58,1998,08,3.488
KARA_SEA,58,1998,09,1.799
KARA_SEA,58,1998,10,0.0000
KARA_SEA,58,1998,11,0.0000
KARA_SEA,58,1998,12,0.0000
KARA_SEA,58,1999,01,0.0000
KARA_SEA,58,1999,02,0.0000
KARA_SEA,58,1999,03,0.0000
KARA_SEA,58,1999,04,0.4887
KARA_SEA,58,1999,05,0.6407
KARA_SEA,58,1999,06,0.7480
KARA_SEA,58,1999,07,2.413
KARA_SEA,58,1999,08,2.852
KARA_SEA,58,1999,09,3.291
KARA_SEA,58,1999,10,0.0000
KARA_SEA,58,1999,11,0.0000
KARA_SEA,58,1999,12,0.0000
KARA_SEA,58,2000,01,0.0000
KARA_SEA,58,2000,02,0.0000
KARA_SEA,58,2000,03,0.3100
KARA_SEA,58,2000,04,0.2737
KARA_SEA,58,2000,05,0.3173
KARA_SEA,58,2000,06,0.8100
KARA_SEA,58,2000,07,1.101
KARA_SEA,58,2000,08,1.263
KARA_SEA,58,2000,09,1.935
KARA_SEA,58,2000,10,7.216
KARA_SEA,58,2000,11,0.0000
KARA_SEA,58,2000,12,0.0000
KARA_SEA,58,2001,01,0.0000
KARA_SEA,58,2001,02,0.0000
KARA_SEA,58,2001,03,0.0000
KARA_SEA,58,2001,04,0.1927
KARA_SEA,58,2001,05,0.2793
KARA_SEA,58,2001,06,1.985
KARA_SEA,58,2001,07,1.223
KARA_SEA,58,2001,08,1.532
KARA_SEA,58,2001,09,1.575
KARA_SEA,58,2001,10,0.0000
KARA_SEA,58,2001,11,0.0000
KARA_SEA,58,2001,12,0.0000
KARA_SEA,58,2002,01,0.0000
KARA_SEA,58,2002,02,0.0000
KARA_SEA,58,2002,03,0.0000
KARA_SEA,58,2002,04,0.2034
KARA_SEA,58,2002,05,0.2790
KARA_SEA,58,2002,06,0.5805
KARA_SEA,58,2002,07,1.171
KARA_SEA,58,2002,08,0.9509
KARA_SEA,58,2002,09,0.8967
KARA_SEA,58,2002,10,0.0000
KARA_SEA,58,2002,11,0.0000
KARA_SEA,58,2002,12,0.0000
KARA_SEA,58,2003,01,0.0000
KARA_SEA,58,2003,02,0.0000
KARA_SEA,58,2003,03,0.3828
KARA_SEA,58,2003,04,0.2802
KARA_SEA,58,2003,05,0.2982
KARA_SEA,58,2003,06,0.8245
KARA_SEA,58,2003,07,1.758
KARA_SEA,58,2003,08,1.275
KARA_SEA,58,2003,09,0.7325
KARA_SEA,58,2003,10,0.0000
KARA_SEA,58,2003,11,0.0000
KARA_SEA,58,2003,12,0.0000
KARA_SEA,58,2004,01,0.0000
KARA_SEA,58,2004,02,0.0000
KARA_SEA,58,2004,03,0.2649
KARA_SEA,58,2004,04,0.1653
KARA_SEA,58,2004,05,0.2965
KARA_SEA,58,2004,06,0.5995
KARA_SEA,58,2004,07,1.193
KARA_SEA,58,2004,08,0.6720
KARA_SEA,58,2004,09,1.029
KARA_SEA,58,2004,10,0.0000
KARA_SEA,58,2004,11,0.0000
KARA_SEA,58,2004,12,0.0000
KARA_SEA,58,2005,01,0.0000
KARA_SEA,58,2005,02,0.0000
KARA_SEA,58,2005,03,0.2136
KARA_SEA,58,2005,04,0.2263
KARA_SEA,58,2005,05,0.2664
KARA_SEA,58,2005,06,0.5459
KARA_SEA,58,2005,07,0.8001
KARA_SEA,58,2005,08,0.6098
KARA_SEA,58,2005,09,0.8727
KARA_SEA,58,2005,10,23.00
KARA_SEA,58,2005,11,0.0000
KARA_SEA,58,2005,12,0.0000
KARA_SEA,58,2006,01,0.0000
KARA_SEA,58,2006,02,0.0000
KARA_SEA,58,2006,03,0.4669
KARA_SEA,58,2006,04,0.2130
KARA_SEA,58,2006,05,0.2710
KARA_SEA,58,2006,06,0.6246
KARA_SEA,58,2006,07,0.8005
KARA_SEA,58,2006,08,0.7040
KARA_SEA,58,2006,09,0.7602
KARA_SEA,58,2006,10,0.0000
KARA_SEA,58,2006,11,0.0000
KARA_SEA,58,2006,12,0.0000
KARA_SEA,58,2007,01,0.0000
KARA_SEA,58,2007,02,0.0000
KARA_SEA,58,2007,03,0.2578
KARA_SEA,58,2007,04,0.3267
KARA_SEA,58,2007,05,0.3087
KARA_SEA,58,2007,06,0.6203
KARA_SEA,58,2007,07,0.9728
KARA_SEA,58,2007,08,0.9742
KARA_SEA,58,2007,09,1.049
KARA_SEA,58,2007,10,0.0000
KARA_SEA,58,2007,11,0.0000
KARA_SEA,58,2007,12,0.0000
KARA_SEA,58,2008,01,0.0000
KARA_SEA,58,2008,02,0.0000
KARA_SEA,58,2008,03,0.3399
KARA_SEA,58,2008,04,0.2792
KARA_SEA,58,2008,05,0.3384
KARA_SEA,58,2008,06,0.4523
KARA_SEA,58,2008,07,0.9703
KARA_SEA,58,2008,08,0.9291
KARA_SEA,58,2008,09,2.077
KARA_SEA,58,2008,10,0.0000
KARA_SEA,58,2008,11,0.0000
KARA_SEA,58,2008,12,0.0000
KARA_SEA,58,2009,01,0.0000
KARA_SEA,58,2009,02,0.0000
KARA_SEA,58,2009,03,0.4000
KARA_SEA,58,2009,04,0.3147
KARA_SEA,58,2009,05,0.3243
KARA_SEA,58,2009,06,0.4931
KARA_SEA,58,2009,07,1.033
KARA_SEA,58,2009,08,0.7891
KARA_SEA,58,2009,09,1.054
KARA_SEA,58,2009,10,0.0000
KARA_SEA,58,2009,11,0.0000
KARA_SEA,58,2009,12,0.0000
KARA_SEA,58,2010,01,0.0000
KARA_SEA,58,2010,02,0.0000
KARA_SEA,58,2010,03,0.2781
KARA_SEA,58,2010,04,0.3479
KARA_SEA,58,2010,05,0.3192
KARA_SEA,58,2010,06,0.4488
KARA_SEA,58,2010,07,0.7830
KARA_SEA,58,2010,08,0.7101
KARA_SEA,58,2010,09,0.7952
KARA_SEA,58,2010,10,0.0000
KARA_SEA,58,2010,11,0.0000
KARA_SEA,58,2010,12,0.0000
KARA_SEA,58,2011,01,0.0000
KARA_SEA,58,2011,02,0.0000
KARA_SEA,58,2011,03,0.4220
KARA_SEA,58,2011,04,0.3878
KARA_SEA,58,2011,05,0.4158
KARA_SEA,58,2011,06,0.7752
KARA_SEA,58,2011,07,0.7376
KARA_SEA,58,2011,08,0.8254
KARA_SEA,58,2011,09,1.421
KARA_SEA,58,2011,10,0.0000
KARA_SEA,58,2011,11,0.0000
KARA_SEA,58,2011,12,0.0000
KARA_SEA,58,2012,01,0.0000
KARA_SEA,58,2012,02,0.0000
KARA_SEA,58,2012,03,0.3735
KARA_SEA,58,2012,04,0.5528
KARA_SEA,58,2012,05,0.6551
KARA_SEA,58,2012,06,0.9847
KARA_SEA,58,2012,07,0.9016
KARA_SEA,58,2012,08,0.8034
KARA_SEA,58,2012,09,1.240
KARA_SEA,58,2012,10,0.0000
KARA_SEA,58,2012,11,0.0000
KARA_SEA,58,2012,12,0.0000
KARA_SEA,58,2013,01,0.0000
KARA_SEA,58,2013,02,0.0000
KARA_SEA,58,2013,03,0.0000
KARA_SEA,58,2013,04,0.3133
KARA_SEA,58,2013,05,0.3412
KARA_SEA,58,2013,06,0.6459
KARA_SEA,58,2013,07,0.7612
KARA_SEA,58,2013,08,0.6398
KARA_SEA,58,2013,09,1.030
KARA_SEA,58,2013,10,0.0000
KARA_SEA,58,2013,11,0.0000
KARA_SEA,58,2013,12,0.0000
KARA_SEA,58,2014,01,0.0000
