LME,LME_NUM,YEAR,MONTH,MEAN
NORTHEAST_AUSTRALIAN_SHELF,40,1996,11,0.06876
NORTHEAST_AUSTRALIAN_SHELF,40,1996,12,0.05710
NORTHEAST_AUSTRALIAN_SHELF,40,1997,01,0.06866
NORTHEAST_AUSTRALIAN_SHELF,40,1997,02,0.07410
NORTHEAST_AUSTRALIAN_SHELF,40,1997,03,0.1212
NORTHEAST_AUSTRALIAN_SHELF,40,1997,04,0.1100
NORTHEAST_AUSTRALIAN_SHELF,40,1997,05,0.1149
NORTHEAST_AUSTRALIAN_SHELF,40,1997,06,0.1335
NORTHEAST_AUSTRALIAN_SHELF,40,1997,09,0.1273
NORTHEAST_AUSTRALIAN_SHELF,40,1997,10,0.09537
NORTHEAST_AUSTRALIAN_SHELF,40,1997,11,0.08425
NORTHEAST_AUSTRALIAN_SHELF,40,1997,12,0.06442
NORTHEAST_AUSTRALIAN_SHELF,40,1998,01,0.08530
NORTHEAST_AUSTRALIAN_SHELF,40,1998,02,0.07201
NORTHEAST_AUSTRALIAN_SHELF,40,1998,03,0.08133
NORTHEAST_AUSTRALIAN_SHELF,40,1998,04,0.09364
NORTHEAST_AUSTRALIAN_SHELF,40,1998,05,0.1082
NORTHEAST_AUSTRALIAN_SHELF,40,1998,06,0.1199
NORTHEAST_AUSTRALIAN_SHELF,40,1998,07,0.1264
NORTHEAST_AUSTRALIAN_SHELF,40,1998,08,0.1105
NORTHEAST_AUSTRALIAN_SHELF,40,1998,09,0.09377
NORTHEAST_AUSTRALIAN_SHELF,40,1998,10,0.08224
NORTHEAST_AUSTRALIAN_SHELF,40,1998,11,0.1030
NORTHEAST_AUSTRALIAN_SHELF,40,1998,12,0.08184
NORTHEAST_AUSTRALIAN_SHELF,40,1999,01,0.08622
NORTHEAST_AUSTRALIAN_SHELF,40,1999,02,0.06829
NORTHEAST_AUSTRALIAN_SHELF,40,1999,03,0.07814
NORTHEAST_AUSTRALIAN_SHELF,40,1999,04,0.08793
NORTHEAST_AUSTRALIAN_SHELF,40,1999,05,0.1152
NORTHEAST_AUSTRALIAN_SHELF,40,1999,06,0.1106
NORTHEAST_AUSTRALIAN_SHELF,40,1999,07,0.1205
NORTHEAST_AUSTRALIAN_SHELF,40,1999,08,0.1328
NORTHEAST_AUSTRALIAN_SHELF,40,1999,09,0.09859
NORTHEAST_AUSTRALIAN_SHELF,40,1999,10,0.08878
NORTHEAST_AUSTRALIAN_SHELF,40,1999,11,0.09418
NORTHEAST_AUSTRALIAN_SHELF,40,1999,12,0.08891
NORTHEAST_AUSTRALIAN_SHELF,40,2000,01,0.07416
NORTHEAST_AUSTRALIAN_SHELF,40,2000,02,0.07137
NORTHEAST_AUSTRALIAN_SHELF,40,2000,03,0.07672
NORTHEAST_AUSTRALIAN_SHELF,40,2000,04,0.08029
NORTHEAST_AUSTRALIAN_SHELF,40,2000,05,0.09671
NORTHEAST_AUSTRALIAN_SHELF,40,2000,06,0.1403
NORTHEAST_AUSTRALIAN_SHELF,40,2000,07,0.1375
NORTHEAST_AUSTRALIAN_SHELF,40,2000,08,0.1258
NORTHEAST_AUSTRALIAN_SHELF,40,2000,09,0.1098
NORTHEAST_AUSTRALIAN_SHELF,40,2000,10,0.09509
NORTHEAST_AUSTRALIAN_SHELF,40,2000,11,0.09511
NORTHEAST_AUSTRALIAN_SHELF,40,2000,12,0.08069
NORTHEAST_AUSTRALIAN_SHELF,40,2001,01,0.07526
NORTHEAST_AUSTRALIAN_SHELF,40,2001,02,0.07100
NORTHEAST_AUSTRALIAN_SHELF,40,2001,03,0.07134
NORTHEAST_AUSTRALIAN_SHELF,40,2001,04,0.08308
NORTHEAST_AUSTRALIAN_SHELF,40,2001,05,0.08686
NORTHEAST_AUSTRALIAN_SHELF,40,2001,06,0.1191
NORTHEAST_AUSTRALIAN_SHELF,40,2001,07,0.1237
NORTHEAST_AUSTRALIAN_SHELF,40,2001,08,0.1258
NORTHEAST_AUSTRALIAN_SHELF,40,2001,09,0.1086
NORTHEAST_AUSTRALIAN_SHELF,40,2001,10,0.09731
NORTHEAST_AUSTRALIAN_SHELF,40,2001,11,0.09682
NORTHEAST_AUSTRALIAN_SHELF,40,2001,12,0.08705
NORTHEAST_AUSTRALIAN_SHELF,40,2002,01,0.08042
NORTHEAST_AUSTRALIAN_SHELF,40,2002,02,0.08063
NORTHEAST_AUSTRALIAN_SHELF,40,2002,03,0.08552
NORTHEAST_AUSTRALIAN_SHELF,40,2002,04,0.08224
NORTHEAST_AUSTRALIAN_SHELF,40,2002,05,0.08757
NORTHEAST_AUSTRALIAN_SHELF,40,2002,06,0.1015
NORTHEAST_AUSTRALIAN_SHELF,40,2002,07,0.1205
NORTHEAST_AUSTRALIAN_SHELF,40,2002,08,0.1185
NORTHEAST_AUSTRALIAN_SHELF,40,2002,09,0.09653
NORTHEAST_AUSTRALIAN_SHELF,40,2002,10,0.08919
NORTHEAST_AUSTRALIAN_SHELF,40,2002,11,0.08763
NORTHEAST_AUSTRALIAN_SHELF,40,2002,12,0.07869
NORTHEAST_AUSTRALIAN_SHELF,40,2003,01,0.07955
NORTHEAST_AUSTRALIAN_SHELF,40,2003,02,0.08267
NORTHEAST_AUSTRALIAN_SHELF,40,2003,03,0.09180
NORTHEAST_AUSTRALIAN_SHELF,40,2003,04,0.09260
NORTHEAST_AUSTRALIAN_SHELF,40,2003,05,0.1114
NORTHEAST_AUSTRALIAN_SHELF,40,2003,06,0.1242
NORTHEAST_AUSTRALIAN_SHELF,40,2003,07,0.1378
NORTHEAST_AUSTRALIAN_SHELF,40,2003,08,0.1269
NORTHEAST_AUSTRALIAN_SHELF,40,2003,09,0.1047
NORTHEAST_AUSTRALIAN_SHELF,40,2003,10,0.08866
NORTHEAST_AUSTRALIAN_SHELF,40,2003,11,0.09864
NORTHEAST_AUSTRALIAN_SHELF,40,2003,12,0.09764
NORTHEAST_AUSTRALIAN_SHELF,40,2004,01,0.08750
NORTHEAST_AUSTRALIAN_SHELF,40,2004,02,0.08527
NORTHEAST_AUSTRALIAN_SHELF,40,2004,03,0.08664
NORTHEAST_AUSTRALIAN_SHELF,40,2004,04,0.1005
NORTHEAST_AUSTRALIAN_SHELF,40,2004,05,0.1021
NORTHEAST_AUSTRALIAN_SHELF,40,2004,06,0.1188
NORTHEAST_AUSTRALIAN_SHELF,40,2004,07,0.1302
NORTHEAST_AUSTRALIAN_SHELF,40,2004,08,0.1144
NORTHEAST_AUSTRALIAN_SHELF,40,2004,09,0.1013
NORTHEAST_AUSTRALIAN_SHELF,40,2004,10,0.08156
NORTHEAST_AUSTRALIAN_SHELF,40,2004,11,0.07776
NORTHEAST_AUSTRALIAN_SHELF,40,2004,12,0.07999
NORTHEAST_AUSTRALIAN_SHELF,40,2005,01,0.08242
NORTHEAST_AUSTRALIAN_SHELF,40,2005,02,0.09156
NORTHEAST_AUSTRALIAN_SHELF,40,2005,03,0.09141
NORTHEAST_AUSTRALIAN_SHELF,40,2005,04,0.09761
