LME,LME_NUM,YEAR,MEAN
NORWEGIAN_SEA,21,1998,0.6974
NORWEGIAN_SEA,21,1999,0.7457
NORWEGIAN_SEA,21,2000,0.5676
NORWEGIAN_SEA,21,2001,0.5003
NORWEGIAN_SEA,21,2002,0.5580
NORWEGIAN_SEA,21,2003,0.4381
NORWEGIAN_SEA,21,2004,0.4633
NORWEGIAN_SEA,21,2005,0.4261
NORWEGIAN_SEA,21,2006,0.4260
NORWEGIAN_SEA,21,2007,0.4216
NORWEGIAN_SEA,21,2008,0.4855
NORWEGIAN_SEA,21,2009,0.5006
NORWEGIAN_SEA,21,2010,0.4206
NORWEGIAN_SEA,21,2011,0.4520
NORWEGIAN_SEA,21,2012,0.4714
NORWEGIAN_SEA,21,2013,0.4972
