LME,LME_NUM,YEAR,MONTH,MEAN
OYASHIO_CURRENT,51,1996,11,0.4398
OYASHIO_CURRENT,51,1996,12,0.2030
OYASHIO_CURRENT,51,1997,01,0.2172
OYASHIO_CURRENT,51,1997,02,0.3073
OYASHIO_CURRENT,51,1997,03,0.3375
OYASHIO_CURRENT,51,1997,04,0.4656
OYASHIO_CURRENT,51,1997,05,0.9848
OYASHIO_CURRENT,51,1997,06,0.6955
OYASHIO_CURRENT,51,1997,09,0.8887
OYASHIO_CURRENT,51,1997,10,0.8404
OYASHIO_CURRENT,51,1997,11,0.7707
OYASHIO_CURRENT,51,1997,12,0.5128
OYASHIO_CURRENT,51,1998,01,0.4144
OYASHIO_CURRENT,51,1998,02,0.3685
OYASHIO_CURRENT,51,1998,03,0.3846
OYASHIO_CURRENT,51,1998,04,0.8774
OYASHIO_CURRENT,51,1998,05,1.178
OYASHIO_CURRENT,51,1998,06,0.5221
OYASHIO_CURRENT,51,1998,07,0.5379
OYASHIO_CURRENT,51,1998,08,0.7119
OYASHIO_CURRENT,51,1998,09,0.8282
OYASHIO_CURRENT,51,1998,10,0.9069
OYASHIO_CURRENT,51,1998,11,0.6878
OYASHIO_CURRENT,51,1998,12,0.4867
OYASHIO_CURRENT,51,1999,01,0.4021
OYASHIO_CURRENT,51,1999,02,0.3981
OYASHIO_CURRENT,51,1999,03,0.4001
OYASHIO_CURRENT,51,1999,04,0.4212
OYASHIO_CURRENT,51,1999,05,1.507
OYASHIO_CURRENT,51,1999,06,0.9419
OYASHIO_CURRENT,51,1999,07,0.4570
OYASHIO_CURRENT,51,1999,08,0.4563
OYASHIO_CURRENT,51,1999,09,0.5872
OYASHIO_CURRENT,51,1999,10,0.7690
OYASHIO_CURRENT,51,1999,11,0.6113
OYASHIO_CURRENT,51,1999,12,0.4614
OYASHIO_CURRENT,51,2000,01,0.4126
OYASHIO_CURRENT,51,2000,02,0.3489
OYASHIO_CURRENT,51,2000,03,0.3509
OYASHIO_CURRENT,51,2000,04,0.5087
OYASHIO_CURRENT,51,2000,05,1.057
OYASHIO_CURRENT,51,2000,06,0.6586
OYASHIO_CURRENT,51,2000,07,0.8229
OYASHIO_CURRENT,51,2000,08,0.6066
OYASHIO_CURRENT,51,2000,09,0.8004
OYASHIO_CURRENT,51,2000,10,0.8502
OYASHIO_CURRENT,51,2000,11,0.6102
OYASHIO_CURRENT,51,2000,12,0.3631
OYASHIO_CURRENT,51,2001,01,0.3319
OYASHIO_CURRENT,51,2001,02,0.3367
OYASHIO_CURRENT,51,2001,03,0.3438
OYASHIO_CURRENT,51,2001,04,0.4894
OYASHIO_CURRENT,51,2001,05,1.174
OYASHIO_CURRENT,51,2001,06,0.9317
OYASHIO_CURRENT,51,2001,07,0.4919
OYASHIO_CURRENT,51,2001,08,0.4478
OYASHIO_CURRENT,51,2001,09,0.5906
OYASHIO_CURRENT,51,2001,10,0.7108
OYASHIO_CURRENT,51,2001,11,0.4816
OYASHIO_CURRENT,51,2001,12,0.3478
OYASHIO_CURRENT,51,2002,01,0.2994
OYASHIO_CURRENT,51,2002,02,0.3216
OYASHIO_CURRENT,51,2002,03,0.3654
OYASHIO_CURRENT,51,2002,04,0.5851
OYASHIO_CURRENT,51,2002,05,0.9733
OYASHIO_CURRENT,51,2002,06,0.6994
OYASHIO_CURRENT,51,2002,07,0.5952
OYASHIO_CURRENT,51,2002,08,0.6521
OYASHIO_CURRENT,51,2002,09,0.9896
OYASHIO_CURRENT,51,2002,10,0.8643
OYASHIO_CURRENT,51,2002,11,0.3673
OYASHIO_CURRENT,51,2002,12,0.2417
OYASHIO_CURRENT,51,2003,01,0.2104
OYASHIO_CURRENT,51,2003,02,0.2196
OYASHIO_CURRENT,51,2003,03,0.2778
OYASHIO_CURRENT,51,2003,04,0.4204
OYASHIO_CURRENT,51,2003,05,0.9931
OYASHIO_CURRENT,51,2003,06,0.8265
OYASHIO_CURRENT,51,2003,07,0.4053
OYASHIO_CURRENT,51,2003,08,0.4955
OYASHIO_CURRENT,51,2003,09,0.7021
OYASHIO_CURRENT,51,2003,10,0.7420
OYASHIO_CURRENT,51,2003,11,0.4385
OYASHIO_CURRENT,51,2003,12,0.3352
OYASHIO_CURRENT,51,2004,01,0.2091
OYASHIO_CURRENT,51,2004,02,0.2087
OYASHIO_CURRENT,51,2004,03,0.2860
OYASHIO_CURRENT,51,2004,04,0.3597
OYASHIO_CURRENT,51,2004,05,0.6651
OYASHIO_CURRENT,51,2004,06,1.193
OYASHIO_CURRENT,51,2004,07,0.6338
OYASHIO_CURRENT,51,2004,08,0.5771
OYASHIO_CURRENT,51,2004,09,0.6973
OYASHIO_CURRENT,51,2004,10,0.6343
OYASHIO_CURRENT,51,2004,11,0.3339
OYASHIO_CURRENT,51,2004,12,0.2436
OYASHIO_CURRENT,51,2005,01,0.2166
OYASHIO_CURRENT,51,2005,02,0.2260
OYASHIO_CURRENT,51,2005,03,0.2946
OYASHIO_CURRENT,51,2005,04,0.4149
OYASHIO_CURRENT,51,2005,05,0.5331
OYASHIO_CURRENT,51,2005,06,1.295
OYASHIO_CURRENT,51,2005,07,0.7374
OYASHIO_CURRENT,51,2005,08,0.4436
OYASHIO_CURRENT,51,2005,09,0.6599
OYASHIO_CURRENT,51,2005,10,0.6143
OYASHIO_CURRENT,51,2005,11,0.3410
OYASHIO_CURRENT,51,2005,12,0.2626
OYASHIO_CURRENT,51,2006,01,0.2503
OYASHIO_CURRENT,51,2006,02,0.2588
OYASHIO_CURRENT,51,2006,03,0.3111
OYASHIO_CURRENT,51,2006,04,0.4673
OYASHIO_CURRENT,51,2006,05,0.6604
OYASHIO_CURRENT,51,2006,06,1.053
OYASHIO_CURRENT,51,2006,07,0.5515
OYASHIO_CURRENT,51,2006,08,0.5449
OYASHIO_CURRENT,51,2006,09,0.6671
OYASHIO_CURRENT,51,2006,10,0.6262
OYASHIO_CURRENT,51,2006,11,0.4264
OYASHIO_CURRENT,51,2006,12,0.2783
OYASHIO_CURRENT,51,2007,01,0.2638
OYASHIO_CURRENT,51,2007,02,0.2298
OYASHIO_CURRENT,51,2007,03,0.3025
OYASHIO_CURRENT,51,2007,04,0.3782
OYASHIO_CURRENT,51,2007,05,0.6192
OYASHIO_CURRENT,51,2007,06,1.051
OYASHIO_CURRENT,51,2007,07,0.5922
OYASHIO_CURRENT,51,2007,08,0.4588
OYASHIO_CURRENT,51,2007,09,0.6484
OYASHIO_CURRENT,51,2007,10,0.6736
OYASHIO_CURRENT,51,2007,11,0.4080
OYASHIO_CURRENT,51,2007,12,0.2675
OYASHIO_CURRENT,51,2008,01,0.2297
OYASHIO_CURRENT,51,2008,02,0.2254
OYASHIO_CURRENT,51,2008,03,0.3339
OYASHIO_CURRENT,51,2008,04,0.4496
OYASHIO_CURRENT,51,2008,05,0.9163
OYASHIO_CURRENT,51,2008,06,0.7546
OYASHIO_CURRENT,51,2008,07,0.5169
OYASHIO_CURRENT,51,2008,08,0.5404
OYASHIO_CURRENT,51,2008,09,0.6752
OYASHIO_CURRENT,51,2008,10,0.9437
OYASHIO_CURRENT,51,2008,11,0.5592
OYASHIO_CURRENT,51,2008,12,0.4073
OYASHIO_CURRENT,51,2009,01,0.2902
OYASHIO_CURRENT,51,2009,02,0.2339
OYASHIO_CURRENT,51,2009,03,0.3099
OYASHIO_CURRENT,51,2009,04,0.3650
OYASHIO_CURRENT,51,2009,05,0.8015
OYASHIO_CURRENT,51,2009,06,0.6413
OYASHIO_CURRENT,51,2009,07,0.4569
OYASHIO_CURRENT,51,2009,08,0.4898
OYASHIO_CURRENT,51,2009,09,0.5572
OYASHIO_CURRENT,51,2009,10,0.5915
OYASHIO_CURRENT,51,2009,11,0.3482
OYASHIO_CURRENT,51,2009,12,0.2689
OYASHIO_CURRENT,51,2010,01,0.2574
OYASHIO_CURRENT,51,2010,02,0.2827
OYASHIO_CURRENT,51,2010,03,0.3280
OYASHIO_CURRENT,51,2010,04,0.6158
OYASHIO_CURRENT,51,2010,05,1.095
OYASHIO_CURRENT,51,2010,06,0.5712
OYASHIO_CURRENT,51,2010,07,0.5131
OYASHIO_CURRENT,51,2010,08,0.7979
OYASHIO_CURRENT,51,2010,09,0.8557
OYASHIO_CURRENT,51,2010,10,0.7395
OYASHIO_CURRENT,51,2010,11,0.4576
OYASHIO_CURRENT,51,2010,12,0.2864
OYASHIO_CURRENT,51,2011,01,0.2038
OYASHIO_CURRENT,51,2011,02,0.2176
OYASHIO_CURRENT,51,2011,03,0.2798
OYASHIO_CURRENT,51,2011,04,0.4743
OYASHIO_CURRENT,51,2011,05,0.8576
OYASHIO_CURRENT,51,2011,06,0.6050
OYASHIO_CURRENT,51,2011,07,0.4505
OYASHIO_CURRENT,51,2011,08,0.4591
OYASHIO_CURRENT,51,2011,09,0.7030
OYASHIO_CURRENT,51,2011,10,0.7434
OYASHIO_CURRENT,51,2011,11,0.4165
OYASHIO_CURRENT,51,2011,12,0.2763
OYASHIO_CURRENT,51,2012,01,0.2544
OYASHIO_CURRENT,51,2012,02,0.2426
OYASHIO_CURRENT,51,2012,03,0.3012
OYASHIO_CURRENT,51,2012,04,0.4458
OYASHIO_CURRENT,51,2012,05,1.144
OYASHIO_CURRENT,51,2012,06,0.5422
OYASHIO_CURRENT,51,2012,07,0.4642
OYASHIO_CURRENT,51,2012,08,0.5025
OYASHIO_CURRENT,51,2012,09,0.5844
OYASHIO_CURRENT,51,2012,10,0.7046
OYASHIO_CURRENT,51,2012,11,0.4477
OYASHIO_CURRENT,51,2012,12,0.3546
OYASHIO_CURRENT,51,2013,01,0.2585
OYASHIO_CURRENT,51,2013,02,0.2894
OYASHIO_CURRENT,51,2013,03,0.3032
OYASHIO_CURRENT,51,2013,04,0.3351
OYASHIO_CURRENT,51,2013,05,0.4192
OYASHIO_CURRENT,51,2013,06,0.6591
OYASHIO_CURRENT,51,2013,07,0.3925
OYASHIO_CURRENT,51,2013,08,0.4438
OYASHIO_CURRENT,51,2013,09,0.6293
OYASHIO_CURRENT,51,2013,10,0.6214
OYASHIO_CURRENT,51,2013,11,0.3946
OYASHIO_CURRENT,51,2013,12,0.2976
OYASHIO_CURRENT,51,2014,01,0.2867
OYASHIO_CURRENT,51,2014,02,0.3231
