LME,LME_NUM,YEAR,MEAN
PACIFIC_WARM_POOL,99,1998,0.4214
PACIFIC_WARM_POOL,99,1999,0.3711
PACIFIC_WARM_POOL,99,2000,0.3629
PACIFIC_WARM_POOL,99,2001,0.3338
PACIFIC_WARM_POOL,99,2002,0.3174
PACIFIC_WARM_POOL,99,2003,0.3451
PACIFIC_WARM_POOL,99,2004,0.3226
PACIFIC_WARM_POOL,99,2005,0.3558
PACIFIC_WARM_POOL,99,2006,0.3296
PACIFIC_WARM_POOL,99,2007,0.3398
PACIFIC_WARM_POOL,99,2008,0.3693
PACIFIC_WARM_POOL,99,2009,0.3324
PACIFIC_WARM_POOL,99,2010,0.3968
PACIFIC_WARM_POOL,99,2011,0.3652
PACIFIC_WARM_POOL,99,2012,0.3492
PACIFIC_WARM_POOL,99,2013,0.3303
