LME,LME_NUM,YEAR,MONTH,MEAN
SOMALI_COASTAL_CURRENT,31,1996,11,0.1282
SOMALI_COASTAL_CURRENT,31,1996,12,0.1387
SOMALI_COASTAL_CURRENT,31,1997,01,0.1723
SOMALI_COASTAL_CURRENT,31,1997,02,0.1855
SOMALI_COASTAL_CURRENT,31,1997,03,0.1289
SOMALI_COASTAL_CURRENT,31,1997,04,0.07395
SOMALI_COASTAL_CURRENT,31,1997,05,0.1352
SOMALI_COASTAL_CURRENT,31,1997,06,0.1735
SOMALI_COASTAL_CURRENT,31,1997,09,0.2461
SOMALI_COASTAL_CURRENT,31,1997,10,0.1626
SOMALI_COASTAL_CURRENT,31,1997,11,0.1026
SOMALI_COASTAL_CURRENT,31,1997,12,0.1009
SOMALI_COASTAL_CURRENT,31,1998,01,0.09996
SOMALI_COASTAL_CURRENT,31,1998,02,0.09653
SOMALI_COASTAL_CURRENT,31,1998,03,0.08426
SOMALI_COASTAL_CURRENT,31,1998,04,0.08235
SOMALI_COASTAL_CURRENT,31,1998,05,0.1293
SOMALI_COASTAL_CURRENT,31,1998,06,0.1526
SOMALI_COASTAL_CURRENT,31,1998,07,0.2652
SOMALI_COASTAL_CURRENT,31,1998,08,0.3048
SOMALI_COASTAL_CURRENT,31,1998,09,0.3052
SOMALI_COASTAL_CURRENT,31,1998,10,0.2479
SOMALI_COASTAL_CURRENT,31,1998,11,0.1868
SOMALI_COASTAL_CURRENT,31,1998,12,0.1739
SOMALI_COASTAL_CURRENT,31,1999,01,0.1935
SOMALI_COASTAL_CURRENT,31,1999,02,0.1850
SOMALI_COASTAL_CURRENT,31,1999,03,0.1310
SOMALI_COASTAL_CURRENT,31,1999,04,0.1014
SOMALI_COASTAL_CURRENT,31,1999,05,0.1377
SOMALI_COASTAL_CURRENT,31,1999,06,0.2224
SOMALI_COASTAL_CURRENT,31,1999,07,0.2466
SOMALI_COASTAL_CURRENT,31,1999,08,0.3040
SOMALI_COASTAL_CURRENT,31,1999,09,0.2832
SOMALI_COASTAL_CURRENT,31,1999,10,0.2253
SOMALI_COASTAL_CURRENT,31,1999,11,0.1529
SOMALI_COASTAL_CURRENT,31,1999,12,0.1544
SOMALI_COASTAL_CURRENT,31,2000,01,0.2149
SOMALI_COASTAL_CURRENT,31,2000,02,0.2349
SOMALI_COASTAL_CURRENT,31,2000,03,0.1630
SOMALI_COASTAL_CURRENT,31,2000,04,0.1160
SOMALI_COASTAL_CURRENT,31,2000,05,0.1667
SOMALI_COASTAL_CURRENT,31,2000,06,0.2137
SOMALI_COASTAL_CURRENT,31,2000,07,0.2806
SOMALI_COASTAL_CURRENT,31,2000,08,0.3398
SOMALI_COASTAL_CURRENT,31,2000,09,0.3084
SOMALI_COASTAL_CURRENT,31,2000,10,0.2105
SOMALI_COASTAL_CURRENT,31,2000,11,0.1428
SOMALI_COASTAL_CURRENT,31,2000,12,0.1572
SOMALI_COASTAL_CURRENT,31,2001,01,0.2582
SOMALI_COASTAL_CURRENT,31,2001,02,0.2025
SOMALI_COASTAL_CURRENT,31,2001,03,0.1391
SOMALI_COASTAL_CURRENT,31,2001,04,0.1051
SOMALI_COASTAL_CURRENT,31,2001,05,0.1501
SOMALI_COASTAL_CURRENT,31,2001,06,0.2684
SOMALI_COASTAL_CURRENT,31,2001,07,0.2864
SOMALI_COASTAL_CURRENT,31,2001,08,0.3417
SOMALI_COASTAL_CURRENT,31,2001,09,0.3874
SOMALI_COASTAL_CURRENT,31,2001,10,0.2257
SOMALI_COASTAL_CURRENT,31,2001,11,0.1448
SOMALI_COASTAL_CURRENT,31,2001,12,0.1637
SOMALI_COASTAL_CURRENT,31,2002,01,0.2353
SOMALI_COASTAL_CURRENT,31,2002,02,0.2621
SOMALI_COASTAL_CURRENT,31,2002,03,0.1595
SOMALI_COASTAL_CURRENT,31,2002,04,0.1235
