LME,LME_NUM,YEAR,MEAN
SOUTHEAST_AUSTRALIAN_SHELF,42,1998,0.4238
SOUTHEAST_AUSTRALIAN_SHELF,42,1999,0.4117
SOUTHEAST_AUSTRALIAN_SHELF,42,2000,0.3798
SOUTHEAST_AUSTRALIAN_SHELF,42,2001,0.3883
SOUTHEAST_AUSTRALIAN_SHELF,42,2002,0.3326
SOUTHEAST_AUSTRALIAN_SHELF,42,2003,0.3783
SOUTHEAST_AUSTRALIAN_SHELF,42,2004,0.3658
SOUTHEAST_AUSTRALIAN_SHELF,42,2005,0.3775
SOUTHEAST_AUSTRALIAN_SHELF,42,2006,0.3724
SOUTHEAST_AUSTRALIAN_SHELF,42,2007,0.3968
SOUTHEAST_AUSTRALIAN_SHELF,42,2008,0.3687
SOUTHEAST_AUSTRALIAN_SHELF,42,2009,0.3902
SOUTHEAST_AUSTRALIAN_SHELF,42,2010,0.3750
SOUTHEAST_AUSTRALIAN_SHELF,42,2011,0.3493
SOUTHEAST_AUSTRALIAN_SHELF,42,2012,0.3795
SOUTHEAST_AUSTRALIAN_SHELF,42,2013,0.3654
