LME,LME_NUM,YEAR,MONTH,MEAN
SULU_CELEBES_SEA,37,1996,11,0.1489
SULU_CELEBES_SEA,37,1996,12,0.1655
SULU_CELEBES_SEA,37,1997,01,0.1652
SULU_CELEBES_SEA,37,1997,02,0.2148
SULU_CELEBES_SEA,37,1997,03,0.1898
SULU_CELEBES_SEA,37,1997,04,0.1419
SULU_CELEBES_SEA,37,1997,05,0.1213
SULU_CELEBES_SEA,37,1997,06,0.1305
SULU_CELEBES_SEA,37,1997,09,0.1897
SULU_CELEBES_SEA,37,1997,10,0.1557
SULU_CELEBES_SEA,37,1997,11,0.1451
SULU_CELEBES_SEA,37,1997,12,0.1713
SULU_CELEBES_SEA,37,1998,01,0.1903
SULU_CELEBES_SEA,37,1998,02,0.1785
SULU_CELEBES_SEA,37,1998,03,0.1860
SULU_CELEBES_SEA,37,1998,04,0.1759
SULU_CELEBES_SEA,37,1998,05,0.1596
SULU_CELEBES_SEA,37,1998,06,0.1303
SULU_CELEBES_SEA,37,1998,07,0.1137
SULU_CELEBES_SEA,37,1998,08,0.1226
SULU_CELEBES_SEA,37,1998,09,0.1268
SULU_CELEBES_SEA,37,1998,10,0.1242
SULU_CELEBES_SEA,37,1998,11,0.1507
SULU_CELEBES_SEA,37,1998,12,0.1829
SULU_CELEBES_SEA,37,1999,01,0.1904
SULU_CELEBES_SEA,37,1999,02,0.2212
SULU_CELEBES_SEA,37,1999,03,0.1638
SULU_CELEBES_SEA,37,1999,04,0.1787
SULU_CELEBES_SEA,37,1999,05,0.1516
SULU_CELEBES_SEA,37,1999,06,0.1649
SULU_CELEBES_SEA,37,1999,07,0.1486
SULU_CELEBES_SEA,37,1999,08,0.1719
SULU_CELEBES_SEA,37,1999,09,0.1434
SULU_CELEBES_SEA,37,1999,10,0.1339
SULU_CELEBES_SEA,37,1999,11,0.1556
SULU_CELEBES_SEA,37,1999,12,0.1648
SULU_CELEBES_SEA,37,2000,01,0.2154
SULU_CELEBES_SEA,37,2000,02,0.1937
SULU_CELEBES_SEA,37,2000,03,0.1814
SULU_CELEBES_SEA,37,2000,04,0.1595
SULU_CELEBES_SEA,37,2000,05,0.1405
SULU_CELEBES_SEA,37,2000,06,0.1349
SULU_CELEBES_SEA,37,2000,07,0.1484
SULU_CELEBES_SEA,37,2000,08,0.1323
SULU_CELEBES_SEA,37,2000,09,0.1343
SULU_CELEBES_SEA,37,2000,10,0.1292
SULU_CELEBES_SEA,37,2000,11,0.1353
SULU_CELEBES_SEA,37,2000,12,0.1692
SULU_CELEBES_SEA,37,2001,01,0.1990
SULU_CELEBES_SEA,37,2001,02,0.1908
SULU_CELEBES_SEA,37,2001,03,0.1876
SULU_CELEBES_SEA,37,2001,04,0.1509
SULU_CELEBES_SEA,37,2001,05,0.1320
SULU_CELEBES_SEA,37,2001,06,0.1301
SULU_CELEBES_SEA,37,2001,07,0.1511
SULU_CELEBES_SEA,37,2001,08,0.1790
SULU_CELEBES_SEA,37,2001,09,0.1501
SULU_CELEBES_SEA,37,2001,10,0.1379
SULU_CELEBES_SEA,37,2001,11,0.1751
SULU_CELEBES_SEA,37,2001,12,0.2250
SULU_CELEBES_SEA,37,2002,01,0.2167
SULU_CELEBES_SEA,37,2002,02,0.1888
SULU_CELEBES_SEA,37,2002,03,0.1722
SULU_CELEBES_SEA,37,2002,04,0.1644
SULU_CELEBES_SEA,37,2002,05,0.1511
SULU_CELEBES_SEA,37,2002,06,0.1344
SULU_CELEBES_SEA,37,2002,07,0.1637
SULU_CELEBES_SEA,37,2002,08,0.1679
SULU_CELEBES_SEA,37,2002,09,0.1570
SULU_CELEBES_SEA,37,2002,10,0.1599
SULU_CELEBES_SEA,37,2002,11,0.1523
SULU_CELEBES_SEA,37,2002,12,0.1672
SULU_CELEBES_SEA,37,2003,01,0.1976
SULU_CELEBES_SEA,37,2003,02,0.2247
SULU_CELEBES_SEA,37,2003,03,0.1929
SULU_CELEBES_SEA,37,2003,04,0.1743
SULU_CELEBES_SEA,37,2003,05,0.1656
SULU_CELEBES_SEA,37,2003,06,0.1725
SULU_CELEBES_SEA,37,2003,07,0.1661
SULU_CELEBES_SEA,37,2003,08,0.1675
SULU_CELEBES_SEA,37,2003,09,0.1742
SULU_CELEBES_SEA,37,2003,10,0.1686
SULU_CELEBES_SEA,37,2003,11,0.1544
SULU_CELEBES_SEA,37,2003,12,0.2262
SULU_CELEBES_SEA,37,2004,01,0.2247
SULU_CELEBES_SEA,37,2004,02,0.1984
SULU_CELEBES_SEA,37,2004,03,0.1926
SULU_CELEBES_SEA,37,2004,04,0.1864
SULU_CELEBES_SEA,37,2004,05,0.1705
SULU_CELEBES_SEA,37,2004,06,0.1824
SULU_CELEBES_SEA,37,2004,07,0.1666
SULU_CELEBES_SEA,37,2004,08,0.1805
SULU_CELEBES_SEA,37,2004,09,0.1484
SULU_CELEBES_SEA,37,2004,10,0.1593
SULU_CELEBES_SEA,37,2004,11,0.1456
SULU_CELEBES_SEA,37,2004,12,0.1860
SULU_CELEBES_SEA,37,2005,01,0.2275
SULU_CELEBES_SEA,37,2005,02,0.2049
SULU_CELEBES_SEA,37,2005,03,0.2016
SULU_CELEBES_SEA,37,2005,04,0.1617
SULU_CELEBES_SEA,37,2005,05,0.1588
SULU_CELEBES_SEA,37,2005,06,0.1549
SULU_CELEBES_SEA,37,2005,07,0.1519
SULU_CELEBES_SEA,37,2005,08,0.1595
SULU_CELEBES_SEA,37,2005,09,0.1589
SULU_CELEBES_SEA,37,2005,10,0.1406
SULU_CELEBES_SEA,37,2005,11,0.1507
SULU_CELEBES_SEA,37,2005,12,0.1871
SULU_CELEBES_SEA,37,2006,01,0.2046
SULU_CELEBES_SEA,37,2006,02,0.2095
SULU_CELEBES_SEA,37,2006,03,0.1779
SULU_CELEBES_SEA,37,2006,04,0.1576
SULU_CELEBES_SEA,37,2006,05,0.1448
SULU_CELEBES_SEA,37,2006,06,0.1364
SULU_CELEBES_SEA,37,2006,07,0.1579
SULU_CELEBES_SEA,37,2006,08,0.1532
SULU_CELEBES_SEA,37,2006,09,0.1390
SULU_CELEBES_SEA,37,2006,10,0.1470
SULU_CELEBES_SEA,37,2006,11,0.1376
SULU_CELEBES_SEA,37,2006,12,0.1576
SULU_CELEBES_SEA,37,2007,01,0.2064
SULU_CELEBES_SEA,37,2007,02,0.1766
SULU_CELEBES_SEA,37,2007,03,0.1433
SULU_CELEBES_SEA,37,2007,04,0.1460
SULU_CELEBES_SEA,37,2007,05,0.1423
SULU_CELEBES_SEA,37,2007,06,0.1344
SULU_CELEBES_SEA,37,2007,07,0.1534
SULU_CELEBES_SEA,37,2007,08,0.1451
SULU_CELEBES_SEA,37,2007,09,0.1379
SULU_CELEBES_SEA,37,2007,10,0.1496
SULU_CELEBES_SEA,37,2007,11,0.1483
SULU_CELEBES_SEA,37,2007,12,0.1664
SULU_CELEBES_SEA,37,2008,01,0.1918
SULU_CELEBES_SEA,37,2008,02,0.1823
SULU_CELEBES_SEA,37,2008,03,0.1729
SULU_CELEBES_SEA,37,2008,04,0.1429
SULU_CELEBES_SEA,37,2008,05,0.1428
SULU_CELEBES_SEA,37,2008,06,0.1380
SULU_CELEBES_SEA,37,2008,07,0.1323
SULU_CELEBES_SEA,37,2008,08,0.1302
SULU_CELEBES_SEA,37,2008,09,0.1501
SULU_CELEBES_SEA,37,2008,10,0.1342
SULU_CELEBES_SEA,37,2008,11,0.1393
SULU_CELEBES_SEA,37,2008,12,0.1542
SULU_CELEBES_SEA,37,2009,01,0.2121
SULU_CELEBES_SEA,37,2009,02,0.1993
SULU_CELEBES_SEA,37,2009,03,0.1678
SULU_CELEBES_SEA,37,2009,04,0.1491
SULU_CELEBES_SEA,37,2009,05,0.1328
SULU_CELEBES_SEA,37,2009,06,0.1434
SULU_CELEBES_SEA,37,2009,07,0.1438
SULU_CELEBES_SEA,37,2009,08,0.1503
SULU_CELEBES_SEA,37,2009,09,0.1400
SULU_CELEBES_SEA,37,2009,10,0.1427
SULU_CELEBES_SEA,37,2009,11,0.1441
SULU_CELEBES_SEA,37,2009,12,0.1775
SULU_CELEBES_SEA,37,2010,01,0.2268
SULU_CELEBES_SEA,37,2010,02,0.2089
SULU_CELEBES_SEA,37,2010,03,0.1894
SULU_CELEBES_SEA,37,2010,04,0.1682
SULU_CELEBES_SEA,37,2010,05,0.1560
SULU_CELEBES_SEA,37,2010,06,0.1438
SULU_CELEBES_SEA,37,2010,07,0.1573
SULU_CELEBES_SEA,37,2010,08,0.1543
SULU_CELEBES_SEA,37,2010,09,0.1319
SULU_CELEBES_SEA,37,2010,10,0.1271
SULU_CELEBES_SEA,37,2010,11,0.1323
SULU_CELEBES_SEA,37,2010,12,0.1402
SULU_CELEBES_SEA,37,2011,01,0.1898
