Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,21,28,0
1951,0,3,16,31,0
1952,0,5,15,31,0
1953,0,12,7,31,0
1954,3,10,6,41,0
1955,5,8,5,44,0
1956,5,9,7,43,0
1957,6,9,7,43,0
1958,4,10,12,38,0
1959,5,9,12,40,0
1960,6,10,10,43,0
1961,4,8,14,43,1
1962,4,10,12,42,1
1963,4,10,15,41,1
1964,5,10,18,44,1
1965,3,12,15,48,1
1966,4,10,18,46,1
1967,4,10,20,45,1
1968,4,14,14,49,2
1969,5,14,18,42,1
1970,3,15,20,45,2
1971,7,14,17,46,1
1972,6,14,19,46,1
1973,9,14,16,49,0
1974,11,14,15,53,0
1975,12,16,17,50,0
1976,9,20,14,52,1
1977,11,14,17,46,1
1978,9,20,18,43,1
1979,9,18,19,39,2
1980,11,14,22,34,3
1981,8,16,28,27,4
1982,8,22,21,32,3
1983,17,23,15,31,3
1984,18,21,17,28,4
1985,16,19,25,25,4
1986,16,18,27,22,4
1987,13,20,28,21,5
1988,12,18,28,22,7
1989,15,20,25,21,6
1990,16,21,29,15,8
1991,15,26,25,13,8
1992,19,27,21,15,9
1993,17,25,23,17,9
1994,20,25,22,15,9
1995,18,22,25,16,9
1996,14,26,26,12,10
1997,23,24,31,9,9
1998,28,22,33,15,9
1999,25,26,31,14,10
2000,23,26,32,15,12
2001,28,29,27,16,11
2002,32,26,26,16,11
2003,32,25,26,14,14
2004,35,28,24,12,11
2005,35,28,25,11,10
2006,36,26,24,11,10
2007,26,25,28,6,12
2008,26,21,30,6,14
2009,25,20,29,6,16
2010,22,22,30,6,15
