Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,6,30,0
1951,0,0,5,32,0
1952,0,0,6,31,0
1953,0,1,5,31,0
1954,0,1,4,31,0
1955,0,3,5,28,0
1956,0,3,5,27,0
1957,0,4,2,32,0
1958,0,4,2,34,0
1959,0,4,4,33,0
1960,0,5,3,31,0
1961,0,5,3,36,0
1962,0,5,2,40,0
1963,2,3,5,40,0
1964,3,3,10,37,0
1965,2,5,10,38,0
1966,0,6,15,38,0
1967,1,8,6,47,0
1968,3,6,10,45,0
1969,2,9,5,45,0
1970,1,10,8,47,0
1971,1,8,8,45,0
1972,2,8,10,47,0
1973,2,9,13,43,0
1974,5,10,12,49,0
1975,8,10,9,49,0
1976,10,10,11,46,0
1977,7,15,16,46,0
1978,12,9,27,31,0
1979,13,17,19,38,1
1980,14,19,13,38,1
1981,10,20,16,36,1
1982,14,20,20,33,0
1983,16,21,14,31,0
1984,18,21,13,32,0
1985,17,22,20,27,0
1986,15,22,22,24,1
1987,20,24,20,23,1
1988,25,22,21,20,0
1989,25,30,13,18,2
1990,28,28,6,20,0
1991,31,25,4,18,0
1992,24,24,7,14,1
1993,25,22,10,16,3
1994,28,20,6,18,4
1995,26,21,8,18,4
1996,30,18,10,17,4
1997,31,16,10,18,4
1998,27,17,11,17,10
1999,30,19,8,17,6
2000,24,18,10,17,10
2001,23,19,14,15,15
2002,22,17,16,12,16
2003,23,18,17,10,16
2004,21,14,18,9,18
2005,21,16,14,8,22
2006,21,20,12,6,20
2007,19,21,13,3,19
2008,24,23,9,1,19
2009,25,20,12,0,19
2010,27,19,12,0,18
