Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,26644,346204,0
1951,0,0,24572.6666666667,364864,0
1952,0,515.666666666667,22567.6666666667,387745,0
1953,0,900.666666666667,55828.3333333333,424633.666666667,0
1954,0,1261.66666666667,104017,425275.666666667,0
1955,0,1095.33333333333,153373.333333333,435119.666666667,0
1956,0,1154.66666666667,163778.666666667,437885,0
1957,0,6666,185750.333333333,422979,0
1958,0,12103.3333333333,212621,408030.666666667,0
1959,0,22015.6666666667,260111.333333333,430596,0
1960,791.666666666667,23595.6666666667,454407,326973.333333333,0
1961,1309.33333333333,24841.6666666667,619583.333333333,215408.666666667,0
1962,2388,19031,750859,51426.6666666667,0
1963,2409,15373.6666666667,748168.333333333,46028.6666666667,0
1964,4951.33333333333,8508,782281.333333333,36999.6666666667,0
1965,7292.33333333333,4321.66666666667,828549.333333333,41719,0
1966,6996,4159.66666666667,923282.666666667,39543.6666666667,0
1967,6025,21083,1051110,34200.3333333333,0
1968,4194.66666666667,22629.3333333333,1165867.33333333,27023.3333333333,0
1969,5870.33333333333,19393,1117658.66666667,18980.6666666667,56.3333333333333
1970,5496.33333333333,2443.66666666667,1004080.33333333,14484.3333333333,56.3333333333333
1971,5153,14126,889679,26542.3333333333,56.3333333333333
1972,3774,175919,714736,25189.6666666667,0
1973,2979,342224,560148.666666667,25452.6666666667,0
1974,2227,462854.666666667,434105,10027,0
1975,2113.33333333333,406441,435158,14088.3333333333,0
1976,1707.66666666667,356067.333333333,364668.666666667,26120.3333333333,0
1977,1785.66666666667,348530.333333333,231490,41479.3333333333,0
1978,8468,341783,149186.333333333,45938.6666666667,0
1979,14991.6666666667,340366,92073.3333333333,38453.3333333333,0
1980,18260,335768.333333333,89025,27901,0
1981,12394.3333333333,376383.333333333,41347.3333333333,25448.3333333333,0
1982,6390.66666666667,397999,33866.6666666667,27690.6666666667,0
1983,5489.66666666667,419233,27503.6666666667,26199,0
1984,6339.66666666667,429550,25932.6666666667,33199,0
1985,7247.33333333333,444122.666666667,72578,35384.3333333333,1769.66666666667
1986,8605.66666666667,431784,125173,35938.3333333333,8058.66666666667
1987,7700.33333333333,459397.666666667,121100.333333333,33907.3333333333,14464.6666666667
1988,10537,472351,67483.6666666667,37228.6666666667,16826
1989,13017.3333333333,506862.666666667,14434.6666666667,41250.6666666667,10537
1990,13108,436844.666666667,23212.3333333333,36916.6666666667,10211
1991,43036,302032.333333333,34039.3333333333,35612.3333333333,6144.66666666667
1992,50099,173995,36309.3333333333,44538.3333333333,6229.66666666667
1993,56989.6666666667,76789.6666666667,57375,56543.6666666667,2031.66666666667
1994,31048.6666666667,55256,81518.6666666667,60977,3614.33333333333
1995,33765.3333333333,25416.6666666667,112666,51094,7783.33333333333
1996,40825,24682.6666666667,115140.666666667,44193,11452
1997,53193,34611.3333333333,129251,31416.6666666667,13133.6666666667
1998,56693.3333333333,39050.3333333333,147417,28906,12841.3333333333
1999,58531,40206.3333333333,171357,25285,12556.6666666667
2000,54284.6666666667,34488.3333333333,199047,20941,16479
2001,49434.3333333333,32527.3333333333,204635,15750,16937.6666666667
2002,47695.3333333333,31278.6666666667,229835.333333333,6797.66666666667,18880.3333333333
2003,54123.6666666667,24856,242853.666666667,5846.33333333333,17510
2004,58268.3333333333,29647.3333333333,253689,2942,19273.6666666667
2005,67884.6666666667,28539.3333333333,243986.333333333,2330.33333333333,12907
2006,66697,31194.6666666667,228241.666666667,3457,9070.33333333333
2007,72128.3333333333,28514.6666666667,217192,4630.66666666667,4879.66666666667
2008,69512,27485.3333333333,206322,5266.66666666667,5997.33333333333
2009,68024.3333333333,33332.6666666667,190830,6210.33333333333,6238
2010,61921,41225,175658,7293,6855
