Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,0,2431,0
1951,0,0,376.333333333333,4599,0
1952,0,0,608.666666666667,6171,0
1953,0,0,636.666666666667,7134,0
1954,0,0,2664.66666666667,6671.66666666667,0
1955,0,0,5189.33333333333,5508.66666666667,0
1956,0,0,8321,3649.66666666667,0
1957,0,0,9434.33333333333,3935,0
1958,0,0,9715.33333333333,4573.33333333333,0
1959,0,0,9259.66666666667,4541.33333333333,0
1960,0,0,9168,4665.33333333333,0
1961,0,0,10081.3333333333,4735.33333333333,0
1962,0,0,11285.3333333333,5129,0
1963,0,768.333333333333,8304,5438.66666666667,0
1964,0,1479.33333333333,4568.33333333333,5390,0
1965,0,2371.33333333333,931.333333333333,6484.33333333333,0
1966,0,2198,975.666666666667,6664.33333333333,0
1967,0,1946,1154.33333333333,7164,0
1968,378.666666666667,1054,740,7374,0
1969,378.666666666667,933,519.666666666667,8929,0
1970,378.666666666667,929.666666666667,1795.66666666667,9814.66666666667,0
1971,0,1416.33333333333,3301.33333333333,10322.6666666667,0
1972,0,1425.33333333333,5063.33333333333,10344.3333333333,0
1973,0,1431.66666666667,5946.66666666667,13984.6666666667,0
1974,0,1326.33333333333,5028.66666666667,16894.3333333333,0
1975,364.333333333333,882.666666666667,4796.33333333333,19307,0
1976,364.333333333333,981,4556.66666666667,19068.6666666667,0
1977,364.333333333333,1340.66666666667,6013.66666666667,22405.6666666667,0
1978,0,1843.66666666667,6878,22805,0
1979,0,2213,7773.66666666667,24129.6666666667,0
1980,0,2384,9547.66666666667,22053.6666666667,0
1981,0.333333333333333,2750.66666666667,10370.6666666667,23188.3333333333,0
1982,1,3037.33333333333,8815.66666666667,24325,0
1983,1.33333333333333,3373.66666666667,6779,26364.6666666667,0
1984,12,4250.66666666667,5470.33333333333,25768.6666666667,0
1985,24.3333333333333,4717,5836.33333333333,29166,0
1986,35,4627.33333333333,8059.33333333333,33009,0
1987,36.6666666666667,3910.66666666667,27501.3333333333,30592.6666666667,0
1988,24,5177.66666666667,45629,20093.3333333333,0
1989,22.6666666666667,6286,60040.6666666667,8395,9.66666666666667
1990,99,7217.66666666667,71475.3333333333,4710.66666666667,9.66666666666667
1991,193.333333333333,6280.66666666667,78575,4672.66666666667,15
1992,270.333333333333,6578.66666666667,83666.6666666667,3360,16.6666666666667
1993,306.666666666667,7326.33333333333,73738.6666666667,2665.66666666667,32.3333333333333
1994,212,8705,70392,964,176
1995,417.666666666667,10120.6666666667,62535.3333333333,837.666666666667,311
1996,570.333333333333,18740.3333333333,46427.3333333333,829,325.666666666667
1997,2640.33333333333,16367.3333333333,25178.6666666667,750.333333333333,343
1998,4078.66666666667,13389,11454.6666666667,664.333333333333,416.666666666667
1999,5869,2969.33333333333,6201.66666666667,656.666666666667,536.666666666667
2000,5495.33333333333,2836.66666666667,5504.33333333333,794.333333333333,601.666666666667
2001,5875.66666666667,2734.66666666667,5022.66666666667,1030.66666666667,613
2002,6160.66666666667,3051.66666666667,4460.33333333333,1042.33333333333,733.333333333333
2003,7175.66666666667,3196,3839.66666666667,900.666666666667,802.666666666667
2004,7964.66666666667,3152,3800.66666666667,729.666666666667,854
2005,7951,2861.33333333333,3954.66666666667,618.666666666667,1087.33333333333
2006,7225.66666666667,2549.33333333333,3574.33333333333,1278.66666666667,1808.66666666667
2007,6231.66666666667,2315.66666666667,3373.66666666667,1732.33333333333,2664.33333333333
2008,6085,2015,3292.66666666667,2252,3147.66666666667
2009,6192,1988,3442.33333333333,2171.66666666667,3199.33333333333
2010,6279,2073,3312,2349,3221
