Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,1,14,0
1951,0,0,2,14,0
1952,0,0,3,14,0
1953,0,0,3,15,0
1954,0,0,3,15,0
1955,0,1,1,17,0
1956,0,1,1,18,0
1957,0,1,1,18,0
1958,0,1,0,19,0
1959,0,1,1,18,0
1960,0,1,1,18,0
1961,0,1,1,19,0
1962,0,1,0,20,0
1963,0,1,3,16,0
1964,0,1,8,18,0
1965,0,1,9,23,0
1966,0,1,8,24,0
1967,0,1,8,24,0
1968,0,2,8,23,0
1969,0,2,5,27,0
1970,0,3,4,29,0
1971,0,3,7,26,0
1972,1,3,10,25,0
1973,1,2,9,28,0
1974,1,3,12,27,0
1975,1,5,11,27,0
1976,0,3,11,30,1
1977,0,7,13,26,1
1978,1,5,13,26,1
1979,7,4,6,28,0
1980,3,4,12,24,1
1981,2,5,12,24,1
1982,4,5,15,19,1
1983,4,8,11,21,1
1984,4,8,7,24,2
1985,5,6,13,19,2
1986,4,5,16,20,2
1987,4,4,23,13,2
1988,4,4,23,13,2
1989,6,7,20,12,2
1990,3,9,21,14,2
1991,5,7,23,10,1
1992,6,13,18,8,2
1993,7,16,16,6,1
1994,8,14,14,9,2
1995,9,15,14,8,1
1996,14,15,11,8,2
1997,13,11,15,6,3
1998,17,8,14,7,0
1999,17,11,8,5,2
2000,19,10,10,6,2
2001,19,12,8,6,2
2002,17,12,7,7,3
2003,18,10,9,6,3
2004,16,10,10,6,3
2005,19,14,5,6,2
2006,15,13,12,1,6
2007,17,11,13,0,6
2008,12,12,13,0,8
2009,15,13,12,0,5
2010,13,11,12,0,8
